	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL174335-CHEMBL171854	1	338	169	0	0.0	0.3876684308052063
1	CHEMBL171854-CHEMBL174815	1	338	169	0	1.0	0.661282479763031
2	CHEMBL171854-CHEMBL366862	1	338	169	0	1.0	0.7517066597938538
3	CHEMBL174335-CHEMBL174815	1	338	169	0	0.0	0.013315209187567234
4	CHEMBL174335-CHEMBL366862	1	338	169	0	0.0	0.4320153594017029
5	CHEMBL366862-CHEMBL174815	1	338	169	0	0.0	0.00021851960627827793
6	CHEMBL179270-CHEMBL180857	1	338	169	0	0.0	0.001552850124426186
7	CHEMBL181533-CHEMBL182323	1	338	169	0	1.0	0.5516237020492554
8	CHEMBL181533-CHEMBL363262	1	338	169	0	0.0	0.24432475864887238
9	CHEMBL363262-CHEMBL182323	1	338	169	0	0.0	0.019186539575457573
10	CHEMBL199277-CHEMBL199235	1	338	169	0	1.0	0.9904875159263611
11	CHEMBL205383-CHEMBL425512	1	338	169	0	1.0	0.6269657015800476
12	CHEMBL373457-CHEMBL210165	1	338	169	1	1.0	0.9831193089485168
13	CHEMBL221093-CHEMBL373457	1	338	169	0	1.0	0.8474888205528259
14	CHEMBL221093-CHEMBL373991	1	338	169	0	0.0	0.006500896532088518
15	CHEMBL221093-CHEMBL376709	1	338	169	0	0.0	0.08618250489234924
16	CHEMBL221093-CHEMBL380256	1	338	169	0	0.0	0.007069874554872513
17	CHEMBL221093-CHEMBL386840	1	338	169	0	0.0	0.002092439914122224
18	CHEMBL425311-CHEMBL227222	1	338	169	0	0.0	8.515326044289395e-05
19	CHEMBL427276-CHEMBL227222	1	338	169	0	1.0	0.9996727705001831
20	CHEMBL227248-CHEMBL227307	1	338	169	0	0.0	0.0018110615201294422
21	CHEMBL388142-CHEMBL227248	1	338	169	0	0.0	0.021402252838015556
22	CHEMBL227248-CHEMBL425311	1	338	169	0	0.0	0.08301490545272827
23	CHEMBL227248-CHEMBL427276	1	338	169	0	1.0	0.8021843433380127
24	CHEMBL227307-CHEMBL389210	1	338	169	0	1.0	0.9839425086975098
25	CHEMBL390055-CHEMBL227307	1	338	169	0	1.0	0.9961079955101013
26	CHEMBL232923-CHEMBL232325	1	338	169	1	0.0	0.0312315933406353
27	CHEMBL232720-CHEMBL393813	1	338	169	0	0.0	0.012633820995688438
28	CHEMBL393813-CHEMBL232923	1	338	169	0	0.0	0.0033441747073084116
29	CHEMBL391484-CHEMBL235265	1	338	169	0	0.0	0.00011559074482647702
30	CHEMBL394129-CHEMBL237924	1	338	169	0	0.0	0.018870949745178223
31	CHEMBL242327-CHEMBL242091	1	338	169	0	0.0	0.00011377620103303343
32	CHEMBL242957-CHEMBL242091	1	338	169	0	0.0	0.20214024186134338
33	CHEMBL243182-CHEMBL242091	1	338	169	0	0.0	4.2410938476677984e-05
34	CHEMBL243184-CHEMBL242091	1	338	169	0	0.0	0.2048884779214859
35	CHEMBL390690-CHEMBL242091	1	338	169	0	0.0	0.0007375997374765575
36	CHEMBL243182-CHEMBL242327	1	338	169	0	0.0	9.114611020777375e-05
37	CHEMBL390690-CHEMBL242327	1	338	169	0	0.0	0.00033732628799043596
38	CHEMBL243182-CHEMBL242957	1	338	169	0	0.0	0.0019358074059709907
39	CHEMBL242957-CHEMBL243184	1	338	169	0	0.0	0.00013045831292402
40	CHEMBL2431604-CHEMBL2431597	1	338	169	0	0.0	0.004237758461385965
41	CHEMBL2431605-CHEMBL2431597	1	338	169	0	0.0	0.0325424000620842
42	CHEMBL3114851-CHEMBL2431597	1	338	169	0	0.0	0.023232540115714073
43	CHEMBL3114852-CHEMBL2431597	1	338	169	0	0.0	0.14090685546398163
44	CHEMBL3114854-CHEMBL2431597	1	338	169	0	1.0	0.9437518119812012
45	CHEMBL2431605-CHEMBL2431604	1	338	169	0	0.0	0.03391444310545921
46	CHEMBL3114851-CHEMBL2431604	1	338	169	0	0.0	0.24313285946846008
47	CHEMBL3114852-CHEMBL2431604	1	338	169	0	1.0	0.750451922416687
48	CHEMBL3114854-CHEMBL2431604	1	338	169	0	1.0	0.9908937215805054
49	CHEMBL3114851-CHEMBL2431605	1	338	169	0	0.0	0.12310001254081726
50	CHEMBL3114852-CHEMBL2431605	1	338	169	0	1.0	0.591640830039978
51	CHEMBL3114854-CHEMBL2431605	1	338	169	0	1.0	0.9823219180107117
52	CHEMBL243182-CHEMBL243184	1	338	169	0	0.0	0.001118243788369
53	CHEMBL243182-CHEMBL390690	1	338	169	0	0.0	0.0006212856387719512
54	CHEMBL390690-CHEMBL243184	1	338	169	0	0.0	0.019247103482484818
55	CHEMBL439418-CHEMBL253942_CHEMBL595475	1	338	169	0	1.0	0.9613566994667053
56	CHEMBL402383-CHEMBL254746	1	338	169	0	1.0	0.9547862410545349
57	CHEMBL402730-CHEMBL257240	1	338	169	0	0.0	0.012792728841304779
58	CHEMBL402892-CHEMBL257240	1	338	169	0	0.0	0.015314009971916676
59	CHEMBL429758-CHEMBL257240	1	338	169	0	1.0	0.784793496131897
60	CHEMBL44586-CHEMBL295010	1	338	169	0	0.0	0.10909643024206161
61	CHEMBL47207-CHEMBL295010	1	338	169	0	0.0	0.14002946019172668
62	CHEMBL3114852-CHEMBL3114851	1	338	169	0	1.0	0.733193039894104
63	CHEMBL3114854-CHEMBL3114851	1	338	169	0	1.0	0.8891378045082092
64	CHEMBL3114852-CHEMBL3114854	1	338	169	0	1.0	0.9876540303230286
65	CHEMBL327253-CHEMBL317594	1	338	169	0	0.0	0.2462293654680252
66	CHEMBL3219083-CHEMBL3219075	1	338	169	0	1.0	0.6012230515480042
67	CHEMBL328611-CHEMBL432391	1	338	169	0	0.0	0.4283605217933655
68	CHEMBL3403479-CHEMBL3403478	1	338	169	0	0.0	0.00046111177653074265
69	CHEMBL376709-CHEMBL373457	1	338	169	0	0.0	0.41229188442230225
70	CHEMBL386840-CHEMBL373457	1	338	169	0	0.0	0.17851392924785614
71	CHEMBL386840-CHEMBL373991	1	338	169	0	0.0	0.03145620971918106
72	CHEMBL386840-CHEMBL376709	1	338	169	0	0.0	0.002336743986234069
73	CHEMBL388142-CHEMBL427421	1	338	169	1	1.0	0.9467921853065491
74	CHEMBL390055-CHEMBL389210	1	338	169	0	0.0	0.27997300028800964
75	CHEMBL389210-CHEMBL427276	1	338	169	0	0.0	0.030271168798208237
76	CHEMBL389210-CHEMBL427421	1	338	169	0	0.0	0.045061103999614716
77	CHEMBL391635-CHEMBL392508	1	338	169	0	0.0	0.0007814018754288554
78	CHEMBL394129-CHEMBL391635	1	338	169	0	0.0	0.0003670191508717835
79	CHEMBL394129-CHEMBL392508	1	338	169	0	0.0	0.0018002601573243737
80	CHEMBL402892-CHEMBL402730	1	338	169	0	0.0	0.1365116834640503
81	CHEMBL427276-CHEMBL425311	1	338	169	0	0.0	0.0019702520221471786
82	CHEMBL4444015-CHEMBL4436052	1	338	169	0	0.0	0.10064566135406494
83	CHEMBL4453329-CHEMBL4436052	1	338	169	0	0.0	4.954440768756285e-08
84	CHEMBL4558878-CHEMBL4436052	1	338	169	0	0.0	0.0007734390674158931
85	CHEMBL4574179-CHEMBL4436052	1	338	169	0	0.0	0.11982909590005875
86	CHEMBL4453329-CHEMBL4444015	1	338	169	0	0.0	1.5723251635790803e-05
87	CHEMBL4558878-CHEMBL4444015	1	338	169	0	0.0	1.3357626116317078e-09
88	CHEMBL4444015-CHEMBL4574179	1	338	169	0	0.0	6.929150003998075e-06
89	CHEMBL4558878-CHEMBL4453329	1	338	169	0	0.0	1.3241351126680456e-08
90	CHEMBL4453329-CHEMBL4574179	1	338	169	0	0.0	1.9679664546856657e-05
91	CHEMBL47207-CHEMBL44586	1	338	169	0	0.0	0.001588377053849399
92	CHEMBL4558878-CHEMBL4574179	1	338	169	0	0.0	1.1759677676081992e-09
93	CHEMBL490298-CHEMBL491672	1	338	169	0	0.0	0.2900955080986023
94	CHEMBL523099-CHEMBL491672	1	338	169	0	0.0	0.010473374277353287
95	CHEMBL593829_CHEMBL605294-CHEMBL593585	1	338	169	0	0.0	0.055688321590423584
96	CHEMBL606812-CHEMBL593585	1	338	169	0	0.0	0.05988319218158722
97	CHEMBL606812-CHEMBL593829_CHEMBL605294	1	338	169	0	0.0	0.19722220301628113
98	CHEMBL96372-CHEMBL96651	1	338	169	0	0.0	0.011253704316914082
