	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL2333400-CHEMBL106848	2	170	85	1	1.0	0.7289990186691284
1	CHEMBL120304-CHEMBL2164732	2	170	85	1	1.0	0.894556999206543
2	CHEMBL1338403-CHEMBL2333400	2	170	85	1	1.0	0.7748319506645203
3	CHEMBL174847-CHEMBL214201	2	170	85	1	1.0	0.669607937335968
4	CHEMBL174847-CHEMBL2333400	2	170	85	1	1.0	0.7049391269683838
5	CHEMBL174847-CHEMBL2333966	2	170	85	1	1.0	0.6536255478858948
6	CHEMBL174847-CHEMBL2337540	2	170	85	1	1.0	0.6761289834976196
7	CHEMBL174847-CHEMBL4462614	2	170	85	1	1.0	0.7093518972396851
8	CHEMBL362499-CHEMBL187259	2	170	85	1	1.0	0.934428334236145
9	CHEMBL187259-CHEMBL427329	2	170	85	1	1.0	0.9386109113693237
10	CHEMBL362499-CHEMBL187372	2	170	85	1	1.0	0.8948351740837097
11	CHEMBL187372-CHEMBL427329	2	170	85	1	1.0	0.915976881980896
12	CHEMBL195194-CHEMBL195811	2	170	85	1	0.0	0.48618727922439575
13	CHEMBL195811-CHEMBL195978	2	170	85	1	1.0	0.611879825592041
14	CHEMBL195811-CHEMBL196435	2	170	85	1	1.0	0.7798552513122559
15	CHEMBL196198-CHEMBL196435	2	170	85	1	0.0	0.42007744312286377
16	CHEMBL2048933-CHEMBL2048935	2	170	85	1	1.0	0.7400056719779968
17	CHEMBL2048934-CHEMBL2048935	2	170	85	1	1.0	0.7635349035263062
18	CHEMBL2070207-CHEMBL2070208	2	170	85	1	0.0	0.3894861340522766
19	CHEMBL23417-CHEMBL214201	2	170	85	1	1.0	0.8050439357757568
20	CHEMBL687-CHEMBL214201	2	170	85	1	1.0	0.752684473991394
21	CHEMBL362499-CHEMBL2164735	2	170	85	1	1.0	0.8894051909446716
22	CHEMBL427329-CHEMBL2164735	2	170	85	1	1.0	0.8277438879013062
23	CHEMBL2333964-CHEMBL2333400	2	170	85	1	1.0	0.7601654529571533
24	CHEMBL3359169-CHEMBL2333400	2	170	85	1	1.0	0.7572243809700012
25	CHEMBL3359170-CHEMBL2333400	2	170	85	1	1.0	0.7785701751708984
26	CHEMBL3402959-CHEMBL2333400	2	170	85	1	1.0	0.7530663013458252
27	CHEMBL3402960-CHEMBL2333400	2	170	85	1	1.0	0.7552710175514221
28	CHEMBL3402961-CHEMBL2333400	2	170	85	1	1.0	0.7493477463722229
29	CHEMBL4454802-CHEMBL2333400	2	170	85	1	1.0	0.7544746398925781
30	CHEMBL23417-CHEMBL2333966	2	170	85	1	1.0	0.8043267130851746
31	CHEMBL278395-CHEMBL2333966	2	170	85	1	1.0	0.7736427783966064
32	CHEMBL687-CHEMBL2333966	2	170	85	1	1.0	0.7507522106170654
33	CHEMBL23417-CHEMBL2337540	2	170	85	1	1.0	0.8097286820411682
34	CHEMBL278395-CHEMBL2337540	2	170	85	1	1.0	0.7798388004302979
35	CHEMBL687-CHEMBL2337540	2	170	85	1	1.0	0.7577995657920837
36	CHEMBL35118-CHEMBL287117	2	170	85	1	1.0	0.7878479361534119
37	CHEMBL3402961-CHEMBL4462614	2	170	85	1	1.0	0.7536220550537109
38	CHEMBL3601532-CHEMBL3601531	2	170	85	1	1.0	0.7726666331291199
39	CHEMBL3601532-CHEMBL3601534	2	170	85	1	1.0	0.8030279278755188
40	CHEMBL3608873-CHEMBL4460569	2	170	85	1	1.0	0.8980998396873474
41	CHEMBL4541944-CHEMBL3608873	2	170	85	1	1.0	0.9039006233215332
42	CHEMBL3608873-CHEMBL4582861	2	170	85	1	1.0	0.8014121055603027
43	CHEMBL3608874-CHEMBL4460569	2	170	85	1	1.0	0.8932997584342957
44	CHEMBL4541944-CHEMBL3608874	2	170	85	1	1.0	0.8994814157485962
45	CHEMBL3608874-CHEMBL4582861	2	170	85	1	1.0	0.7893346548080444
46	CHEMBL3609196-CHEMBL3609201	2	170	85	1	1.0	0.8047406673431396
47	CHEMBL3609481-CHEMBL3609197	2	170	85	1	1.0	0.7500101327896118
