	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1518113-CHEMBL4067239	0	188	94	-1	-1	-0.02074179374576171
1	CHEMBL1736901-CHEMBL3609201	0	188	94	-1	-1	-0.13806573656066595
2	CHEMBL1813209-CHEMBL3120749	0	188	94	-1	-1	-0.229535591442741
3	CHEMBL278395-CHEMBL193648	0	188	94	-1	-1	-0.15141742205504763
4	CHEMBL687-CHEMBL193648	0	188	94	-1	-1	-0.1515673944456463
5	CHEMBL196435-CHEMBL195978	0	188	94	-1	1	0.08572219955236399
6	CHEMBL365344-CHEMBL195978	0	188	94	-1	1	0.06869415051620295
7	CHEMBL365344-CHEMBL196435	0	188	94	-1	-1	-0.1784311369865025
8	CHEMBL2048929-CHEMBL2048931	0	188	94	-1	-1	-0.36728569783703385
9	CHEMBL2164738-CHEMBL2164737	0	188	94	-1	-1	-0.1038070018997903
10	CHEMBL2333408-CHEMBL2333416	0	188	94	-1	-1	-0.1659385338713926
11	CHEMBL2333408-CHEMBL2333419	0	188	94	-1	-1	-0.1713426435030116
12	CHEMBL2333419-CHEMBL2333416	0	188	94	-1	-1	-0.17227847657176779
13	CHEMBL2333586-CHEMBL2333587	0	188	94	-1	-1	-0.17062567336502985
14	CHEMBL687-CHEMBL278395	0	188	94	-1	-1	-0.28675768079166664
15	CHEMBL3104049-CHEMBL3104050	0	188	94	-1	-1	-0.8057535057159981
16	CHEMBL3104049-CHEMBL3104061	0	188	94	-1	1	0.09278012089991922
17	CHEMBL3104157-CHEMBL3104050	0	188	94	-1	1	0.03331199009554045
18	CHEMBL3104065-CHEMBL3104061	0	188	94	-1	-1	-0.8118107620629702
19	CHEMBL3104061-CHEMBL3104155	0	188	94	-1	-1	-0.623058802640575
20	CHEMBL3104065-CHEMBL3104155	0	188	94	-1	-1	-0.6896717973174884
21	CHEMBL3121763-CHEMBL3121762	0	188	94	-1	-1	-0.12202040641261314
22	CHEMBL3121764-CHEMBL3121762	0	188	94	-1	-1	-0.04453772356270255
23	CHEMBL3121764-CHEMBL3121763	0	188	94	-1	-1	-0.1587610911738179
24	CHEMBL3126809-CHEMBL3126821	0	188	94	-1	1	0.3333283338192317
25	CHEMBL3126810-CHEMBL3126821	0	188	94	-1	1	0.03598379042251115
26	CHEMBL3126825-CHEMBL3126810	0	188	94	-1	-1	-0.3727575344983135
27	CHEMBL3233061-CHEMBL3237848	0	188	94	1	-1	-0.2509238661352667
28	CHEMBL3233061-CHEMBL3237852	0	188	94	1	-1	-0.21558108100946047
29	CHEMBL3237852-CHEMBL3237848	0	188	94	-1	-1	-0.24210811923894515
30	CHEMBL3237853-CHEMBL3237848	0	188	94	-1	-1	-0.25726688983928264
31	CHEMBL3237853-CHEMBL3237852	0	188	94	-1	-1	-0.2300923341112871
32	CHEMBL3314170-CHEMBL4648292	0	188	94	-1	-1	-0.24515929678198736
33	CHEMBL3342250-CHEMBL3342248	0	188	94	-1	-1	-0.15566704476417229
34	CHEMBL3342251-CHEMBL3342248	0	188	94	-1	-1	-0.15436132659789487
35	CHEMBL3342251-CHEMBL3342250	0	188	94	-1	-1	-0.16275872253141085
36	CHEMBL3809086-CHEMBL3809966	0	188	94	-1	-1	-0.2968286214614626
37	CHEMBL3884021-CHEMBL3883931	0	188	94	1	1	0.34989567255887205
38	CHEMBL3884557-CHEMBL3884236	0	188	94	-1	1	0.11054334464644405
39	CHEMBL3884577-CHEMBL3884236	0	188	94	-1	1	0.12647061507704238
40	CHEMBL3884577-CHEMBL3884557	0	188	94	-1	-1	-0.2049982281465869
41	CHEMBL3956141-CHEMBL3985384	0	188	94	-1	-1	-0.186108648513214
42	CHEMBL4074004-CHEMBL4102291	0	188	94	-1	1	0.18840298692758056
43	CHEMBL4169857-CHEMBL4159209	0	188	94	-1	-1	-0.1820339227604026
44	CHEMBL4170860-CHEMBL4166379	0	188	94	-1	-1	-0.10936046493760063
45	CHEMBL4175397-CHEMBL4166379	0	188	94	-1	-1	-0.08758340647628719
46	CHEMBL4169857-CHEMBL4173906	0	188	94	-1	-1	-0.19108978912060165
47	CHEMBL4175397-CHEMBL4170860	0	188	94	-1	-1	-0.14281585553533552
48	CHEMBL4238832-CHEMBL4247010	0	188	94	-1	-1	-0.6488523097715653
