	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL104669_CHEMBL318801-CHEMBL25688	2	112	56	-1	-1	-0.2607820121769822
1	CHEMBL1084383-CHEMBL1082447	2	112	56	-1	-1	-0.43313474238008287
2	CHEMBL1082447-CHEMBL1084581	2	112	56	-1	-1	-0.5532428023635076
3	CHEMBL1086520-CHEMBL1082447	2	112	56	-1	-1	-0.4434368705917905
4	CHEMBL1084383-CHEMBL1082489	2	112	56	-1	-1	-0.47162228839680187
5	CHEMBL1086520-CHEMBL1082489	2	112	56	-1	-1	-0.4581866555481968
6	CHEMBL1084383-CHEMBL1082496	2	112	56	-1	-1	-0.5882517912426907
7	CHEMBL1082496-CHEMBL1084581	2	112	56	-1	-1	-0.8112511963965537
8	CHEMBL1086520-CHEMBL1082496	2	112	56	-1	-1	-0.5986424137919797
9	CHEMBL1084383-CHEMBL1082781	2	112	56	-1	-1	-0.4907233801858426
10	CHEMBL1084383-CHEMBL1083274	2	112	56	-1	-1	-0.5728216752473665
11	CHEMBL1083274-CHEMBL1084581	2	112	56	-1	-1	-0.5817223749375547
12	CHEMBL1083274-CHEMBL1086520	2	112	56	-1	-1	-0.6016423239130492
13	CHEMBL1084383-CHEMBL1083406	2	112	56	-1	-1	-0.4525512405060237
14	CHEMBL1086520-CHEMBL1083406	2	112	56	-1	-1	-0.42295712139432995
15	CHEMBL1084383-CHEMBL1083407	2	112	56	-1	-1	-0.47589640270914774
16	CHEMBL1086520-CHEMBL1083407	2	112	56	-1	-1	-0.460522678618118
17	CHEMBL1084581-CHEMBL1083562	2	112	56	-1	-1	-0.2267799999712159
18	CHEMBL1086520-CHEMBL1083562	2	112	56	-1	-1	-0.13685295010257284
19	CHEMBL1084294-CHEMBL1084878	2	112	56	-1	-1	-0.4770862204230827
20	CHEMBL1084383-CHEMBL1084314	2	112	56	-1	-1	-0.5655818121135376
21	CHEMBL1084314-CHEMBL1086520	2	112	56	-1	-1	-0.5858238968298366
22	CHEMBL1084383-CHEMBL1084384	2	112	56	-1	-1	-0.5938161207936904
23	CHEMBL1084383-CHEMBL1084559	2	112	56	-1	-1	-0.4519349911095186
24	CHEMBL1084383-CHEMBL1084560	2	112	56	-1	-1	-0.2704496006931645
25	CHEMBL1084383-CHEMBL1084582	2	112	56	-1	-1	-0.4446011659053932
