	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1338403-CHEMBL106848	5	128	64	1	1	0.9998757684604485
1	CHEMBL174847-CHEMBL106848	5	128	64	1	1	1.0002553622120158
2	CHEMBL21-CHEMBL106848	5	128	64	1	1	1.000214425187861
3	CHEMBL3402958-CHEMBL106848	5	128	64	1	1	1.0355914288205554
4	CHEMBL3402959-CHEMBL106848	5	128	64	1	1	1.0003502406279765
5	CHEMBL3402960-CHEMBL106848	5	128	64	1	1	1.0797178468794446
6	CHEMBL3402961-CHEMBL106848	5	128	64	1	1	1.1717831305112338
7	CHEMBL4462614-CHEMBL106848	5	128	64	1	1	0.9997602881287337
8	CHEMBL2333964-CHEMBL1338403	5	128	64	1	1	0.9998352248674001
9	CHEMBL4454802-CHEMBL1338403	5	128	64	1	1	0.9999570578549355
10	CHEMBL1593568_CHEMBL419-CHEMBL4558023	5	128	64	1	1	0.9999648392616753
11	CHEMBL174847-CHEMBL2337540	5	128	64	1	1	1.0231349685775888
12	CHEMBL214809-CHEMBL4073247	5	128	64	1	1	0.999913677033192
13	CHEMBL2337540-CHEMBL2164729	5	128	64	1	1	1.0003813227835077
14	CHEMBL4080055-CHEMBL2164731	5	128	64	1	1	0.9999980583090211
15	CHEMBL21-CHEMBL4562842	5	128	64	1	1	0.9999648422484464
16	CHEMBL3402960-CHEMBL2333400	5	128	64	1	1	0.9999893325315949
17	CHEMBL3402961-CHEMBL2333400	5	128	64	1	1	1.0194010707371322
18	CHEMBL4462614-CHEMBL2333400	5	128	64	1	1	0.9999809753148798
19	CHEMBL2337540-CHEMBL2333964	5	128	64	1	1	0.9998442703518322
20	CHEMBL2333964-CHEMBL3402958	5	128	64	1	1	0.9999418813231071
21	CHEMBL2333964-CHEMBL3402959	5	128	64	1	1	1.000437801088915
22	CHEMBL2333964-CHEMBL3402960	5	128	64	1	1	1.000251649380307
23	CHEMBL2333964-CHEMBL3402961	5	128	64	1	1	1.087724398981891
24	CHEMBL2333964-CHEMBL4462614	5	128	64	1	1	1.3407377328014907
25	CHEMBL2337540-CHEMBL2333966	5	128	64	1	1	0.9996836173124382
26	CHEMBL2333966-CHEMBL4462614	5	128	64	1	1	0.999599519500842
27	CHEMBL2337540-CHEMBL23591	5	128	64	1	1	0.9996840814399488
28	CHEMBL278395-CHEMBL2337540	5	128	64	1	1	1.0826293615373297
29	CHEMBL2337540-CHEMBL4454802	5	128	64	1	1	1.097548801647199
30	CHEMBL687-CHEMBL2337540	5	128	64	1	1	1.0001398521336118
31	CHEMBL271911-CHEMBL3343262	5	128	64	1	1	1.0001686071182858
32	CHEMBL3104159-CHEMBL3104367	5	128	64	1	1	1.0000212424112498
33	CHEMBL3104163-CHEMBL3104367	5	128	64	1	1	0.9995857209465246
34	CHEMBL3401465-CHEMBL3261388	5	128	64	1	1	0.9995850110926492
35	CHEMBL3401465-CHEMBL3261390	5	128	64	1	1	0.9996627314393234
36	CHEMBL3401465-CHEMBL3261391	5	128	64	1	1	1.000400961246212
37	CHEMBL3401465-CHEMBL3261392	5	128	64	1	1	1.0000337951582459
38	CHEMBL3604406-CHEMBL3310914	5	128	64	1	1	0.9998420202536091
39	CHEMBL3758730-CHEMBL3343262	5	128	64	1	1	1.0004116803700265
40	CHEMBL3423258-CHEMBL3343273	5	128	64	1	1	0.999951680611493
41	CHEMBL3359169-CHEMBL4462614	5	128	64	1	1	0.9997079257139805
42	CHEMBL4454802-CHEMBL3402958	5	128	64	1	1	1.0001157348295602
43	CHEMBL4454802-CHEMBL3402959	5	128	64	1	1	0.999751507402781
44	CHEMBL4454802-CHEMBL3402960	5	128	64	1	1	1.0266204433262442
45	CHEMBL4454802-CHEMBL3402961	5	128	64	1	1	1.0001086142393647
46	CHEMBL3586211-CHEMBL3586219	5	128	64	1	1	0.9997625261000103
47	CHEMBL3604409-CHEMBL3586211	5	128	64	1	1	0.9999516820114001
48	CHEMBL3604415-CHEMBL3586211	5	128	64	1	1	1.0001667579229607
49	CHEMBL3604406-CHEMBL3586219	5	128	64	1	1	1.0002089879436729
50	CHEMBL3604416-CHEMBL3586219	5	128	64	1	1	1.0003549353929626
