	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL3604509-CHEMBL3310916	1	198	99	1	1.0	0.9221295714378357
1	CHEMBL3604406-CHEMBL3586213	1	198	99	1	1.0	0.7805705070495605
2	CHEMBL3586220-CHEMBL3586219	1	198	99	1	0.0	0.47795143723487854
3	CHEMBL2333964-CHEMBL3402959	1	198	99	1	0.0	0.4055451452732086
4	CHEMBL3604509-CHEMBL3311028	1	198	99	1	1.0	0.9189348816871643
5	CHEMBL3604509-CHEMBL3310914	1	198	99	1	1.0	0.9127243161201477
6	CHEMBL3604509-CHEMBL3310913	1	198	99	1	1.0	0.889968752861023
7	CHEMBL3604416-CHEMBL3586215	1	198	99	1	1.0	0.9095094203948975
8	CHEMBL3586213-CHEMBL3586217	1	198	99	1	0.0	0.3938758969306946
9	CHEMBL3604417-CHEMBL3586215	1	198	99	1	1.0	0.9175969362258911
10	CHEMBL1736901-CHEMBL3609197	1	198	99	1	1.0	0.5347029566764832
11	CHEMBL3586217-CHEMBL3586219	1	198	99	1	0.0	0.4763781726360321
12	CHEMBL4067954-CHEMBL4090611	1	198	99	1	0.0	0.37939542531967163
13	CHEMBL3604515-CHEMBL3586215	1	198	99	1	1.0	0.8397923111915588
14	CHEMBL3356266-CHEMBL3356264	1	198	99	1	0.0	0.23400439321994781
15	CHEMBL3127559-CHEMBL3127561	1	198	99	1	0.0	0.37034469842910767
16	CHEMBL3604417-CHEMBL3586219	1	198	99	1	1.0	0.9296582937240601
17	CHEMBL4293582-CHEMBL4292534	1	198	99	1	1.0	0.5945006012916565
18	CHEMBL3632828-CHEMBL3632825	1	198	99	1	0.0	0.3070243299007416
19	CHEMBL3604405-CHEMBL3586213	1	198	99	1	1.0	0.8988304734230042
20	CHEMBL3127564-CHEMBL3127563	1	198	99	1	0.0	0.37040048837661743
21	CHEMBL3604509-CHEMBL3311024	1	198	99	1	1.0	0.9178807139396667
22	CHEMBL4647308-CHEMBL4633773	1	198	99	1	0.0	0.19322621822357178
23	CHEMBL3604405-CHEMBL3586219	1	198	99	1	1.0	0.9285813570022583
24	CHEMBL49732-CHEMBL487711	1	198	99	1	0.0	0.45489951968193054
25	CHEMBL4635881-CHEMBL4647308	1	198	99	1	0.0	0.4045163691043854
26	CHEMBL2333976-CHEMBL3818845	1	198	99	1	0.0	0.4765191078186035
27	CHEMBL3601532-CHEMBL3601534	1	198	99	1	1.0	0.5127269625663757
28	CHEMBL3604509-CHEMBL3586219	1	198	99	1	1.0	0.9210220575332642
29	CHEMBL3604416-CHEMBL3311028	1	198	99	1	1.0	0.9320688843727112
30	CHEMBL3604509-CHEMBL3586213	1	198	99	1	1.0	0.8940223455429077
31	CHEMBL4244032-CHEMBL4238832	1	198	99	1	0.0	0.33838629722595215
32	CHEMBL4454802-CHEMBL3402958	1	198	99	1	0.0	0.4327605962753296
33	CHEMBL3604515-CHEMBL3586213	1	198	99	1	1.0	0.8004607558250427
34	CHEMBL4639447-CHEMBL4644555	1	198	99	1	0.0	0.36800873279571533
35	CHEMBL3604416-CHEMBL3586219	1	198	99	1	1.0	0.9327554106712341
36	CHEMBL3604514-CHEMBL3586213	1	198	99	1	1.0	0.8854680061340332
37	CHEMBL4067954-CHEMBL4092504	1	198	99	1	0.0	0.3290993869304657
38	CHEMBL3604416-CHEMBL3586216	1	198	99	1	1.0	0.8184787034988403
39	CHEMBL3604515-CHEMBL3586219	1	198	99	1	1.0	0.8530253767967224
40	CHEMBL4092504-CHEMBL4100256	1	198	99	1	0.0	0.3307282030582428
41	CHEMBL3604409-CHEMBL3586213	1	198	99	1	1.0	0.8922571539878845
42	CHEMBL1165321-CHEMBL1165319	1	198	99	1	0.0	0.3756672143936157
43	CHEMBL4293582-CHEMBL4277397	1	198	99	1	1.0	0.6614866256713867
44	CHEMBL3604416-CHEMBL3311025	1	198	99	1	1.0	0.9317461252212524
45	CHEMBL2333964-CHEMBL3359169	1	198	99	1	0.0	0.42683297395706177
46	CHEMBL2333964-CHEMBL3402960	1	198	99	1	1.0	0.5025948882102966
47	CHEMBL3604416-CHEMBL3310914	1	198	99	1	1.0	0.907206654548645
48	CHEMBL4092504-CHEMBL4069597_CHEMBL4082238	1	198	99	1	0.0	0.3469242751598358
49	CHEMBL4293582-CHEMBL4292113	1	198	99	1	1.0	0.6139476895332336
50	CHEMBL487711-CHEMBL191528	1	198	99	1	0.0	0.4520794451236725
51	CHEMBL3604418-CHEMBL3604416	1	198	99	1	1.0	0.7339878678321838
52	CHEMBL2333964-CHEMBL1338403	1	198	99	1	0.0	0.37166181206703186
53	CHEMBL3604509-CHEMBL3310912	1	198	99	1	1.0	0.8883469700813293
54	CHEMBL1593568_CHEMBL419-CHEMBL4558023	1	198	99	1	0.0	0.41029924154281616
55	CHEMBL3604416-CHEMBL3311024	1	198	99	1	1.0	0.931260347366333
56	CHEMBL2333964-CHEMBL4462614	1	198	99	1	0.0	0.37934035062789917
57	CHEMBL4090611-CHEMBL4069597_CHEMBL4082238	1	198	99	1	0.0	0.401843786239624
58	CHEMBL3342250-CHEMBL3342253	1	198	99	1	1.0	0.7000308036804199
59	CHEMBL487711-CHEMBL571514	1	198	99	1	0.0	0.4452493488788605
60	CHEMBL3127559-CHEMBL3127564	1	198	99	1	0.0	0.3719792664051056
61	CHEMBL3604414-CHEMBL3604416	1	198	99	1	1.0	0.716224730014801
62	CHEMBL3310912-CHEMBL3604416	1	198	99	1	1.0	0.8915309309959412
63	CHEMBL3604509-CHEMBL3311023	1	198	99	1	1.0	0.911291241645813
64	CHEMBL3342251-CHEMBL3342248	1	198	99	1	1.0	0.8035143613815308
65	CHEMBL3127561-CHEMBL3127560	1	198	99	1	0.0	0.37987783551216125
66	CHEMBL4636750-CHEMBL4638841	1	198	99	1	0.0	0.3438074290752411
67	CHEMBL2333964-CHEMBL3402958	1	198	99	1	0.0	0.4240459203720093
68	CHEMBL3342502-CHEMBL3342491	1	198	99	1	0.0	0.2629167139530182
69	CHEMBL4248617-CHEMBL4238832	1	198	99	1	0.0	0.3376493453979492
70	CHEMBL3310913-CHEMBL3604416	1	198	99	1	1.0	0.8895228505134583
71	CHEMBL3342253-CHEMBL3342249	1	198	99	1	1.0	0.8324708342552185
72	CHEMBL4638841-CHEMBL4644661	1	198	99	1	1.0	0.6314222812652588
73	CHEMBL3604418-CHEMBL3604509	1	198	99	1	1.0	0.702876091003418
74	CHEMBL3604417-CHEMBL3586213	1	198	99	1	1.0	0.9005544781684875
75	CHEMBL205743-CHEMBL208531	1	198	99	1	0.0	0.47972843050956726
76	CHEMBL3586215-CHEMBL3586217	1	198	99	1	0.0	0.4480321407318115
77	CHEMBL4293582-CHEMBL4284225	1	198	99	1	1.0	0.6374088525772095
78	CHEMBL3604416-CHEMBL3310916	1	198	99	1	1.0	0.9335044026374817
79	CHEMBL3604514-CHEMBL3586219	1	198	99	1	1.0	0.9160544872283936
80	CHEMBL3127563-CHEMBL3127561	1	198	99	1	0.0	0.3687688410282135
81	CHEMBL3586213-CHEMBL3604404	1	198	99	1	1.0	0.8915770649909973
82	CHEMBL3609197-CHEMBL3609478	1	198	99	1	1.0	0.5604233145713806
83	CHEMBL3342250-CHEMBL3342248	1	198	99	1	1.0	0.7547866106033325
84	CHEMBL3604509-CHEMBL3310915	1	198	99	1	1.0	0.9133220314979553
85	CHEMBL487711-CHEMBL568516	1	198	99	1	0.0	0.44799861311912537
86	CHEMBL3342251-CHEMBL3342247	1	198	99	1	1.0	0.7853427529335022
87	CHEMBL3342249-CHEMBL3342247	1	198	99	1	1.0	0.8387526273727417
88	CHEMBL1956745_CHEMBL1956749-CHEMBL1956744_CHEMBL1956748	1	198	99	1	1.0	0.8816149830818176
89	CHEMBL3604509-CHEMBL3586211	1	198	99	1	1.0	0.6633970737457275
90	CHEMBL2273029-CHEMBL3322093	1	198	99	1	0.0	0.4591269791126251
91	CHEMBL3632828-CHEMBL3632829	1	198	99	1	0.0	0.31010204553604126
92	CHEMBL3310911-CHEMBL3604509	1	198	99	1	1.0	0.6257461905479431
93	CHEMBL3586211-CHEMBL3604416	1	198	99	1	1.0	0.7143917679786682
94	CHEMBL4553372-CHEMBL180323	1	198	99	1	0.0	0.27284592390060425
95	CHEMBL4644030-CHEMBL4639231	1	198	99	1	0.0	0.26339784264564514
96	CHEMBL3342502-CHEMBL3342494	1	198	99	1	0.0	0.2317720651626587
97	CHEMBL3342501-CHEMBL3342494	1	198	99	1	1.0	0.5196720361709595
98	CHEMBL3586215-CHEMBL3586220	1	198	99	1	0.0	0.45294874906539917
99	CHEMBL4248394-CHEMBL4244142	1	198	99	0	0.0	0.2824038863182068
100	CHEMBL3261392-CHEMBL3261387	1	198	99	0	0.0	0.07426271587610245
101	CHEMBL3586218-CHEMBL3586220	1	198	99	0	0.0	0.44037139415740967
102	CHEMBL4174345-CHEMBL4163665	1	198	99	0	0.0	0.44808489084243774
103	CHEMBL4469524-CHEMBL4588654	1	198	99	0	0.0	0.17890167236328125
104	CHEMBL3356272-CHEMBL3356273	1	198	99	0	0.0	0.22082467377185822
105	CHEMBL3609481-CHEMBL3609476	1	198	99	0	0.0	0.456925630569458
