	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL4483693-CHEMBL4524590	2	138	69	-1	-1	-0.3078775917443904
1	CHEMBL174847-CHEMBL23591	2	138	69	-1	-1	-0.0005851446366373914
2	CHEMBL3104157-CHEMBL3104050	2	138	69	-1	-1	-0.05513747546566883
3	CHEMBL3342250-CHEMBL3342249	2	138	69	-1	-1	-0.2721248828946093
4	CHEMBL3343274-CHEMBL3343267	2	138	69	-1	-1	-0.3046620062541288
5	CHEMBL1165321-CHEMBL1165117	2	138	69	-1	-1	-0.2348825451434983
6	CHEMBL4643700-CHEMBL4649709	2	138	69	-1	-1	-0.6192723328993677
7	CHEMBL2436882-CHEMBL2436877	2	138	69	-1	-1	-0.6503835239324622
8	CHEMBL4174691-CHEMBL4166379	2	138	69	-1	-1	-0.3514435380500932
9	CHEMBL4163665-CHEMBL4170536	2	138	69	-1	-1	-0.3648686135241602
10	CHEMBL486026-CHEMBL466810	2	138	69	-1	-1	-0.28970815098349206
11	CHEMBL1736901-CHEMBL3609199	2	138	69	-1	-1	-0.20868996637550058
12	CHEMBL3604509-CHEMBL3311025	2	138	69	-1	-1	-0.7038757548558874
13	CHEMBL3586218-CHEMBL3586220	2	138	69	-1	-1	-0.7289942716658799
14	CHEMBL1164420-CHEMBL1163376	2	138	69	-1	-1	-0.22603678265320923
15	CHEMBL3261390-CHEMBL3261387	2	138	69	-1	1	0.1704235727457884
16	CHEMBL3342490-CHEMBL3342487	2	138	69	-1	-1	-0.32065420840791103
17	CHEMBL3322441-CHEMBL3322437	2	138	69	-1	-1	-0.3029202258902145
18	CHEMBL3342502-CHEMBL3342486	2	138	69	-1	-1	-0.06158298279181065
19	CHEMBL3121766-CHEMBL3121760	2	138	69	-1	-1	-0.7247147067337099
20	CHEMBL3125561-CHEMBL3125562	2	138	69	-1	-1	-0.28586491295091876
21	CHEMBL3586211-CHEMBL3311028	2	138	69	-1	-1	-0.42969567050240065
22	CHEMBL4643700-CHEMBL4469954	2	138	69	-1	-1	-0.8073537497302209
23	CHEMBL146816-CHEMBL1940391	2	138	69	-1	-1	-0.2707104371595795
24	CHEMBL3104061-CHEMBL3104062	2	138	69	-1	-1	-0.48123909237067813
25	CHEMBL3604418-CHEMBL3310912	2	138	69	-1	-1	-0.3347688502950858
26	CHEMBL3604509-CHEMBL3586219	2	138	69	-1	-1	-0.1974724990126518
27	CHEMBL3237850-CHEMBL3237851	2	138	69	-1	1	0.22041158212562229
28	CHEMBL4643700-CHEMBL4644997	2	138	69	-1	-1	-0.7562182837616171
29	CHEMBL3126817-CHEMBL3126814	2	138	69	-1	-1	-0.8417515284688677
30	CHEMBL3291094-CHEMBL3291092	2	138	69	-1	-1	-0.4417075032907202
31	CHEMBL3356258-CHEMBL3356261	2	138	69	-1	-1	-0.7653803445721463
32	CHEMBL4640698-CHEMBL4642319	2	138	69	-1	-1	-0.8257345074576287
33	CHEMBL4568027-CHEMBL4462536	2	138	69	-1	-1	-0.28676805879878065
34	CHEMBL3322438-CHEMBL3322437	2	138	69	-1	-1	-0.29459263969451216
35	CHEMBL3401463-CHEMBL3261393	2	138	69	-1	-1	-0.1327914261824308
36	CHEMBL3601532-CHEMBL3601534	2	138	69	-1	-1	-0.019686621058629117
37	CHEMBL3586212-CHEMBL3586219	2	138	69	1	1	0.8074142598705003
38	CHEMBL3604509-CHEMBL3586218	2	138	69	-1	-1	-1.037661810071334
39	CHEMBL3586220-CHEMBL3586219	2	138	69	-1	-1	-0.507488764189834
