	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL2016599-CHEMBL2019082	0.0	519	23	1	-1	0.11195158850226929
1	CHEMBL2018656-CHEMBL2018655	0.0	519	23	1	-1	0.1059001512859304
2	CHEMBL2018655-CHEMBL2019079	0.0	519	23	1	-1	0.10287443267776097
3	CHEMBL2018655-CHEMBL2019080	0.0	519	23	1	-1	0.1059001512859304
4	CHEMBL2018655-CHEMBL2019082	0.0	519	23	1	-1	0.10741301059001512
5	CHEMBL2018657-CHEMBL2018656	0.0	519	23	1	-1	0.11195158850226929
6	CHEMBL2018658-CHEMBL2018656	0.0	519	23	1	-1	0.11497730711043873
7	CHEMBL2018656-CHEMBL2019079	0.0	519	23	-1	-1	0.025718608169440244
8	CHEMBL2018656-CHEMBL2019080	0.0	519	23	-1	-1	0.028744326777609682
9	CHEMBL2018656-CHEMBL2019081	0.0	519	23	-1	-1	0.028744326777609682
10	CHEMBL2018656-CHEMBL2019082	0.0	519	23	-1	-1	0.030257186081694403
11	CHEMBL2018657-CHEMBL2019079	0.0	519	23	1	-1	0.10892586989409984
12	CHEMBL2018657-CHEMBL2019082	0.0	519	23	1	-1	0.11649016641452345
13	CHEMBL2018658-CHEMBL2019079	0.0	519	23	1	-1	0.11195158850226929
14	CHEMBL2018658-CHEMBL2019082	0.0	519	23	1	-1	0.11951588502269289
15	CHEMBL2018780-CHEMBL2019080	0.0	519	23	-1	-1	0.1059001512859304
16	CHEMBL2018780-CHEMBL2019081	0.0	519	23	-1	-1	0.1059001512859304
17	CHEMBL2019080-CHEMBL2019079	0.0	519	23	-1	-1	0.025718608169440244
18	CHEMBL2019081-CHEMBL2019079	0.0	519	23	-1	-1	0.025718608169440244
19	CHEMBL2019082-CHEMBL2019079	0.0	519	23	-1	-1	0.02723146747352496
20	CHEMBL2016599-CHEMBL2018655	1.0	500	18	-1	-1	0.0
21	CHEMBL2018657-CHEMBL2016599	1.0	500	18	-1	-1	0.030252100840336135
22	CHEMBL2016599-CHEMBL2018658	1.0	500	18	-1	-1	0.043697478991596636
23	CHEMBL2016599-CHEMBL2018659	1.0	500	18	-1	-1	0.043697478991596636
24	CHEMBL2016599-CHEMBL2018660	1.0	500	18	-1	-1	0.03865546218487395
25	CHEMBL2016599-CHEMBL2018662	1.0	500	18	-1	-1	0.05546218487394958
26	CHEMBL2018664-CHEMBL2016599	1.0	500	18	-1	-1	0.0
27	CHEMBL2018665-CHEMBL2016599	1.0	500	18	1	-1	0.0
28	CHEMBL2018666-CHEMBL2016599	1.0	500	18	-1	-1	0.0
29	CHEMBL2018778-CHEMBL2016599	1.0	500	18	-1	-1	0.0
30	CHEMBL2016599-CHEMBL2018780	1.0	500	18	-1	-1	0.0
31	CHEMBL2016599-CHEMBL2018781	1.0	500	18	-1	-1	0.0
32	CHEMBL2018657-CHEMBL2018655	1.0	500	18	-1	-1	0.030252100840336135
33	CHEMBL2018658-CHEMBL2018655	1.0	500	18	-1	-1	0.043697478991596636
34	CHEMBL2018659-CHEMBL2018655	1.0	500	18	-1	-1	0.043697478991596636
35	CHEMBL2018660-CHEMBL2018655	1.0	500	18	-1	-1	0.03865546218487395
36	CHEMBL2018661-CHEMBL2018655	1.0	500	18	1	-1	0.005042016806722689
37	CHEMBL2018662-CHEMBL2018655	1.0	500	18	-1	-1	0.05546218487394958
38	CHEMBL2018664-CHEMBL2018655	1.0	500	18	-1	-1	0.0
39	CHEMBL2018665-CHEMBL2018655	1.0	500	18	1	-1	0.0
40	CHEMBL2018666-CHEMBL2018655	1.0	500	18	-1	-1	0.0
41	CHEMBL2018657-CHEMBL2018658	1.0	500	18	-1	-1	0.005042016806722689
42	CHEMBL2018657-CHEMBL2018659	1.0	500	18	-1	-1	0.005042016806722689
43	CHEMBL2018657-CHEMBL2018660	1.0	500	18	-1	-1	0.005042016806722689
44	CHEMBL2018657-CHEMBL2018662	1.0	500	18	-1	-1	0.08907563025210084
45	CHEMBL2018657-CHEMBL2018664	1.0	500	18	-1	-1	0.031932773109243695
46	CHEMBL2018657-CHEMBL2018665	1.0	500	18	1	-1	0.030252100840336135
47	CHEMBL2018657-CHEMBL2018666	1.0	500	18	-1	-1	0.030252100840336135
48	CHEMBL2018659-CHEMBL2018658	1.0	500	18	-1	-1	0.023529411764705882
49	CHEMBL2018658-CHEMBL2018660	1.0	500	18	-1	-1	0.025210084033613446
50	CHEMBL2018658-CHEMBL2018662	1.0	500	18	-1	-1	0.10756302521008404
51	CHEMBL2018664-CHEMBL2018658	1.0	500	18	-1	-1	0.047058823529411764
52	CHEMBL2018665-CHEMBL2018658	1.0	500	18	1	-1	0.0453781512605042
53	CHEMBL2018666-CHEMBL2018658	1.0	500	18	-1	-1	0.0453781512605042
54	CHEMBL2018778-CHEMBL2018658	1.0	500	18	-1	-1	0.0453781512605042
55	CHEMBL2018658-CHEMBL2018780	1.0	500	18	-1	-1	0.043697478991596636
56	CHEMBL2018658-CHEMBL2018781	1.0	500	18	-1	-1	0.043697478991596636
57	CHEMBL2018659-CHEMBL2018660	1.0	500	18	-1	-1	0.025210084033613446
58	CHEMBL2018659-CHEMBL2018662	1.0	500	18	-1	-1	0.10756302521008404
59	CHEMBL2018664-CHEMBL2018659	1.0	500	18	-1	-1	0.047058823529411764
60	CHEMBL2018665-CHEMBL2018659	1.0	500	18	1	-1	0.0453781512605042
61	CHEMBL2018666-CHEMBL2018659	1.0	500	18	-1	-1	0.0453781512605042
62	CHEMBL2018778-CHEMBL2018659	1.0	500	18	-1	-1	0.0453781512605042
63	CHEMBL2018659-CHEMBL2018780	1.0	500	18	-1	-1	0.043697478991596636
64	CHEMBL2018659-CHEMBL2018781	1.0	500	18	-1	-1	0.043697478991596636
65	CHEMBL2018662-CHEMBL2018660	1.0	500	18	-1	-1	0.10084033613445378
66	CHEMBL2018664-CHEMBL2018660	1.0	500	18	-1	-1	0.043697478991596636
67	CHEMBL2018665-CHEMBL2018660	1.0	500	18	1	-1	0.04201680672268908
68	CHEMBL2018666-CHEMBL2018660	1.0	500	18	-1	-1	0.04201680672268908
69	CHEMBL2018660-CHEMBL2018780	1.0	500	18	-1	-1	0.03865546218487395
70	CHEMBL2018660-CHEMBL2018781	1.0	500	18	-1	-1	0.03865546218487395
71	CHEMBL2018778-CHEMBL2018661	1.0	500	18	-1	-1	0.005042016806722689
72	CHEMBL2018661-CHEMBL2018780	1.0	500	18	-1	-1	0.005042016806722689
73	CHEMBL2018661-CHEMBL2018781	1.0	500	18	-1	-1	0.005042016806722689
74	CHEMBL2018664-CHEMBL2018662	1.0	500	18	-1	-1	0.05378151260504202
75	CHEMBL2018665-CHEMBL2018662	1.0	500	18	1	-1	0.05546218487394958
76	CHEMBL2018666-CHEMBL2018662	1.0	500	18	-1	-1	0.05546218487394958
77	CHEMBL2018778-CHEMBL2018662	1.0	500	18	-1	-1	0.05546218487394958
78	CHEMBL2018662-CHEMBL2018780	1.0	500	18	-1	-1	0.05546218487394958
79	CHEMBL2018662-CHEMBL2018781	1.0	500	18	-1	-1	0.05546218487394958
80	CHEMBL2018665-CHEMBL2018664	1.0	500	18	1	-1	0.0
81	CHEMBL2018666-CHEMBL2018664	1.0	500	18	-1	-1	0.0
82	CHEMBL2018778-CHEMBL2018664	1.0	500	18	-1	-1	0.0
83	CHEMBL2018664-CHEMBL2018780	1.0	500	18	-1	-1	0.0
84	CHEMBL2018664-CHEMBL2018781	1.0	500	18	-1	-1	0.0
85	CHEMBL2018666-CHEMBL2018665	1.0	500	18	1	-1	0.0
86	CHEMBL2018666-CHEMBL2018778	1.0	500	18	-1	-1	0.0
87	CHEMBL2018666-CHEMBL2018780	1.0	500	18	-1	-1	0.0
88	CHEMBL2018666-CHEMBL2018781	1.0	500	18	-1	-1	0.0
89	CHEMBL2018778-CHEMBL2018781	1.0	500	18	-1	-1	0.0
90	CHEMBL226223-CHEMBL225242	2.0	457	32	-1	-1	0.0
91	CHEMBL245469_CHEMBL245665-CHEMBL225242	2.0	457	32	-1	-1	0.017994858611825194
92	CHEMBL245860-CHEMBL225242	2.0	457	32	-1	-1	0.0
93	CHEMBL246273-CHEMBL225242	2.0	457	32	-1	-1	0.0
94	CHEMBL246476-CHEMBL225242	2.0	457	32	-1	-1	0.0
95	CHEMBL246477-CHEMBL225242	2.0	457	32	-1	-1	0.012853470437017995
96	CHEMBL246478-CHEMBL225242	2.0	457	32	-1	-1	0.010282776349614395
97	CHEMBL247552_CHEMBL394295-CHEMBL225242	2.0	457	32	-1	-1	0.002570694087403599
98	CHEMBL247553-CHEMBL225242	2.0	457	32	-1	-1	0.012853470437017995
99	CHEMBL247747-CHEMBL225242	2.0	457	32	-1	-1	0.012853470437017995
100	CHEMBL248125-CHEMBL225242	2.0	457	32	-1	-1	0.017994858611825194
101	CHEMBL395923-CHEMBL225242	2.0	457	32	-1	-1	0.0
102	CHEMBL397311-CHEMBL225242	2.0	457	32	-1	-1	0.0
103	CHEMBL397387-CHEMBL225242	2.0	457	32	-1	-1	0.0
104	CHEMBL398114-CHEMBL225242	2.0	457	32	-1	-1	0.005141388174807198
105	CHEMBL245467-CHEMBL226223	2.0	457	32	-1	-1	0.0
106	CHEMBL245469_CHEMBL245665-CHEMBL226223	2.0	457	32	-1	-1	0.017994858611825194
107	CHEMBL245860-CHEMBL226223	2.0	457	32	-1	-1	0.0
108	CHEMBL246063-CHEMBL226223	2.0	457	32	-1	-1	0.012853470437017995
109	CHEMBL246478-CHEMBL226223	2.0	457	32	-1	-1	0.005141388174807198
110	CHEMBL247552_CHEMBL394295-CHEMBL226223	2.0	457	32	-1	-1	0.002570694087403599
111	CHEMBL247553-CHEMBL226223	2.0	457	32	-1	-1	0.012853470437017995
112	CHEMBL247712-CHEMBL226223	2.0	457	32	1	-1	0.010282776349614395
113	CHEMBL247747-CHEMBL226223	2.0	457	32	-1	-1	0.012853470437017995
114	CHEMBL248125-CHEMBL226223	2.0	457	32	-1	-1	0.017994858611825194
115	CHEMBL395923-CHEMBL226223	2.0	457	32	-1	-1	0.0
116	CHEMBL397311-CHEMBL226223	2.0	457	32	-1	-1	0.0
117	CHEMBL397387-CHEMBL226223	2.0	457	32	-1	-1	0.0
