	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL330969-CHEMBL125705	2.0	78	4	-1	-1	0.4999334216117859
1	CHEMBL334079-CHEMBL125705	2.0	78	4	-1	-1	0.4999321699142456
2	CHEMBL339265-CHEMBL125705	2.0	78	4	-1	-1	0.4999326467514038
3	CHEMBL435586-CHEMBL125705	2.0	78	4	-1	-1	0.4999328851699829
4	CHEMBL334079-CHEMBL330969	2.0	78	4	-1	-1	0.4999319314956665
5	CHEMBL339265-CHEMBL330969	2.0	78	4	-1	-1	0.49993258714675903
6	CHEMBL435586-CHEMBL330969	2.0	78	4	-1	-1	0.4999328851699829
7	CHEMBL339265-CHEMBL334079	2.0	78	4	-1	-1	0.49993205070495605
8	CHEMBL435586-CHEMBL334079	2.0	78	4	-1	-1	0.4999324083328247
9	CHEMBL339265-CHEMBL435586	2.0	78	4	-1	-1	0.49993300437927246
10	CHEMBL124488-CHEMBL124476	3.0	85	4	-1	-1	0.4436328709125519
11	CHEMBL124476-CHEMBL124914	3.0	85	4	-1	-1	0.4440426230430603
12	CHEMBL124488-CHEMBL124914	3.0	85	4	-1	-1	0.4434854984283447
13	CHEMBL124216-CHEMBL123899	4.0	73	4	-1	-1	0.49994218349456787
14	CHEMBL123899-CHEMBL124782	4.0	73	4	-1	-1	0.49994373321533203
15	CHEMBL123899-CHEMBL124783	4.0	73	4	-1	-1	0.4999431371688843
16	CHEMBL123899-CHEMBL127565	4.0	73	4	-1	-1	0.4999427795410156
17	CHEMBL331636-CHEMBL123899	4.0	73	4	-1	-1	0.49994349479675293
18	CHEMBL124216-CHEMBL124782	4.0	73	4	-1	-1	0.4999435544013977
19	CHEMBL124216-CHEMBL124783	4.0	73	4	-1	-1	0.49994295835494995
20	CHEMBL124216-CHEMBL127565	4.0	73	4	-1	-1	0.4999426007270813
21	CHEMBL124216-CHEMBL331636	4.0	73	4	-1	-1	0.4999433159828186
22	CHEMBL124783-CHEMBL124782	4.0	73	4	-1	-1	0.49994468688964844
23	CHEMBL124782-CHEMBL127565	4.0	73	4	-1	-1	0.49994611740112305
24	CHEMBL331636-CHEMBL124782	4.0	73	4	-1	-1	0.49994492530822754
25	CHEMBL124783-CHEMBL127565	4.0	73	4	-1	-1	0.4999455213546753
26	CHEMBL331636-CHEMBL124783	4.0	73	4	-1	-1	0.4999443292617798
27	CHEMBL331636-CHEMBL127565	4.0	73	4	-1	-1	0.49994397163391113
28	CHEMBL123690-CHEMBL123634	5.0	73	4	-1	-1	0.49998539686203003
29	CHEMBL123634-CHEMBL123972	5.0	73	4	-1	-1	0.49998724460601807
30	CHEMBL123973-CHEMBL123634	5.0	73	4	-1	-1	0.49998557567596436
31	CHEMBL123634-CHEMBL124445	5.0	73	4	-1	-1	0.4999859929084778
32	CHEMBL331317-CHEMBL123634	5.0	73	4	-1	-1	0.4999852180480957
33	CHEMBL123690-CHEMBL123972	5.0	73	4	-1	-1	0.4999866485595703
34	CHEMBL123690-CHEMBL123973	5.0	73	4	-1	-1	0.49998557567596436
35	CHEMBL123690-CHEMBL124445	5.0	73	4	-1	-1	0.49998563528060913
36	CHEMBL123690-CHEMBL331317	5.0	73	4	-1	-1	0.4999852180480957
37	CHEMBL123973-CHEMBL123972	5.0	73	4	-1	-1	0.4999868869781494
38	CHEMBL124445-CHEMBL123972	5.0	73	4	-1	-1	0.49998748302459717
39	CHEMBL331317-CHEMBL123972	5.0	73	4	-1	-1	0.49998652935028076
40	CHEMBL123973-CHEMBL124445	5.0	73	4	-1	-1	0.49998587369918823
41	CHEMBL123973-CHEMBL331317	5.0	73	4	-1	-1	0.4999854564666748
42	CHEMBL331317-CHEMBL124445	5.0	73	4	-1	-1	0.4999854564666748
43	CHEMBL123612-CHEMBL125033	6.0	73	4	-1	-1	0.4015617072582245
44	CHEMBL126005-CHEMBL123612	6.0	73	4	-1	-1	0.4000912606716156
45	CHEMBL123612-CHEMBL127576	6.0	73	4	-1	-1	0.40517425537109375
46	CHEMBL123612-CHEMBL339784	6.0	73	4	-1	-1	0.4033667743206024
47	CHEMBL123612-CHEMBL445840	6.0	73	4	-1	-1	0.4026787281036377
48	CHEMBL126005-CHEMBL125033	6.0	73	4	-1	-1	0.39570263028144836
49	CHEMBL125033-CHEMBL127576	6.0	73	4	-1	-1	0.4100830554962158
50	CHEMBL125033-CHEMBL339784	6.0	73	4	-1	-1	0.40581223368644714
51	CHEMBL445840-CHEMBL125033	6.0	73	4	-1	-1	0.3979767858982086
52	CHEMBL126005-CHEMBL127576	6.0	73	4	-1	-1	0.39929768443107605
53	CHEMBL126005-CHEMBL339784	6.0	73	4	-1	-1	0.39749887585639954
54	CHEMBL126005-CHEMBL445840	6.0	73	4	-1	-1	0.39694035053253174
55	CHEMBL339784-CHEMBL127576	6.0	73	4	-1	-1	0.41190004348754883
56	CHEMBL445840-CHEMBL127576	6.0	73	4	-1	-1	0.40157872438430786
57	CHEMBL445840-CHEMBL339784	6.0	73	4	-1	-1	0.39977651834487915
