	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL242232-CHEMBL242230	2	81	5	0	0.0	0.0
1	CHEMBL242447-CHEMBL243746	2	81	5	0	0.0	0.0
2	CHEMBL397477-CHEMBL388923	2	81	5	1	1.0	0.9999980926513672
3	CHEMBL242232-CHEMBL242449	2	81	5	0	0.0	0.0
4	CHEMBL242875-CHEMBL243102	2	81	5	0	0.0	0.0
5	CHEMBL242230-CHEMBL242449	2	81	5	0	0.0	0.0
6	CHEMBL243746-CHEMBL242230	2	81	5	0	0.0	0.0
7	CHEMBL242232-CHEMBL243745	2	81	5	0	0.0	0.0
8	CHEMBL242876-CHEMBL430001	2	81	5	0	0.0	9.851846303509436e-22
9	CHEMBL242663-CHEMBL242875	2	81	5	0	0.0	2.3595797688171923e-35
10	CHEMBL245228-CHEMBL243746	2	81	5	0	0.0	0.0
11	CHEMBL242461-CHEMBL437011	2	81	5	0	0.0	1.9625692401509937e-13
12	CHEMBL245022-CHEMBL243306	2	81	5	0	0.0	1.7552769493361667e-36
13	CHEMBL242232-CHEMBL242446	2	81	5	0	0.0	0.0
14	CHEMBL245021-CHEMBL395481	2	81	5	0	0.0	0.0
15	CHEMBL242678-CHEMBL242892	2	81	5	0	0.0	0.0
16	CHEMBL242461-CHEMBL242673	2	81	5	0	0.0	3.2339113994222275e-27
17	CHEMBL244620-CHEMBL388715	2	81	5	0	0.0	0.0
18	CHEMBL396988-CHEMBL242876	2	81	5	0	0.0	2.356341304802362e-13
19	CHEMBL437011-CHEMBL242673	2	81	5	0	0.0	2.41894163261385e-25
20	CHEMBL242875-CHEMBL430001	2	81	5	0	0.0	0.0
21	CHEMBL430001-CHEMBL243102	2	81	5	0	0.0	0.0
22	CHEMBL243110-CHEMBL398228	2	81	5	0	0.0	0.0
23	CHEMBL244620-CHEMBL446710	2	81	5	0	0.0	0.0
24	CHEMBL245228-CHEMBL242230	2	81	5	0	0.0	0.0
25	CHEMBL398002-CHEMBL437011	2	81	5	0	0.0	6.763034616596997e-05
26	CHEMBL230639-CHEMBL230640	2	81	5	1	1.0	0.9998831748962402
27	CHEMBL243101-CHEMBL242664	2	81	5	1	1.0	0.9999970197677612
28	CHEMBL397452-CHEMBL242678	2	81	5	0	0.0	0.0
29	CHEMBL398002-CHEMBL242673	2	81	5	0	0.0	4.522036659571603e-19
30	CHEMBL242662-CHEMBL243745	2	81	5	0	0.0	0.0
31	CHEMBL245007-CHEMBL245227	2	81	5	0	0.0	4.8429119487991557e-05
32	CHEMBL243101-CHEMBL242876	2	81	5	0	0.0	5.1150469516869634e-05
33	CHEMBL242662-CHEMBL245228	2	81	5	0	0.0	0.0
34	CHEMBL243323-CHEMBL243111	2	81	5	1	1.0	0.9999998807907104
35	CHEMBL243110-CHEMBL395481	2	81	5	0	0.0	0.0
36	CHEMBL245227-CHEMBL394570	2	81	5	0	0.0	2.2014660082990762e-30
37	CHEMBL245053-CHEMBL243103	2	81	5	0	0.0	0.0
38	CHEMBL437011-CHEMBL242024	2	81	5	0	0.0	3.845783053178461e-30
39	CHEMBL437011-CHEMBL243322	2	81	5	0	0.0	8.60966780438949e-22
40	CHEMBL243101-CHEMBL243102	2	81	5	0	0.0	4.4749207699492995e-24
41	CHEMBL388923-CHEMBL394570	2	81	5	0	0.0	2.2863104513800544e-21
42	CHEMBL245053-CHEMBL388715	2	81	5	0	0.0	0.0
43	CHEMBL243100-CHEMBL396988	2	81	5	0	0.0	2.2312811779556796e-05
44	CHEMBL243101-CHEMBL242663	2	81	5	0	0.0	7.688434714185274e-14
45	CHEMBL243322-CHEMBL242024	2	81	5	0	0.0	0.0
46	CHEMBL242446-CHEMBL242230	2	81	5	0	0.0	0.0
47	CHEMBL243101-CHEMBL396988	2	81	5	0	0.0	1.7885958881160075e-18
48	CHEMBL243100-CHEMBL242876	2	81	5	0	0.0	1.7250789470811328e-15
49	CHEMBL242891-CHEMBL242678	2	81	5	0	0.0	0.0
50	CHEMBL243100-CHEMBL430001	2	81	5	0	0.0	1.0495082450670545e-13
51	CHEMBL242875-CHEMBL242876	2	81	5	0	0.0	7.148246144476688e-27
52	CHEMBL245007-CHEMBL388923	2	81	5	0	0.0	2.0143744332166925e-32
53	CHEMBL242679-CHEMBL242678	2	81	5	0	0.0	1.2436999639737359e-36
54	CHEMBL242232-CHEMBL242447	2	81	5	0	0.0	0.0
55	CHEMBL398228-CHEMBL395481	2	81	5	0	0.0	0.0
56	CHEMBL243745-CHEMBL242446	2	81	5	0	0.0	0.0
57	CHEMBL243745-CHEMBL242230	2	81	5	0	0.0	0.0
58	CHEMBL243117-CHEMBL242892	2	81	5	0	0.0	0.0
59	CHEMBL242232-CHEMBL243746	2	81	5	0	0.0	0.0
60	CHEMBL245053-CHEMBL446710	2	81	5	0	0.0	0.0
61	CHEMBL243100-CHEMBL242875	2	81	5	0	0.0	4.2640524682012676e-19
62	CHEMBL243117-CHEMBL397452	2	81	5	0	0.0	1.0012838495402056e-35
63	CHEMBL242679-CHEMBL397452	2	81	5	0	0.0	3.229134805089151e-38
64	CHEMBL396988-CHEMBL242664	2	81	5	1	1.0	0.9995123147964478
65	CHEMBL245021-CHEMBL243110	2	81	5	0	0.0	0.0
66	CHEMBL242679-CHEMBL243117	2	81	5	0	0.0	2.6961430329217182e-28
67	CHEMBL396988-CHEMBL243102	2	81	5	0	0.0	3.5811338419517046e-32
68	CHEMBL242446-CHEMBL242449	2	81	5	0	0.0	0.0
69	CHEMBL242232-CHEMBL245228	2	81	5	0	0.0	0.0
70	CHEMBL242673-CHEMBL243322	2	81	5	0	0.0	0.0
71	CHEMBL242876-CHEMBL243102	2	81	5	0	0.0	0.0
72	CHEMBL242663-CHEMBL243102	2	81	5	0	0.0	2.3407897842275815e-08
73	CHEMBL243101-CHEMBL430001	2	81	5	0	0.0	1.0999457419488935e-22
74	CHEMBL242663-CHEMBL430001	2	81	5	0	0.0	5.874965154362144e-07
