	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1083781-CHEMBL1086573	1	221	17	0	0.0	0.0006639339262619615
1	CHEMBL1082509-CHEMBL1086252	1	221	17	0	0.0	0.00013520507491193712
2	CHEMBL1082508-CHEMBL1085037	1	221	17	0	0.0	0.02333156205713749
3	CHEMBL230930-CHEMBL231431	1	221	17	0	0.0	9.028250147480321e-09
4	CHEMBL196598-CHEMBL197408	1	221	17	0	0.0	1.365817894338761e-07
5	CHEMBL1084071-CHEMBL1085036	1	221	17	0	0.0	6.654090611846186e-07
6	CHEMBL1085037-CHEMBL1084711	1	221	17	0	0.0	0.006411517038941383
7	CHEMBL1085651-CHEMBL1083173	1	221	17	0	0.0	2.42726599708476e-07
8	CHEMBL1086253-CHEMBL1085038	1	221	17	0	0.0	2.774299048269313e-07
9	CHEMBL599263-CHEMBL599466	1	221	17	0	0.0	1.2572991181514226e-07
10	CHEMBL605971-CHEMBL591940	1	221	17	0	0.0	6.397755214493372e-08
11	CHEMBL1086253-CHEMBL1085036	1	221	17	0	0.0	3.465271731784014e-07
12	CHEMBL1085409-CHEMBL1083173	1	221	17	0	0.0	0.08972885459661484
13	CHEMBL1082509-CHEMBL1084874	1	221	17	0	0.0	1.853689354902599e-05
14	CHEMBL1086477-CHEMBL1084711	1	221	17	0	0.0	0.0066483234986662865
15	CHEMBL1949767-CHEMBL1949770	1	221	17	0	0.0	1.438434082956519e-07
16	CHEMBL483148-CHEMBL482573	1	221	17	1	1.0	0.9987719655036926
17	CHEMBL598229_CHEMBL604102-CHEMBL597002	1	221	17	0	0.0	9.621604135645612e-08
18	CHEMBL1084359-CHEMBL1084874	1	221	17	0	0.0	7.94987897734245e-07
19	CHEMBL1085585-CHEMBL1086113	1	221	17	0	0.0	1.771753522916697e-05
20	CHEMBL230930-CHEMBL230070	1	221	17	0	0.0	3.241810375698151e-08
21	CHEMBL1086253-CHEMBL1083782	1	221	17	0	0.0	0.19753077626228333
22	CHEMBL1085585-CHEMBL1085036	1	221	17	0	0.0	6.261046655708924e-05
23	CHEMBL1085585-CHEMBL1083481	1	221	17	1	1.0	0.9954239726066589
24	CHEMBL1086252-CHEMBL1083481	1	221	17	1	1.0	0.9897420406341553
25	CHEMBL1086477-CHEMBL1082510	1	221	17	0	0.0	0.00011409910803195089
26	CHEMBL1086477-CHEMBL1084358	1	221	17	0	0.0	1.1538121725607198e-05
27	CHEMBL1083886-CHEMBL1083781	1	221	17	0	0.0	0.013854673132300377
28	CHEMBL1085409-CHEMBL1083481	1	221	17	0	1.0	0.9981910586357117
29	CHEMBL1085037-CHEMBL1083781	1	221	17	0	0.0	0.02004835568368435
30	CHEMBL1086252-CHEMBL1085038	1	221	17	0	0.0	3.770962939597666e-05
31	CHEMBL1082508-CHEMBL1086476	1	221	17	0	0.0	8.175669063348323e-05
32	CHEMBL1082509-CHEMBL1085038	1	221	17	0	0.0	3.6616870602301788e-06
33	CHEMBL599466-CHEMBL599023	1	221	17	0	0.0	8.633292480908494e-08
34	CHEMBL1084359-CHEMBL1083780	1	221	17	0	0.0	2.9156950404285453e-05
35	CHEMBL1085852-CHEMBL1086572	1	221	17	0	0.0	0.4174655079841614
36	CHEMBL1085651-CHEMBL1086476	1	221	17	0	0.0	7.53205995351891e-08
37	CHEMBL1085658-CHEMBL1085037	1	221	17	0	0.0	3.6664639537775656e-06
38	CHEMBL231640-CHEMBL230070	1	221	17	0	0.0	5.915433476388898e-08
39	CHEMBL1086114-CHEMBL1083173	1	221	17	0	0.0	5.412792916104081e-07
40	CHEMBL1084071-CHEMBL1084874	1	221	17	0	0.0	6.621047532462399e-07
41	CHEMBL1085036-CHEMBL1083173	1	221	17	0	0.0	1.3088741752653732e-06
42	CHEMBL1084071-CHEMBL1083173	1	221	17	0	0.0	8.57331724546384e-06
43	CHEMBL231640-CHEMBL231430	1	221	17	0	0.0	3.6648239643000124e-07
44	CHEMBL598443-CHEMBL597002	1	221	17	0	0.0	5.9278679742647e-08
45	CHEMBL1085651-CHEMBL1084711	1	221	17	0	0.0	6.25494521955261e-06
46	CHEMBL1085651-CHEMBL1086477	1	221	17	0	0.0	2.801163645926863e-06
47	CHEMBL1083780-CHEMBL1084358	1	221	17	0	0.0	9.175823265650251e-07
48	CHEMBL598229_CHEMBL604102-CHEMBL2103880	1	221	17	0	0.0	4.730634106664411e-09
49	CHEMBL1085585-CHEMBL1085120	1	221	17	0	0.0	0.003351296065375209
50	CHEMBL1086113-CHEMBL1084711	1	221	17	0	0.0	1.1594642273848876e-05
51	CHEMBL1084359-CHEMBL1083173	1	221	17	0	0.0	2.1858938907826087e-06
52	CHEMBL1085462-CHEMBL1086079	1	221	17	0	0.0	6.818024849053472e-05
53	CHEMBL1086080-CHEMBL1085113	1	221	17	0	0.0	0.0029923352412879467
54	CHEMBL1086252-CHEMBL1085037	1	221	17	0	0.0	0.0055678230710327625
55	CHEMBL231431-CHEMBL231640	1	221	17	0	0.0	5.1460975925010644e-08
56	CHEMBL1085651-CHEMBL1085037	1	221	17	0	0.0	5.194243385631125e-06
57	CHEMBL1084358-CHEMBL1086114	1	221	17	0	0.0	1.6284926118714793e-07
58	CHEMBL1086477-CHEMBL1085037	1	221	17	0	0.0	0.005359487142413855
59	CHEMBL1086476-CHEMBL1083173	1	221	17	0	0.0	7.000966775194684e-07
60	CHEMBL1085409-CHEMBL1086252	1	221	17	1	1.0	0.9906214475631714
61	CHEMBL1086114-CHEMBL1086476	1	221	17	0	0.0	1.7861900403204345e-07
62	CHEMBL1085852-CHEMBL1083782	1	221	17	1	1.0	0.8978093266487122
63	CHEMBL1085585-CHEMBL1082508	1	221	17	0	0.0	0.027031684294342995
64	CHEMBL196598-CHEMBL196370_CHEMBL430500	1	221	17	0	0.0	1.1364533314406344e-08
65	CHEMBL1085585-CHEMBL1085038	1	221	17	0	0.0	6.659975770162418e-05
66	CHEMBL1084358-CHEMBL1083173	1	221	17	0	0.0	1.788412419045926e-06
67	CHEMBL407860-CHEMBL175940	1	221	17	1	1.0	0.9995613694190979
68	CHEMBL1084874-CHEMBL1086476	1	221	17	0	0.0	7.186043831097777e-07
69	CHEMBL1084359-CHEMBL1082509	1	221	17	0	0.0	2.8549761736940127e-06
70	CHEMBL1085585-CHEMBL1082509	1	221	17	0	0.0	0.00027095951372757554
71	CHEMBL1083886-CHEMBL1083481	1	221	17	1	1.0	0.9895176291465759
72	CHEMBL1084874-CHEMBL1083173	1	221	17	0	0.0	2.2049086965125753e-06
73	CHEMBL1083886-CHEMBL1084711	1	221	17	0	0.0	0.0045571886003017426
74	CHEMBL231350-CHEMBL231249	1	221	17	0	0.0	1.772287873791356e-06
75	CHEMBL1085585-CHEMBL1085037	1	221	17	0	0.0	0.01699794828891754
76	CHEMBL1083780-CHEMBL1086573	1	221	17	0	0.0	1.765492561389692e-05
77	CHEMBL370128-CHEMBL196169	1	221	17	0	0.0	4.513617213319776e-08
78	CHEMBL1084604-CHEMBL1084603	1	221	17	0	0.0	0.00016153378237504512
79	CHEMBL1082510-CHEMBL1083173	1	221	17	0	0.0	3.438437488512136e-05
80	CHEMBL1085651-CHEMBL1086573	1	221	17	0	0.0	1.2015099173368071e-06
81	CHEMBL1084071-CHEMBL1084711	1	221	17	0	0.0	6.100292011979036e-05
82	CHEMBL231249-CHEMBL231349	1	221	17	0	0.0	5.5845775932539254e-06
83	CHEMBL1083780-CHEMBL1084071	1	221	17	0	0.0	9.666382538853213e-07
84	CHEMBL1084358-CHEMBL1086113	1	221	17	0	0.0	2.4208162585637183e-07
85	CHEMBL1083481-CHEMBL1084711	1	221	17	1	1.0	0.9839733242988586
86	CHEMBL1084359-CHEMBL1086476	1	221	17	0	0.0	7.106592647687648e-07
87	CHEMBL1084874-CHEMBL1085409	1	221	17	0	0.0	0.05033790320158005
88	CHEMBL1082510-CHEMBL1086573	1	221	17	0	0.0	4.054787859786302e-05
89	CHEMBL1083886-CHEMBL1086252	1	221	17	0	0.0	0.001634593354538083
90	CHEMBL1085111-CHEMBL1086079	1	221	17	0	0.0	0.012212417088449001
91	CHEMBL1085120-CHEMBL1083781	1	221	17	0	0.0	0.03184191882610321
92	CHEMBL1084711-CHEMBL1086573	1	221	17	0	0.0	0.00022945617092773318
93	CHEMBL1084875-CHEMBL1083782	1	221	17	0	0.0	0.29457730054855347
94	CHEMBL1949770-CHEMBL1949769	1	221	17	0	0.0	5.884026563762745e-07
95	CHEMBL1083780-CHEMBL1086476	1	221	17	0	0.0	1.0190940429311013e-06
96	CHEMBL1082508-CHEMBL1086113	1	221	17	0	0.0	2.885287904064171e-05
97	CHEMBL433946-CHEMBL443796	1	221	17	0	0.0	1.3517245633920538e-07
98	CHEMBL1082509-CHEMBL1086113	1	221	17	0	0.0	1.0857688721443992e-06
99	CHEMBL1085036-CHEMBL1085038	1	221	17	0	0.0	9.591697107680375e-07
100	CHEMBL1086323-CHEMBL1085462	1	221	17	0	0.0	0.00013681725249625742
101	CHEMBL1084359-CHEMBL1084358	1	221	17	0	0.0	6.280518505263899e-07
102	CHEMBL267014-CHEMBL435949	1	221	17	0	0.0	1.7155667819679365e-07
103	CHEMBL1085036-CHEMBL1083781	1	221	17	0	0.0	0.00010597456275718287
104	CHEMBL1086253-CHEMBL1086476	1	221	17	0	0.0	1.7576796551566076e-07
105	CHEMBL1086113-CHEMBL1085037	1	221	17	0	0.0	9.566507287672721e-06
106	CHEMBL1082509-CHEMBL1086573	1	221	17	0	0.0	5.638425500364974e-05
107	CHEMBL1086476-CHEMBL1084711	1	221	17	0	0.0	2.20226665987866e-05
108	CHEMBL1086477-CHEMBL1085120	1	221	17	0	0.0	0.0013655982911586761
109	CHEMBL1082510-CHEMBL1082509	1	221	17	0	0.0	1.3451956874632742e-05
110	CHEMBL1086477-CHEMBL1083481	1	221	17	1	1.0	0.991397500038147
111	CHEMBL1086252-CHEMBL1083781	1	221	17	0	0.0	0.00996057316660881
112	CHEMBL1084359-CHEMBL1082510	1	221	17	0	0.0	2.4927689992182422e-06
113	CHEMBL197408-CHEMBL196370_CHEMBL430500	1	221	17	0	0.0	3.0806668327443276e-09
114	CHEMBL1086079-CHEMBL1085113	1	221	17	0	0.0	0.00440531549975276
115	CHEMBL1082510-CHEMBL1084874	1	221	17	0	0.0	5.035221420257585e-06
116	CHEMBL1084358-CHEMBL1085037	1	221	17	0	0.0	4.940690632793121e-05
117	CHEMBL1086114-CHEMBL1086573	1	221	17	0	0.0	2.8625991035369225e-06
118	CHEMBL1084359-CHEMBL1085409	1	221	17	0	0.0	0.0508720837533474
119	CHEMBL1085120-CHEMBL1082508	1	221	17	0	0.0	0.013240483589470387
120	CHEMBL1084071-CHEMBL1082509	1	221	17	0	0.0	2.46623335442564e-06
121	CHEMBL1085036-CHEMBL1085037	1	221	17	0	0.0	5.8971425460185856e-05
122	CHEMBL1085585-CHEMBL1086573	1	221	17	0	0.0	0.0013551003066822886
123	CHEMBL1949768-CHEMBL1949770	1	221	17	0	0.0	1.088892744860459e-07
124	CHEMBL1086477-CHEMBL1083781	1	221	17	0	0.0	0.021017370745539665
125	CHEMBL1084359-CHEMBL1086573	1	221	17	0	0.0	1.2025038813590072e-05
126	CHEMBL597002-CHEMBL2103880	1	221	17	0	0.0	9.452127081033268e-09
127	CHEMBL1085651-CHEMBL1085038	1	221	17	0	0.0	1.0571761066557883e-07
128	CHEMBL1085658-CHEMBL1085038	1	221	17	0	0.0	2.2849616243547644e-07
129	CHEMBL1082508-CHEMBL1084874	1	221	17	0	0.0	2.421797216811683e-05
130	CHEMBL1085585-CHEMBL1085409	1	221	17	1	1.0	0.995049774646759
131	CHEMBL1085651-CHEMBL1086114	1	221	17	0	0.0	2.2614395689402045e-08
132	CHEMBL1085120-CHEMBL1086113	1	221	17	0	0.0	1.2784121281583793e-05
133	CHEMBL1082508-CHEMBL1084711	1	221	17	0	0.0	0.026563525199890137
134	CHEMBL1083886-CHEMBL1086113	1	221	17	0	0.0	8.089214134088252e-06
135	CHEMBL1084071-CHEMBL1083781	1	221	17	0	0.0	0.0001525265834061429
136	CHEMBL482937-CHEMBL482938	1	221	17	0	0.0	2.4673654479556717e-05
137	CHEMBL1085658-CHEMBL1086113	1	221	17	0	0.0	9.774371534376769e-08
138	CHEMBL1085585-CHEMBL1086476	1	221	17	0	0.0	4.8714951844885945e-05
139	CHEMBL197408-CHEMBL370128	1	221	17	0	0.0	1.50711603197351e-08
140	CHEMBL1086477-CHEMBL1083173	1	221	17	0	0.0	9.253709868062288e-05
141	CHEMBL1086476-CHEMBL1083781	1	221	17	0	0.0	5.068882819614373e-05
142	CHEMBL1086113-CHEMBL1086252	1	221	17	0	0.0	6.189246050780639e-06
143	CHEMBL1083780-CHEMBL1082510	1	221	17	0	0.0	3.639083388407016e-06
144	CHEMBL1085111-CHEMBL1085113	1	221	17	0	0.0	0.008475616574287415
145	CHEMBL1086114-CHEMBL1083481	1	221	17	0	0.0	0.005685780663043261
146	CHEMBL1084358-CHEMBL1084711	1	221	17	0	0.0	5.8506229834165424e-05
147	CHEMBL1085036-CHEMBL1084711	1	221	17	0	0.0	4.309493306209333e-05
148	CHEMBL1668584-CHEMBL1762571	1	221	17	1	1.0	0.9987596273422241
149	CHEMBL1085120-CHEMBL1085409	1	221	17	1	1.0	0.9927458167076111
150	CHEMBL1085585-CHEMBL1084358	1	221	17	0	0.0	8.672680451127235e-06
151	CHEMBL76237-CHEMBL333373	1	221	17	0	0.0	1.0997489425790263e-06
152	CHEMBL1082509-CHEMBL1083781	1	221	17	0	0.0	0.0007277760305441916
153	CHEMBL3770106-CHEMBL3770981	1	221	17	0	0.0	3.5723917335417354e-06
154	CHEMBL1085120-CHEMBL1082509	1	221	17	0	0.0	0.00017710175598040223
155	CHEMBL1084875-CHEMBL1086253	1	221	17	0	0.0	0.012380152009427547
156	CHEMBL1086477-CHEMBL1084874	1	221	17	0	0.0	3.16588775604032e-05
157	CHEMBL1084071-CHEMBL1086573	1	221	17	0	0.0	1.0339158507122193e-05
158	CHEMBL1084359-CHEMBL1085651	1	221	17	0	0.0	8.600340350994884e-08
159	CHEMBL1084071-CHEMBL1082510	1	221	17	0	0.0	1.0431642294861376e-05
160	CHEMBL1086477-CHEMBL1085036	1	221	17	0	0.0	3.200826540705748e-05
161	CHEMBL1082509-CHEMBL1086476	1	221	17	0	0.0	2.6648897346603917e-06
162	CHEMBL1085037-CHEMBL1086573	1	221	17	0	0.0	0.0005703716888092458
163	CHEMBL1084358-CHEMBL1082509	1	221	17	0	0.0	2.3962807063071523e-06
164	CHEMBL1085651-CHEMBL1085585	1	221	17	0	0.0	4.616951173375128e-06
165	CHEMBL1083886-CHEMBL1085037	1	221	17	0	0.0	0.003891479456797242
166	CHEMBL1084071-CHEMBL1085037	1	221	17	0	0.0	5.0190941692562774e-05
167	CHEMBL1082509-CHEMBL1083173	1	221	17	0	0.0	8.175057701009791e-06
168	CHEMBL1085409-CHEMBL1084711	1	221	17	1	1.0	0.9864252805709839
169	CHEMBL1086477-CHEMBL1086573	1	221	17	0	0.0	0.0006186688551679254
170	CHEMBL1083886-CHEMBL1085409	1	221	17	1	1.0	0.9861568212509155
171	CHEMBL197408-CHEMBL196169	1	221	17	0	0.0	1.2664083115510039e-08
172	CHEMBL1084603-CHEMBL1084336	1	221	17	0	0.0	0.00022790268121752888
173	CHEMBL372453-CHEMBL196169	1	221	17	0	0.0	1.7200910917836154e-08
174	CHEMBL1084874-CHEMBL1085038	1	221	17	0	0.0	4.392433311295463e-06
175	CHEMBL1083780-CHEMBL1085651	1	221	17	0	0.0	1.2560012407902832e-07
176	CHEMBL1084358-CHEMBL1083781	1	221	17	0	0.0	0.00015176839951891452
177	CHEMBL1083886-CHEMBL1082509	1	221	17	0	0.0	0.00011036432260880247
178	CHEMBL1082508-CHEMBL1082509	1	221	17	0	0.0	6.889841461088508e-05
179	CHEMBL1082508-CHEMBL1083781	1	221	17	0	0.0	0.08193207532167435
180	CHEMBL1086326-CHEMBL1085658	1	221	17	0	0.0	1.74768047145335e-05
181	CHEMBL1632223-CHEMBL1632217	1	221	17	0	0.0	1.7853910776466364e-06
182	CHEMBL1085658-CHEMBL1086252	1	221	17	0	0.0	4.0659929254616145e-06
183	CHEMBL1086477-CHEMBL1082508	1	221	17	0	0.0	0.00851584691554308
184	CHEMBL372453-CHEMBL196370_CHEMBL430500	1	221	17	0	0.0	4.042977508333934e-09
185	CHEMBL1086114-CHEMBL1085036	1	221	17	0	0.0	2.0376609199956874e-07
186	CHEMBL1084071-CHEMBL1086476	1	221	17	0	0.0	6.028969323779165e-07
187	CHEMBL1083781-CHEMBL1084711	1	221	17	0	0.0	0.006054143887013197
188	CHEMBL1085651-CHEMBL1086252	1	221	17	0	0.0	2.640283355503925e-06
189	CHEMBL1085651-CHEMBL1082509	1	221	17	0	0.0	3.1072542583387985e-07
190	CHEMBL605971-CHEMBL591939	1	221	17	0	0.0	1.1069182193068627e-07
191	CHEMBL1085120-CHEMBL1085038	1	221	17	0	0.0	4.90922830067575e-05
192	CHEMBL230930-CHEMBL231430	1	221	17	0	0.0	3.3431984292064953e-08
193	CHEMBL1084358-CHEMBL1084874	1	221	17	0	0.0	2.849345719369012e-06
194	CHEMBL1082510-CHEMBL1085036	1	221	17	0	0.0	2.4812873107293854e-06
195	CHEMBL1083886-CHEMBL1085120	1	221	17	0	0.0	0.0023404553066939116
196	CHEMBL1085111-CHEMBL1086080	1	221	17	0	0.0	0.001155469799414277
197	CHEMBL1085409-CHEMBL1085037	1	221	17	1	1.0	0.9920101165771484
198	CHEMBL1085037-CHEMBL1083481	1	221	17	1	1.0	0.9922581315040588
199	CHEMBL1084358-CHEMBL1086573	1	221	17	0	0.0	1.0136929631698877e-05
200	CHEMBL231430-CHEMBL230070	1	221	17	0	0.0	7.920359479385297e-08
201	CHEMBL1083782-CHEMBL1086572	1	221	17	0	0.0	0.08711139112710953
202	CHEMBL1082509-CHEMBL1084711	1	221	17	0	0.0	0.0003013874520547688
203	CHEMBL1085651-CHEMBL1086113	1	221	17	0	0.0	3.385046554171822e-08
204	CHEMBL1086079-CHEMBL1085112	1	221	17	1	1.0	0.9951468110084534
205	CHEMBL196169-CHEMBL196370_CHEMBL430500	1	221	17	0	0.0	9.085116658980041e-09
206	CHEMBL598443-CHEMBL2103880	1	221	17	0	0.0	1.4839399931076969e-08
207	CHEMBL1086113-CHEMBL1083781	1	221	17	0	0.0	2.7833997592097148e-05
208	CHEMBL598443-CHEMBL598229_CHEMBL604102	1	221	17	0	0.0	8.194629685931432e-08
209	CHEMBL1084359-CHEMBL1085036	1	221	17	0	0.0	7.706522637818125e-07
210	CHEMBL591939-CHEMBL591940	1	221	17	0	0.0	7.679590652287516e-08
211	CHEMBL1084874-CHEMBL1086573	1	221	17	0	0.0	1.2166216947662178e-05
212	CHEMBL370128-CHEMBL196370_CHEMBL430500	1	221	17	0	0.0	1.06286508483322e-08
213	CHEMBL231431-CHEMBL230070	1	221	17	0	0.0	2.126112264022595e-08
214	CHEMBL1086080-CHEMBL1086079	1	221	17	0	0.0	0.0018565419595688581
215	CHEMBL1084358-CHEMBL1086476	1	221	17	0	0.0	5.680857384504634e-07
216	CHEMBL1084335-CHEMBL1085036	1	221	17	0	0.0	1.727799059381141e-07
217	CHEMBL1083886-CHEMBL1085651	1	221	17	0	0.0	2.220727537860512e-06
218	CHEMBL1082508-CHEMBL1086252	1	221	17	0	0.0	0.001081444788724184
219	CHEMBL1086477-CHEMBL1084071	1	221	17	0	0.0	8.391074516111985e-06
220	CHEMBL1085585-CHEMBL1086252	1	221	17	0	0.0	0.006324907764792442
