	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL201329-CHEMBL199583	2	707	39	0	0.0	1.7026274123718715e-16
1	CHEMBL201239-CHEMBL201595	2	707	39	0	0.0	2.7172110535674835e-17
2	CHEMBL3596517-CHEMBL3596504	2	707	39	0	0.0	9.215610496937643e-09
3	CHEMBL201773-CHEMBL383321	2	707	39	0	0.0	2.107225802168791e-16
4	CHEMBL201006-CHEMBL199326	2	707	39	0	0.0	2.6570733686736532e-17
5	CHEMBL264431-CHEMBL258960	2	707	39	0	0.0	0.0014010133454576135
6	CHEMBL201594-CHEMBL201024	2	707	39	0	0.0	1.737334223426147e-17
7	CHEMBL201145-CHEMBL381522	2	707	39	0	0.0	4.963240929356516e-10
8	CHEMBL200967-CHEMBL201239	2	707	39	0	0.0	8.268980254211647e-14
9	CHEMBL201749-CHEMBL202358	2	707	39	0	0.0	3.319557695673388e-14
10	CHEMBL201749-CHEMBL201239	2	707	39	0	0.0	7.857512146632831e-15
11	CHEMBL381522-CHEMBL199399	2	707	39	0	0.0	1.93369098511198e-09
12	CHEMBL199834-CHEMBL199327	2	707	39	0	0.0	3.307317527484477e-13
13	CHEMBL404985-CHEMBL264433	2	707	39	0	0.0	6.741116779368506e-12
14	CHEMBL201749-CHEMBL383321	2	707	39	0	0.0	2.181986687686821e-14
15	CHEMBL201006-CHEMBL203148	2	707	39	0	0.0	3.5464679513097508e-06
16	CHEMBL201791-CHEMBL201749	2	707	39	0	0.0	5.497614082722313e-13
17	CHEMBL3596505-CHEMBL3596510	2	707	39	0	0.0	7.82458056680646e-11
18	CHEMBL381540-CHEMBL201239	2	707	39	0	0.0	1.5938928982542865e-14
19	CHEMBL199688-CHEMBL201721	2	707	39	0	0.0	3.69951817447145e-06
20	CHEMBL201895-CHEMBL424671	2	707	39	0	0.0	1.6075512232135991e-12
21	CHEMBL381540-CHEMBL370205	2	707	39	0	0.0	1.5832984695538698e-16
22	CHEMBL407327-CHEMBL265937	2	707	39	0	0.0	9.535623846090857e-09
23	CHEMBL223828-CHEMBL375764	2	707	39	0	0.0	3.21182154223304e-14
24	CHEMBL381540-CHEMBL379688	2	707	39	0	0.0	1.392436085562805e-15
25	CHEMBL405567-CHEMBL258900	2	707	39	0	0.0	2.1625469470709646e-10
26	CHEMBL201721-CHEMBL382413	2	707	39	0	0.0	0.02544538863003254
27	CHEMBL382413-CHEMBL201548	2	707	39	0	0.0	9.845191328849978e-08
28	CHEMBL201243-CHEMBL201585	2	707	39	0	0.0	1.0549476873664143e-12
29	CHEMBL201006-CHEMBL199834	2	707	39	0	0.0	9.441076809224569e-10
30	CHEMBL202876-CHEMBL202828	2	707	39	0	0.0	1.5380249428643272e-13
31	CHEMBL203305-CHEMBL378815	2	707	39	0	0.0	5.818163845106028e-05
32	CHEMBL201745-CHEMBL201796	2	707	39	0	0.0	1.6119465484631945e-10
33	CHEMBL202828-CHEMBL199446	2	707	39	0	0.0	1.1907650421250082e-09
34	CHEMBL201594-CHEMBL370205	2	707	39	0	0.0	9.084263892532141e-21
35	CHEMBL201127-CHEMBL201281	2	707	39	0	0.0	2.882962748737561e-12
36	CHEMBL370378-CHEMBL201548	2	707	39	0	0.0	5.409662207966903e-06
37	CHEMBL381540-CHEMBL199583	2	707	39	0	0.0	1.0678916382905398e-13
38	CHEMBL202766-CHEMBL201024	2	707	39	0	0.0	4.824407970589284e-16
39	CHEMBL201145-CHEMBL199722	2	707	39	0	0.0	2.868208142915935e-16
40	CHEMBL278039-CHEMBL16677	2	707	39	1	1.0	0.9911035299301147
41	CHEMBL382663-CHEMBL199330	2	707	39	0	0.0	1.4024338981788453e-11
42	CHEMBL265695-CHEMBL402817	2	707	39	0	0.0	3.6875114073353643e-09
43	CHEMBL202766-CHEMBL200112	2	707	39	0	0.0	1.7610411739976684e-10
44	CHEMBL3596518-CHEMBL3596508	2	707	39	0	0.0	3.343182122198668e-14
45	CHEMBL199722-CHEMBL379688	2	707	39	0	0.0	1.0664926491610504e-18
46	CHEMBL201749-CHEMBL199583	2	707	39	0	0.0	6.220755789827781e-13
47	CHEMBL201329-CHEMBL383321	2	707	39	0	0.0	5.9968332071119174e-18
48	CHEMBL3596505-CHEMBL3596515	2	707	39	0	0.0	9.57150157743225e-13
49	CHEMBL202828-CHEMBL382135	2	707	39	0	0.0	3.6799933217888936e-13
50	CHEMBL201054-CHEMBL425395	2	707	39	0	0.0	1.1329847480936583e-14
51	CHEMBL3596503-CHEMBL3596507	2	707	39	0	0.0	8.78396459708759e-15
52	CHEMBL198338-CHEMBL201773	2	707	39	0	0.0	4.8420866731641144e-17
53	CHEMBL203148-CHEMBL201679	2	707	39	0	0.0	1.388177098024892e-15
54	CHEMBL3596509-CHEMBL3596589	2	707	39	0	0.0	2.4149203470269498e-11
55	CHEMBL201594-CHEMBL201145	2	707	39	0	0.0	2.081680661599418e-18
56	CHEMBL261203-CHEMBL258960	2	707	39	1	1.0	0.999506950378418
57	CHEMBL3596512-CHEMBL3596514	2	707	39	0	0.0	2.774567467728696e-18
58	CHEMBL406745-CHEMBL402464	2	707	39	1	1.0	0.999988317489624
59	CHEMBL198338-CHEMBL370205	2	707	39	0	0.0	3.314584595833468e-14
60	CHEMBL198338-CHEMBL381522	2	707	39	0	0.0	3.304026431789897e-13
61	CHEMBL202876-CHEMBL199826	2	707	39	0	0.0	1.5146126472703574e-14
62	CHEMBL201054-CHEMBL201679	2	707	39	0	0.0	2.118161063692293e-17
63	CHEMBL3596511-CHEMBL3596590	2	707	39	0	0.0	6.680518414748125e-17
64	CHEMBL370629-CHEMBL379688	2	707	39	0	0.0	1.8408458516581342e-16
65	CHEMBL199722-CHEMBL199399	2	707	39	0	0.0	1.0406965486112738e-15
66	CHEMBL201157-CHEMBL199399	2	707	39	0	0.0	6.935397351900963e-14
67	CHEMBL425395-CHEMBL203359	2	707	39	0	0.0	4.0166013879560294e-19
68	CHEMBL4549506-CHEMBL4540395	2	707	39	0	0.0	7.901090509461407e-16
69	CHEMBL275605-CHEMBL17003	2	707	39	1	1.0	0.9915826916694641
70	CHEMBL201239-CHEMBL199583	2	707	39	0	0.0	3.3520335487348396e-13
71	CHEMBL201791-CHEMBL199722	2	707	39	0	0.0	6.14645540647702e-16
72	CHEMBL557624-CHEMBL540156	2	707	39	0	0.0	7.835608789412418e-13
73	CHEMBL402817-CHEMBL259338	2	707	39	0	0.0	7.611295131937368e-06
74	CHEMBL380847-CHEMBL424671	2	707	39	0	0.0	9.452900926247793e-17
75	CHEMBL402464-CHEMBL407638	2	707	39	0	0.0	9.325134414650549e-12
