	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL3634783-CHEMBL3634771	0	99	10	0	0.0	0.07657793909311295
1	CHEMBL3793600-CHEMBL3792474	0	99	10	0	0.0	0.02028598263859749
2	CHEMBL3103879-CHEMBL3103878	0	99	10	0	0.0	7.20231982995756e-05
3	CHEMBL2387470-CHEMBL2387469	0	99	10	0	1.0	0.8760236501693726
4	CHEMBL3623162-CHEMBL4459538	0	99	10	0	0.0	6.814568465074444e-09
5	CHEMBL2387465-CHEMBL2387464	0	99	10	0	1.0	0.793624997138977
6	CHEMBL3978766-CHEMBL3634767	0	99	10	0	0.0	0.07234901934862137
7	CHEMBL4453890-CHEMBL3623150	0	99	10	0	0.0	1.1269700905813806e-07
8	CHEMBL3792552-CHEMBL3793267	0	99	10	0	0.0	0.020070038735866547
9	CHEMBL3634783-CHEMBL3634769	0	99	10	0	0.0	0.055563800036907196
10	CHEMBL3648680-CHEMBL4453890	0	99	10	0	0.0	9.347783134217025e-07
11	CHEMBL3103868-CHEMBL3793267	0	99	10	1	1.0	0.8794121742248535
12	CHEMBL3634757-CHEMBL3634767	0	99	10	0	0.0	0.009633975103497505
13	CHEMBL3634781-CHEMBL3634783	0	99	10	0	0.0	0.04889886826276779
14	CHEMBL585182-CHEMBL582844	0	99	10	0	0.0	0.03939395025372505
15	CHEMBL4449930-CHEMBL4455188	0	99	10	0	0.0	5.550733476411551e-06
16	CHEMBL3634765-CHEMBL3634781	0	99	10	1	1.0	0.8665268421173096
17	CHEMBL4439756-CHEMBL4459538	0	99	10	0	0.0	5.336269737199473e-07
18	CHEMBL3634781-CHEMBL3634770	0	99	10	0	0.0	0.05531134083867073
19	CHEMBL3648680-CHEMBL3623162	0	99	10	0	0.0	1.0552315465872653e-08
20	CHEMBL3648724-CHEMBL4472966	0	99	10	0	0.0	2.6274828996974975e-06
21	CHEMBL3103868-CHEMBL3103860	0	99	10	1	1.0	0.7564305663108826
22	CHEMBL3956349-CHEMBL3634781	0	99	10	0	0.0	0.01122335810214281
23	CHEMBL3103861-CHEMBL3103863	0	99	10	0	1.0	0.6979280710220337
24	CHEMBL3792428-CHEMBL3792474	0	99	10	0	0.0	0.020348768681287766
25	CHEMBL3103869-CHEMBL3793221	0	99	10	1	1.0	0.8965805172920227
26	CHEMBL3103868-CHEMBL3103863	0	99	10	1	1.0	0.7537626028060913
27	CHEMBL3634770-CHEMBL3634761	0	99	10	0	1.0	0.5719344019889832
28	CHEMBL3648724-CHEMBL4459538	0	99	10	0	0.0	2.674278789527307e-07
29	CHEMBL3634765-CHEMBL3634783	0	99	10	1	1.0	0.872841477394104
30	CHEMBL3623150-CHEMBL3648675	0	99	10	0	0.0	8.675203133634568e-08
31	CHEMBL3623150-CHEMBL4439756	0	99	10	0	0.0	1.0103915570880417e-07
32	CHEMBL2387471-CHEMBL2387465	0	99	10	0	0.0	0.00279604340903461
33	CHEMBL3634782-CHEMBL3634770	0	99	10	0	0.0	0.053665775805711746
34	CHEMBL3103867-CHEMBL3793440	0	99	10	1	1.0	0.8713774085044861
35	CHEMBL3634783-CHEMBL3634761	0	99	10	0	0.0	0.06539460271596909
36	CHEMBL3623162-CHEMBL4439756	0	99	10	0	0.0	1.1880070260872344e-08
37	CHEMBL3634781-CHEMBL3634771	0	99	10	0	0.0	0.07708846032619476
38	CHEMBL3792905-CHEMBL3792474	0	99	10	0	0.0	0.019419847056269646
39	CHEMBL3634770-CHEMBL3634772	0	99	10	0	1.0	0.7767115831375122
40	CHEMBL3793221-CHEMBL3792552	0	99	10	0	0.0	0.01999724470078945
41	CHEMBL3103868-CHEMBL3103861	0	99	10	1	1.0	0.7566413283348083
42	CHEMBL585182-CHEMBL583273	0	99	10	0	0.0	0.04128398001194
43	CHEMBL3103868-CHEMBL3103865	0	99	10	1	1.0	0.837585985660553
44	CHEMBL3956349-CHEMBL3634756_CHEMBL3634758	0	99	10	0	0.0	0.17495088279247284
45	CHEMBL3634783-CHEMBL3634772	0	99	10	0	1.0	0.7067689299583435
46	CHEMBL3634757-CHEMBL3634770	0	99	10	0	0.0	0.019980696961283684
47	CHEMBL572550-CHEMBL582844	0	99	10	0	0.0	0.04552995041012764
48	CHEMBL3623162-CHEMBL3652626_CHEMBL3652638_CHEMBL4437940	0	99	10	0	0.0	5.697025429185487e-08
49	CHEMBL573702-CHEMBL583273	0	99	10	0	0.0	0.04171470180153847
50	CHEMBL583187-CHEMBL572781	0	99	10	0	0.0	0.3388417661190033
51	CHEMBL3792905-CHEMBL3793440	0	99	10	0	0.0	0.02047750912606716
52	CHEMBL572550-CHEMBL585182	0	99	10	0	0.0	0.04429440200328827
53	CHEMBL3634769-CHEMBL3634771	0	99	10	0	0.0	0.11047611385583878
54	CHEMBL2387463-CHEMBL2387464	0	99	10	0	0.0	0.0021711187437176704
55	CHEMBL3634769-CHEMBL3634772	0	99	10	0	1.0	0.8088222146034241
56	CHEMBL3623162-CHEMBL3623150	0	99	10	0	0.0	1.3651069163955754e-09
57	CHEMBL2387462-CHEMBL2387469	0	99	10	0	0.0	0.21459083259105682
58	CHEMBL3634781-CHEMBL3634761	0	99	10	0	0.0	0.06622257828712463
59	CHEMBL3623150-CHEMBL4459538	0	99	10	0	0.0	5.7697466360195904e-08
60	CHEMBL4450356-CHEMBL4459538	0	99	10	0	0.0	4.510217621600532e-08
61	CHEMBL4453890-CHEMBL3623162	0	99	10	0	0.0	1.30859634239755e-08
62	CHEMBL2387471-CHEMBL2387475	0	99	10	0	0.0	0.0353216677904129
63	CHEMBL4453890-CHEMBL4439756	0	99	10	0	0.0	1.0466733328939881e-06
64	CHEMBL3103868-CHEMBL3792552	0	99	10	1	1.0	0.8809803128242493
65	CHEMBL4450356-CHEMBL4458081	0	99	10	0	0.0	1.6999350691548898e-06
