	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL1651354-CHEMBL608115	0	200	15	0	0.0	2.6741725378087722e-05
1	CHEMBL200426-CHEMBL199014	0	200	15	0	0.0	1.2569949291714269e-18
2	CHEMBL200507-CHEMBL199470	0	200	15	0	0.0	4.047180937050143e-07
3	CHEMBL3912190-CHEMBL3907022	0	200	15	1	1.0	0.9999924898147583
4	CHEMBL200426-CHEMBL198802	0	200	15	0	0.0	1.415165510771673e-18
5	CHEMBL2153167-CHEMBL2153166	0	200	15	0	0.0	2.0705027054646052e-05
6	CHEMBL211050-CHEMBL209114	0	200	15	1	1.0	0.907880425453186
7	CHEMBL381190-CHEMBL199163	0	200	15	1	1.0	0.9790552258491516
8	CHEMBL381190-CHEMBL200672	0	200	15	0	0.0	4.7357886501231405e-09
9	CHEMBL383186-CHEMBL198802	0	200	15	0	0.0	7.155968947505565e-19
10	CHEMBL1651354-CHEMBL1651355	0	200	15	0	0.0	5.630847681459272e-06
11	CHEMBL1836506-CHEMBL1836465	0	200	15	0	0.0	1.5888346239575647e-16
12	CHEMBL1836517-CHEMBL1836513	0	200	15	0	0.0	9.257391809505341e-14
13	CHEMBL198798-CHEMBL200708	0	200	15	0	0.0	3.7850612772448005e-23
14	CHEMBL1836516-CHEMBL1836463	0	200	15	0	0.0	7.425381983206815e-18
15	CHEMBL596265-CHEMBL594179	0	200	15	0	0.0	6.997222044446971e-06
16	CHEMBL200596-CHEMBL200602	0	200	15	0	0.0	4.540787373873888e-21
17	CHEMBL1836513-CHEMBL1836506	0	200	15	0	0.0	1.0146932757139997e-17
18	CHEMBL200287-CHEMBL199358	0	200	15	0	0.0	3.770764908831661e-23
19	CHEMBL100017-CHEMBL105708	0	200	15	0	0.0	1.019799213963779e-07
20	CHEMBL2153164-CHEMBL2153166	0	200	15	0	0.0	7.314845618111576e-08
21	CHEMBL199358-CHEMBL200744	0	200	15	0	0.0	3.871270614016561e-18
22	CHEMBL1836506-CHEMBL1836463	0	200	15	0	0.0	1.383244507535675e-16
23	CHEMBL1836516-CHEMBL1836464	0	200	15	0	0.0	6.983674980729012e-18
24	CHEMBL200507-CHEMBL200744	0	200	15	0	0.0	7.104375521351524e-18
25	CHEMBL1836519-CHEMBL1836469	0	200	15	0	0.0	9.388030941069547e-18
26	CHEMBL199214-CHEMBL199014	0	200	15	0	0.0	1.9817782593623984e-22
27	CHEMBL99561-CHEMBL98540	0	200	15	1	1.0	0.7496170997619629
28	CHEMBL426819-CHEMBL200708	0	200	15	0	0.0	5.897534544052618e-11
29	CHEMBL604281-CHEMBL3912190	0	200	15	1	1.0	0.9999785423278809
30	CHEMBL1836513-CHEMBL1836463	0	200	15	0	0.0	1.2264355479417525e-17
31	CHEMBL200203-CHEMBL371064	0	200	15	0	0.0	4.7665527511383125e-21
32	CHEMBL199163-CHEMBL372410	0	200	15	1	1.0	0.9738603234291077
33	CHEMBL209216-CHEMBL379157	0	200	15	0	1.0	0.9736738204956055
34	CHEMBL1836465-CHEMBL1836469	0	200	15	0	0.0	1.6910087673135027e-16
35	CHEMBL1836470-CHEMBL1836463	0	200	15	0	0.0	1.4106934042848387e-16
36	CHEMBL371064-CHEMBL383186	0	200	15	0	0.0	2.293941741507364e-17
37	CHEMBL200301-CHEMBL200619	0	200	15	0	0.0	2.4333138992247913e-14
38	CHEMBL1836517-CHEMBL1836465	0	200	15	0	0.0	7.847375617326255e-18
39	CHEMBL200602-CHEMBL199358	0	200	15	0	0.0	1.92777890024272e-22
40	CHEMBL200602-CHEMBL200744	0	200	15	0	0.0	1.585437227745687e-17
41	CHEMBL1836506-CHEMBL1836464	0	200	15	0	0.0	1.588604204526132e-16
42	CHEMBL1836516-CHEMBL1836506	0	200	15	0	0.0	6.144362523721975e-18
43	CHEMBL2382067-CHEMBL2382065	0	200	15	0	1.0	0.5058284401893616
44	CHEMBL608115-CHEMBL3982135	0	200	15	1	1.0	0.9999822378158569
45	CHEMBL1836511-CHEMBL1836514	0	200	15	0	0.0	0.13997387886047363
46	CHEMBL1836511-CHEMBL1836518	0	200	15	0	0.0	2.0213263381031602e-16
47	CHEMBL105708-CHEMBL101306	0	200	15	0	0.0	9.780973897477452e-08
48	CHEMBL371133-CHEMBL198802	0	200	15	0	0.0	1.8533950418184007e-16
