	ids	loop	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL511134-CHEMBL470965	0	408	27	0	0.0	4.566454325782843e-09
1	CHEMBL399346-CHEMBL250194	0	408	27	0	0.0	1.3095200479540381e-08
2	CHEMBL2018659-CHEMBL2018780	0	408	27	0	0.0	0.09131800383329391
3	CHEMBL359712-CHEMBL180450	0	408	27	0	0.0	0.0033387900330126286
4	CHEMBL4442680-CHEMBL4574099	0	408	27	0	0.0	5.264127685222775e-05
5	CHEMBL2018665-CHEMBL2018658	0	408	27	1	1.0	0.9994198083877563
6	CHEMBL2018660-CHEMBL2018780	0	408	27	0	0.0	0.09053735435009003
7	CHEMBL399346-CHEMBL251003	0	408	27	0	0.0	1.4750390908702116e-09
8	CHEMBL249992-CHEMBL250493	0	408	27	0	0.0	4.3286992877256125e-05
9	CHEMBL181843-CHEMBL360697	0	408	27	0	0.0	1.497650565588177e-20
10	CHEMBL180788-CHEMBL360697	0	408	27	0	0.0	0.00021928623027633876
11	CHEMBL246477-CHEMBL245469_CHEMBL245665	0	408	27	0	0.0	0.002860376378521323
12	CHEMBL404211-CHEMBL250491	0	408	27	0	0.0	2.070348241593385e-33
13	CHEMBL232411-CHEMBL237897	0	408	27	0	0.0	0.08956187218427658
14	CHEMBL2018665-CHEMBL2018664	0	408	27	1	1.0	0.9988632202148438
15	CHEMBL247747-CHEMBL245860	0	408	27	0	0.0	7.254350293806056e-07
16	CHEMBL2018655-CHEMBL2019082	0	408	27	1	1.0	0.9990634322166443
17	CHEMBL589579-CHEMBL591509	0	408	27	0	0.0	4.6005293169506045e-25
18	CHEMBL400399-CHEMBL251003	0	408	27	0	0.0	1.6918890732853242e-09
19	CHEMBL596401-CHEMBL595035	0	408	27	0	0.0	3.912384016757642e-08
20	CHEMBL3353443-CHEMBL3353444_CHEMBL3353445_CHEMBL3353446	0	408	27	0	0.0	6.6179079993844425e-09
21	CHEMBL4564402-CHEMBL4444393	0	408	27	0	0.0	1.7191626811366434e-12
22	CHEMBL80214-CHEMBL4534102	0	408	27	1	1.0	0.9461568593978882
23	CHEMBL122972-CHEMBL187349	0	408	27	0	0.0	0.0011007561115548015
24	CHEMBL2018656-CHEMBL2018655	0	408	27	1	1.0	0.9900078773498535
25	CHEMBL395923-CHEMBL225242	0	408	27	0	0.0	8.501844916963819e-08
26	CHEMBL2018659-CHEMBL2018781	0	408	27	0	0.0	2.5556652673568332e-15
27	CHEMBL2016599-CHEMBL2019082	0	408	27	1	1.0	0.993087112903595
28	CHEMBL181843-CHEMBL180963	0	408	27	0	0.0	0.0
29	CHEMBL2018660-CHEMBL2018781	0	408	27	0	0.0	2.5554604971418345e-15
30	CHEMBL234677-CHEMBL234845	0	408	27	0	1.0	0.6429243087768555
31	CHEMBL2018661-CHEMBL2018780	0	408	27	0	0.0	0.007599789183586836
32	CHEMBL397387-CHEMBL398114	0	408	27	0	0.0	3.6964196148403516e-09
33	CHEMBL250809-CHEMBL250608	0	408	27	0	0.0	5.279364359012106e-07
34	CHEMBL359712-CHEMBL180963	0	408	27	0	0.0	6.875290559094083e-09
35	CHEMBL2018778-CHEMBL2018658	0	408	27	0	0.0	1.1930546412349506e-16
36	CHEMBL397387-CHEMBL226223	0	408	27	0	0.0	0.0014623042661696672
37	CHEMBL249786-CHEMBL399316	0	408	27	0	0.0	6.648086942062648e-11
38	CHEMBL3353448_CHEMBL3353449_CHEMBL3353450-CHEMBL3353444_CHEMBL3353445_CHEMBL3353446	0	408	27	0	0.0	1.2567105134309031e-09
39	CHEMBL2205591-CHEMBL2205615	0	408	27	0	0.0	2.0150528415188804e-15
40	CHEMBL506652-CHEMBL1162994	0	408	27	0	0.0	1.6164856788236648e-05
41	CHEMBL247747-CHEMBL398114	0	408	27	0	0.0	3.3810815258661364e-10
42	CHEMBL232411-CHEMBL234207	0	408	27	0	0.0	6.713403854519129e-05
43	CHEMBL238119-CHEMBL234845	0	408	27	0	0.0	5.281433710507821e-12
44	CHEMBL247553-CHEMBL226223	0	408	27	0	0.0	0.01972607895731926
45	CHEMBL589093-CHEMBL607977	0	408	27	0	0.0	4.1731773592346144e-09
46	CHEMBL180748-CHEMBL181288	0	408	27	0	0.0	6.456482170666303e-17
47	CHEMBL359712-CHEMBL180748	0	408	27	0	0.0	0.13653656840324402
48	CHEMBL247553-CHEMBL398114	0	408	27	0	0.0	8.702601139720656e-11
49	CHEMBL197969-CHEMBL200049	0	408	27	0	0.0	1.7905440059920496e-15
50	CHEMBL3353438-CHEMBL466047_CHEMBL466651_CHEMBL512063	0	408	27	0	0.0	3.1580772170264598e-15
51	CHEMBL592703-CHEMBL590346	0	408	27	0	0.0	1.7539020637311747e-13
52	CHEMBL596401-CHEMBL593166	0	408	27	0	0.0	6.419709563942888e-08
53	CHEMBL4444847-CHEMBL4570023	0	408	27	0	0.0	2.312991876450583e-17
54	CHEMBL2018658-CHEMBL2018780	0	408	27	0	0.0	0.08395089209079742
55	CHEMBL245860-CHEMBL226223	0	408	27	0	0.0	0.05402214452624321
56	CHEMBL129525-CHEMBL4570023	0	408	27	0	0.0	7.265644804244455e-17
57	CHEMBL590551-CHEMBL591508	0	408	27	0	0.0	6.625557111291126e-29
58	CHEMBL231932-CHEMBL231721	0	408	27	0	0.0	5.403393357750197e-11
59	CHEMBL591542-CHEMBL591540	0	408	27	0	0.0	8.729641017235026e-39
60	CHEMBL2018666-CHEMBL2018665	0	408	27	1	1.0	0.9958987832069397
61	CHEMBL249025-CHEMBL250810	0	408	27	0	0.0	2.4202673198914226e-09
62	CHEMBL399346-CHEMBL250809	0	408	27	0	0.0	2.8381963446122427e-08
63	CHEMBL2018778-CHEMBL2018659	0	408	27	0	0.0	1.1258705024878016e-16
64	CHEMBL2018664-CHEMBL2018655	0	408	27	0	0.0	0.14930404722690582
65	CHEMBL245860-CHEMBL246063	0	408	27	0	0.0	0.31691956520080566
66	CHEMBL4564402-CHEMBL4570023	0	408	27	0	0.0	5.794024981808105e-17
67	CHEMBL262865-CHEMBL570690	0	408	27	0	0.0	0.02794344536960125
68	CHEMBL2018657-CHEMBL2019082	0	408	27	1	1.0	0.9972774386405945
