	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL209094-CHEMBL207635	2	646	29	-1	-1	0.0
1	CHEMBL232218-CHEMBL232010	2	646	29	-1	-1	0.0051813471502590676
2	CHEMBL245714-CHEMBL245715	2	646	29	-1	-1	0.02072538860103627
3	CHEMBL441358-CHEMBL207634	2	646	29	-1	-1	0.0
4	CHEMBL382554-CHEMBL377882	2	646	29	-1	-1	0.0
5	CHEMBL394787-CHEMBL395022	2	646	29	-1	-1	0.0051813471502590676
6	CHEMBL376737-CHEMBL385607	2	646	29	1	-1	0.43523316062176165
7	CHEMBL3085031-CHEMBL3085023	2	646	29	1	-1	0.25647668393782386
8	CHEMBL377057-CHEMBL377678	2	646	29	-1	-1	0.0
9	CHEMBL247933-CHEMBL439561	2	646	29	-1	-1	0.0
10	CHEMBL233470-CHEMBL245130	2	646	29	-1	-1	0.0
11	CHEMBL377678-CHEMBL383611	2	646	29	-1	-1	0.08808290155440414
12	CHEMBL233681-CHEMBL233471	2	646	29	-1	-1	0.0
13	CHEMBL394800-CHEMBL234526	2	646	29	-1	-1	0.0
14	CHEMBL328114-CHEMBL92860	2	646	29	-1	-1	0.0
15	CHEMBL208069-CHEMBL208121	2	646	29	-1	-1	0.0
16	CHEMBL237513-CHEMBL236047	2	646	29	-1	-1	0.0
17	CHEMBL394801-CHEMBL232620	2	646	29	-1	-1	0.0
18	CHEMBL232661-CHEMBL394800	2	646	29	-1	-1	0.0
19	CHEMBL232621-CHEMBL234525	2	646	29	-1	-1	0.0
20	CHEMBL1818467-CHEMBL1818464	2	646	29	-1	-1	0.012953367875647668
21	CHEMBL426316-CHEMBL377574	2	646	29	-1	-1	0.0
22	CHEMBL91157-CHEMBL419316	2	646	29	-1	-1	0.023316062176165803
23	CHEMBL247268-CHEMBL247061	2	646	29	-1	-1	0.0
24	CHEMBL245130-CHEMBL232660	2	646	29	-1	-1	0.0
25	CHEMBL208191-CHEMBL208121	2	646	29	-1	-1	0.0
26	CHEMBL1173532-CHEMBL1818465	2	646	29	-1	-1	0.012953367875647668
27	CHEMBL441358-CHEMBL206153	2	646	29	-1	-1	0.0
28	CHEMBL382554-CHEMBL208178	2	646	29	-1	-1	0.0
29	CHEMBL233470-CHEMBL233053	2	646	29	-1	-1	0.0
30	CHEMBL233054_CHEMBL235824-CHEMBL395368	2	646	29	-1	-1	0.0
31	CHEMBL233471-CHEMBL247161_CHEMBL395609	2	646	29	-1	-1	0.0
32	CHEMBL202644_CHEMBL444540-CHEMBL204530_CHEMBL380406	2	646	29	-1	-1	0.0
33	CHEMBL258153-CHEMBL402590	2	646	29	-1	-1	0.0
34	CHEMBL237747-CHEMBL235814	2	646	29	1	-1	0.0
35	CHEMBL208191-CHEMBL378498	2	646	29	-1	-1	0.0
36	CHEMBL393036-CHEMBL236046	2	646	29	-1	-1	0.0
37	CHEMBL209094-CHEMBL207480	2	646	29	-1	-1	0.0
38	CHEMBL232661-CHEMBL233681	2	646	29	-1	-1	0.0
39	CHEMBL245716-CHEMBL245714	2	646	29	-1	-1	0.0025906735751295338
40	CHEMBL221903-CHEMBL220801	2	646	29	-1	-1	0.007772020725388601
41	CHEMBL233054_CHEMBL235824-CHEMBL232621	2	646	29	-1	-1	0.0
42	CHEMBL395096-CHEMBL394861	2	646	29	-1	-1	0.0
43	CHEMBL246125-CHEMBL245921	2	646	29	-1	-1	0.06994818652849741
44	CHEMBL245130-CHEMBL395022	2	646	29	-1	-1	0.0025906735751295338
45	CHEMBL391074-CHEMBL398981	2	646	29	-1	-1	0.0
46	CHEMBL395096-CHEMBL233470	2	646	29	-1	-1	0.0
47	CHEMBL380890-CHEMBL377882	2	646	29	-1	-1	0.0
48	CHEMBL246954-CHEMBL246127	2	646	29	-1	-1	0.015544041450777202
49	CHEMBL233471-CHEMBL232621	2	646	29	-1	-1	0.0
50	CHEMBL394801-CHEMBL234525	2	646	29	-1	-1	0.0
51	CHEMBL385173-CHEMBL216736	2	646	29	-1	-1	0.007772020725388601
52	CHEMBL1818458-CHEMBL1818468	2	646	29	-1	-1	0.03367875647668394
53	CHEMBL233470-CHEMBL232621	2	646	29	-1	-1	0.0
54	CHEMBL256044-CHEMBL404247	2	646	29	-1	-1	0.0
55	CHEMBL383734-CHEMBL208191	2	646	29	-1	-1	0.0
