	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL201773-CHEMBL383321	1	707	39	-1	-1	-1.0088364407039618
1	CHEMBL406483-CHEMBL406314	1	707	39	-1	1	0.2771681526841989
2	CHEMBL201773-CHEMBL200112	1	707	39	-1	-1	-0.4005122919966615
3	CHEMBL381540-CHEMBL201595	1	707	39	-1	-1	-1.0303567909533777
4	CHEMBL199884-CHEMBL201721	1	707	39	-1	-1	-1.0827467593865296
5	CHEMBL264436-CHEMBL260547	1	707	39	-1	-1	-0.8601622976431107
6	CHEMBL380847-CHEMBL383321	1	707	39	-1	-1	-0.980010977925977
7	CHEMBL370629-CHEMBL379688	1	707	39	-1	-1	-1.072657411462694
8	CHEMBL3596508-CHEMBL3596514	1	707	39	-1	-1	-0.9506680934157208
9	CHEMBL201895-CHEMBL201024	1	707	39	-1	-1	-1.0485206078402602
10	CHEMBL405789-CHEMBL437804	1	707	39	-1	-1	-0.4950905065802868
11	CHEMBL201157-CHEMBL200112	1	707	39	-1	-1	-0.5942506422668201
12	CHEMBL275427-CHEMBL16677	1	707	39	1	1	0.27265057148712935
13	CHEMBL403704-CHEMBL402817	1	707	39	-1	1	0.19550322899483896
14	CHEMBL382234-CHEMBL199353	1	707	39	-1	-1	-0.7135387286547158
15	CHEMBL202828-CHEMBL201323	1	707	39	-1	-1	-0.9804949065163939
16	CHEMBL201749-CHEMBL381522	1	707	39	-1	-1	-0.983335215851528
17	CHEMBL381473-CHEMBL201523	1	707	39	-1	-1	-0.4164429979093076
18	CHEMBL381522-CHEMBL200112	1	707	39	-1	1	0.13235303639142104
19	CHEMBL3596514-CHEMBL3596589	1	707	39	-1	-1	-0.6146140750529374
20	CHEMBL201749-CHEMBL202665	1	707	39	-1	-1	-1.0488188230439246
21	CHEMBL3596506-CHEMBL3596589	1	707	39	-1	-1	-1.0153054740594334
22	CHEMBL201329-CHEMBL200967	1	707	39	-1	-1	-1.0314086651453211
23	CHEMBL240211-CHEMBL239817	1	707	39	-1	-1	-0.8955167572607375
24	CHEMBL201329-CHEMBL201594	1	707	39	-1	-1	-0.999609824554986
25	CHEMBL199326-CHEMBL201523	1	707	39	-1	-1	-0.07190834728274825
26	CHEMBL3596506-CHEMBL3596507	1	707	39	-1	-1	-0.972028651916595
27	CHEMBL258900-CHEMBL405479	1	707	39	-1	-1	-0.4257840358233168
28	CHEMBL201895-CHEMBL370629	1	707	39	-1	-1	-1.0296369979864295
29	CHEMBL259953-CHEMBL406483	1	707	39	-1	1	0.06888102905289961
30	CHEMBL199826-CHEMBL382135	1	707	39	-1	-1	-1.0534058181347816
31	CHEMBL275605-CHEMBL17003	1	707	39	1	1	0.45684638467672045
32	CHEMBL199898-CHEMBL199583	1	707	39	-1	-1	-1.04143491391752
33	CHEMBL201145-CHEMBL202358	1	707	39	-1	-1	-1.0829946984783336
34	CHEMBL201157-CHEMBL199399	1	707	39	-1	-1	-1.0151615876820304
35	CHEMBL202766-CHEMBL198338	1	707	39	-1	-1	-0.9872731266377037
36	CHEMBL258901-CHEMBL406483	1	707	39	-1	1	0.739803302315423
37	CHEMBL201594-CHEMBL199399	1	707	39	-1	-1	-1.0392969616700232
38	CHEMBL199722-CHEMBL199399	1	707	39	-1	-1	-1.0727301719661293
39	CHEMBL381540-CHEMBL381522	1	707	39	-1	-1	-0.989123845350653
40	CHEMBL201054-CHEMBL203148	1	707	39	-1	-1	-1.0584570668009254
41	CHEMBL382413-CHEMBL198243	1	707	39	-1	-1	-0.9910905349166668
42	CHEMBL203305-CHEMBL200105	1	707	39	-1	-1	-0.7603792048488298
