	ids	cid	#tr	#ac_tr	trueY	predY	prob
0	CHEMBL348925-CHEMBL329791	0	557	38	-1	-1	0.49999457597732544
1	CHEMBL344706-CHEMBL423542	0	557	38	-1	-1	0.4999951124191284
2	CHEMBL350830-CHEMBL330286	0	557	38	-1	-1	0.49999457597732544
3	CHEMBL350830-CHEMBL423934	0	557	38	-1	-1	0.49999451637268066
4	CHEMBL357663-CHEMBL304726	0	557	38	-1	-1	0.499996542930603
5	CHEMBL329791-CHEMBL142926	0	557	38	1	-1	0.499996542930603
6	CHEMBL165073-CHEMBL352073	0	557	38	-1	-1	0.49999451637268066
7	CHEMBL165224-CHEMBL164281	0	557	38	-1	-1	0.49999451637268066
8	CHEMBL362038-CHEMBL165224	0	557	38	-1	-1	0.4999956488609314
9	CHEMBL141154-CHEMBL138332	0	557	38	-1	-1	0.4999963045120239
10	CHEMBL352192-CHEMBL349716	0	557	38	-1	-1	0.49999451637268066
11	CHEMBL353299-CHEMBL164905	0	557	38	-1	-1	0.49999457597732544
12	CHEMBL177183-CHEMBL358735	0	557	38	-1	-1	0.49999547004699707
13	CHEMBL351075-CHEMBL165778	0	557	38	-1	-1	0.49999457597732544
14	CHEMBL342059-CHEMBL179349	0	557	38	-1	-1	0.4999946355819702
15	CHEMBL348925-CHEMBL164281	0	557	38	-1	-1	0.49999451637268066
16	CHEMBL175871-CHEMBL175474	0	557	38	-1	-1	0.49999678134918213
17	CHEMBL65271-CHEMBL352345	0	557	38	-1	-1	0.49999457597732544
18	CHEMBL141154-CHEMBL423934	0	557	38	-1	-1	0.4999964237213135
19	CHEMBL352073-CHEMBL352796	0	557	38	-1	-1	0.49999451637268066
20	CHEMBL164992-CHEMBL164325	0	557	38	-1	-1	0.499996542930603
21	CHEMBL165224-CHEMBL344501	0	557	38	-1	-1	0.49999451637268066
22	CHEMBL165083-CHEMBL164381	0	557	38	-1	-1	0.49999457597732544
23	CHEMBL164685-CHEMBL165910	0	557	38	-1	-1	0.49999451637268066
24	CHEMBL464859-CHEMBL1234591	0	557	38	1	-1	0.4999971389770508
25	CHEMBL66393-CHEMBL388757	0	557	38	-1	-1	0.4999958276748657
26	CHEMBL138332-CHEMBL165560	0	557	38	-1	-1	0.49999457597732544
27	CHEMBL351075-CHEMBL166301	0	557	38	-1	-1	0.49999457597732544
28	CHEMBL344501-CHEMBL342906	0	557	38	1	-1	0.4999964237213135
29	CHEMBL359044-CHEMBL145123	0	557	38	-1	-1	0.4999964237213135
30	CHEMBL329791-CHEMBL354161	0	557	38	-1	-1	0.49999457597732544
31	CHEMBL424161-CHEMBL349240	0	557	38	-1	-1	0.49999451637268066
32	CHEMBL330286-CHEMBL422820	0	557	38	-1	-1	0.49999678134918213
33	CHEMBL164275-CHEMBL164685	0	557	38	-1	-1	0.49999451637268066
34	CHEMBL341376-CHEMBL165073	0	557	38	-1	-1	0.4999946355819702
35	CHEMBL164275-CHEMBL165600	0	557	38	-1	-1	0.49999451637268066
36	CHEMBL177183-CHEMBL359044	0	557	38	-1	-1	0.49999547004699707
37	CHEMBL163968-CHEMBL423934	0	557	38	-1	-1	0.49999451637268066
