	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.939	0.656	0.185	0.285	0.589	0.325	0.589	461.333	15.333	0.0	0.023	0.008	0.014	0.002	0.015	0.002	7297.333	10.333
CHEMBL1800	0.975	0.952	0.736	0.828	0.866	0.824	0.866	243.333	10.333	0.0	0.007	0.014	0.009	0.004	0.01	0.004	122.333	0.333
CHEMBL1862	0.865	0.086	0.089	0.081	0.509	0.013	0.509	228.333	11.667	0.001	0.007	0.007	0.005	0.002	0.008	0.002	162.333	4.333
CHEMBL1902	0.915	0.0	0.0	0.0	0.491	-0.035	0.491	280.0	11.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	372.0	0.333
CHEMBL2034	0.925	0.371	0.429	0.394	0.692	0.358	0.692	327.667	19.0	0.0	0.027	0.02	0.023	0.005	0.022	0.005	302.333	12.0
CHEMBL204	0.976	0.865	0.84	0.852	0.914	0.839	0.914	1310.667	89.0	0.001	0.014	0.015	0.014	0.004	0.017	0.004	1457.333	727.0
CHEMBL205	0.905	0.348	0.472	0.399	0.704	0.354	0.704	1313.333	90.667	0.0	0.004	0.001	0.003	0.0	0.002	0.0	3504.333	17.333
CHEMBL214	0.898	0.394	0.271	0.305	0.617	0.268	0.617	445.0	25.667	0.0	0.003	0.028	0.024	0.006	0.016	0.006	733.0	10.333
CHEMBL2147	0.932	0.632	0.741	0.619	0.845	0.624	0.845	292.667	16.333	0.002	0.054	0.143	0.056	0.029	0.051	0.029	580.333	2.333
CHEMBL217	0.928	0.472	0.286	0.353	0.631	0.33	0.631	880.667	38.333	0.0	0.01	0.004	0.004	0.001	0.005	0.001	6204.333	2.333
CHEMBL218	0.927	0.542	0.663	0.554	0.807	0.543	0.807	367.0	21.333	0.0	0.023	0.062	0.001	0.012	0.001	0.012	199.0	12.333
CHEMBL222	0.937	0.448	0.548	0.493	0.754	0.462	0.754	256.667	11.667	0.0	0.003	0.002	0.002	0.001	0.002	0.001	281.333	0.333
CHEMBL224	0.868	0.274	0.227	0.247	0.58	0.177	0.58	389.0	26.333	0.001	0.053	0.026	0.036	0.009	0.045	0.009	403.0	14.333
CHEMBL228	0.951	0.356	0.467	0.398	0.718	0.38	0.718	607.0	27.667	0.0	0.001	0.021	0.006	0.005	0.007	0.005	2404.0	1.333
CHEMBL2326	0.947	0.251	0.241	0.242	0.608	0.223	0.608	396.667	15.333	0.002	0.097	0.063	0.077	0.016	0.078	0.016	652.333	2.333
CHEMBL233	0.908	0.504	0.487	0.48	0.718	0.44	0.718	406.0	18.333	0.001	0.028	0.003	0.002	0.0	0.003	0.0	967.0	14.333
CHEMBL234	0.933	0.42	0.422	0.412	0.693	0.382	0.693	717.667	40.667	0.0	0.029	0.012	0.013	0.003	0.016	0.003	1961.333	1.333
CHEMBL236	0.93	0.479	0.375	0.42	0.673	0.387	0.673	683.667	32.0	0.001	0.003	0.004	0.004	0.001	0.005	0.001	5260.333	27.0
CHEMBL237	0.935	0.557	0.538	0.542	0.752	0.51	0.752	676.333	32.333	0.001	0.011	0.049	0.029	0.011	0.029	0.011	608.333	174.333
CHEMBL244	0.949	0.586	0.668	0.613	0.818	0.594	0.818	2096.0	146.667	0.0	0.0	0.045	0.007	0.01	0.01	0.01	12601.0	556.333
CHEMBL251	0.924	0.592	0.361	0.429	0.668	0.415	0.668	689.333	27.667	0.0	0.01	0.02	0.012	0.004	0.006	0.004	1962.333	30.333
CHEMBL253	0.915	0.532	0.41	0.446	0.689	0.416	0.689	717.333	58.333	0.0	0.044	0.064	0.055	0.015	0.053	0.015	786.333	12.333
CHEMBL255	0.965	0.683	0.271	0.37	0.634	0.406	0.634	536.667	16.0	0.0	0.026	0.045	0.056	0.011	0.047	0.011	508.333	9.0
CHEMBL256	0.918	0.503	0.431	0.455	0.695	0.417	0.695	499.667	29.0	0.0	0.013	0.012	0.007	0.003	0.008	0.003	174.333	3.0
CHEMBL261	0.926	0.499	0.424	0.452	0.695	0.418	0.695	1322.667	81.0	0.0	0.001	0.011	0.004	0.002	0.003	0.002	161.333	48.0
CHEMBL264	0.935	0.643	0.449	0.528	0.714	0.504	0.714	1333.333	64.0	0.0	0.002	0.007	0.005	0.002	0.006	0.002	2074.333	49.0
CHEMBL267	0.916	0.186	0.311	0.224	0.627	0.195	0.627	308.0	14.667	0.0	0.001	0.01	0.001	0.002	0.001	0.002	333.0	6.333
CHEMBL2820	0.903	0.468	0.33	0.381	0.646	0.34	0.646	286.333	16.0	0.0	0.015	0.012	0.009	0.003	0.011	0.003	26.333	3.0
CHEMBL284	0.944	0.475	0.447	0.454	0.709	0.429	0.709	569.333	25.333	0.0	0.011	0.001	0.001	0.0	0.001	0.0	120.333	9.333
CHEMBL3242	0.944	0.575	0.396	0.453	0.687	0.441	0.687	1119.333	60.333	0.0	0.015	0.013	0.004	0.003	0.002	0.003	542.333	10.333
CHEMBL335	0.927	0.492	0.518	0.474	0.739	0.453	0.739	172.667	12.667	0.0	0.013	0.041	0.0	0.009	0.002	0.009	97.333	4.333
CHEMBL3371	0.9	0.389	0.213	0.266	0.592	0.235	0.592	193.0	11.667	0.0	0.009	0.022	0.022	0.005	0.019	0.005	387.0	4.333
CHEMBL344	0.91	0.555	0.479	0.503	0.718	0.462	0.718	436.333	26.333	0.0	0.01	0.008	0.0	0.001	0.0	0.001	816.333	14.333
CHEMBL3594	0.921	0.458	0.471	0.445	0.714	0.415	0.714	1347.333	86.667	0.0	0.009	0.019	0.001	0.004	0.001	0.004	2556.333	270.333
CHEMBL3729	0.943	0.807	0.623	0.664	0.8	0.663	0.8	255.667	15.667	0.0	0.059	0.03	0.003	0.005	0.002	0.005	24.333	2.333
CHEMBL3837	0.946	0.63	0.478	0.53	0.729	0.515	0.729	734.667	37.667	0.0	0.002	0.029	0.013	0.007	0.009	0.007	3608.333	32.333
CHEMBL3880	0.906	0.254	0.139	0.177	0.553	0.14	0.553	523.333	20.0	0.0	0.002	0.001	0.0	0.0	0.0	0.0	320.333	13.0
CHEMBL3991	0.952	0.794	0.583	0.671	0.784	0.655	0.784	522.0	32.333	0.0	0.0	0.002	0.001	0.0	0.001	0.0	27.0	6.333
CHEMBL4072	0.968	0.889	0.611	0.704	0.803	0.713	0.803	188.667	11.667	0.001	0.037	0.12	0.078	0.031	0.077	0.031	58.333	0.333
CHEMBL4409	0.899	0.306	0.223	0.245	0.588	0.202	0.588	275.333	12.667	0.0	0.072	0.052	0.05	0.012	0.049	0.012	430.333	14.333
CHEMBL4523	0.948	0.635	0.719	0.61	0.845	0.619	0.845	243.333	12.667	0.0	0.073	0.06	0.011	0.013	0.005	0.013	82.333	14.333
CHEMBL4657	0.963	0.444	0.103	0.162	0.55	0.2	0.55	400.0	12.333	0.0	0.259	0.008	0.021	0.002	0.04	0.002	1047.0	0.333
