	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.814	0.0	0.0	0.0	0.567	0.0	0.5	461.333	15.333	0.012	0.0	0.0	0.0	0.014	0.0	0.0	7297.333	10.333
CHEMBL1800	0.924	1.0	0.667	0.8	0.824	0.779	0.833	243.333	10.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.333	0.333
CHEMBL1862	0.748	0.0	0.0	0.0	0.406	-0.056	0.476	228.333	11.667	0.001	0.0	0.0	0.0	0.007	0.01	0.002	162.333	4.333
CHEMBL1902	0.81	0.0	0.0	0.0	0.434	0.0	0.5	280.0	11.333	0.004	0.0	0.0	0.0	0.007	0.0	0.0	372.0	0.333
CHEMBL2034	0.885	0.167	0.222	0.19	0.819	0.174	0.598	327.667	19.0	0.001	0.083	0.148	0.109	0.015	0.09	0.029	302.333	12.0
CHEMBL204	0.934	0.531	0.465	0.484	0.722	0.459	0.714	1310.667	89.0	0.004	0.253	0.163	0.181	0.115	0.172	0.034	1457.333	727.0
CHEMBL205	0.938	0.677	0.4	0.484	0.72	0.48	0.688	1313.333	90.667	0.001	0.101	0.0	0.009	0.011	0.022	0.0	3504.333	17.333
CHEMBL214	0.873	0.0	0.0	0.0	0.674	0.0	0.5	445.0	25.667	0.001	0.0	0.0	0.0	0.019	0.0	0.0	733.0	10.333
CHEMBL2147	0.913	0.556	0.556	0.556	0.761	0.522	0.761	292.667	16.333	0.006	0.259	0.259	0.259	0.063	0.251	0.063	580.333	2.333
CHEMBL217	0.933	0.333	0.111	0.167	0.629	0.172	0.552	880.667	38.333	0.001	0.333	0.037	0.083	0.027	0.113	0.01	6204.333	2.333
CHEMBL218	0.917	0.889	0.611	0.711	0.896	0.69	0.797	367.0	21.333	0.0	0.037	0.009	0.006	0.02	0.008	0.002	199.0	12.333
CHEMBL222	0.805	0.0	0.0	0.0	0.67	0.0	0.5	256.667	11.667	0.001	0.0	0.0	0.0	0.07	0.0	0.0	281.333	0.333
CHEMBL224	0.799	0.0	0.0	0.0	0.62	-0.079	0.468	389.0	26.333	0.003	0.0	0.0	0.0	0.013	0.005	0.001	403.0	14.333
CHEMBL228	0.904	0.0	0.0	0.0	0.632	0.0	0.5	607.0	27.667	0.001	0.0	0.0	0.0	0.023	0.0	0.0	2404.0	1.333
CHEMBL2326	0.882	0.0	0.0	0.0	0.414	0.0	0.5	396.667	15.333	0.0	0.0	0.0	0.0	0.006	0.0	0.0	652.333	2.333
CHEMBL233	0.834	0.444	0.278	0.339	0.652	0.3	0.624	406.0	18.333	0.002	0.148	0.065	0.09	0.002	0.069	0.013	967.0	14.333
CHEMBL234	0.865	0.0	0.0	0.0	0.494	0.0	0.5	717.667	40.667	0.004	0.0	0.0	0.0	0.003	0.0	0.0	1961.333	1.333
CHEMBL236	0.841	0.25	0.114	0.156	0.786	0.086	0.53	683.667	32.0	0.014	0.062	0.011	0.021	0.017	0.032	0.003	5260.333	27.0
CHEMBL237	0.839	0.333	0.231	0.273	0.842	0.193	0.588	676.333	32.333	0.003	0.111	0.05	0.071	0.0	0.063	0.01	608.333	174.333
CHEMBL244	0.941	0.567	0.464	0.455	0.797	0.458	0.718	2096.0	146.667	0.001	0.043	0.062	0.004	0.027	0.004	0.012	12601.0	556.333
CHEMBL251	0.853	0.0	0.0	0.0	0.601	0.0	0.5	689.333	27.667	0.004	0.0	0.0	0.0	0.078	0.0	0.0	1962.333	30.333
CHEMBL253	0.874	0.444	0.25	0.312	0.648	0.297	0.617	717.333	58.333	0.005	0.148	0.062	0.084	0.027	0.078	0.015	786.333	12.333
CHEMBL255	0.88	0.167	0.083	0.111	0.501	0.1	0.536	536.667	16.0	0.0	0.083	0.021	0.037	0.003	0.03	0.004	508.333	9.0
CHEMBL256	0.825	0.0	0.0	0.0	0.549	-0.086	0.469	499.667	29.0	0.001	0.0	0.0	0.0	0.017	0.001	0.0	174.333	3.0
CHEMBL261	0.917	0.278	0.12	0.167	0.806	0.158	0.554	1322.667	81.0	0.001	0.065	0.016	0.028	0.03	0.028	0.004	161.333	48.0
CHEMBL264	0.909	0.417	0.289	0.34	0.786	0.3	0.627	1333.333	64.0	0.0	0.049	0.034	0.041	0.004	0.045	0.009	2074.333	49.0
CHEMBL267	0.83	0.0	0.0	0.0	0.503	-0.046	0.487	308.0	14.667	0.012	0.0	0.0	0.0	0.002	0.006	0.0	333.0	6.333
CHEMBL2820	0.802	0.333	0.133	0.19	0.796	0.189	0.567	286.333	16.0	0.001	0.333	0.053	0.109	0.013	0.107	0.013	26.333	3.0
CHEMBL284	0.886	0.333	0.111	0.167	0.601	0.183	0.556	569.333	25.333	0.001	0.333	0.037	0.083	0.027	0.101	0.009	120.333	9.333
CHEMBL3242	0.939	0.0	0.0	0.0	0.557	-0.01	0.497	1119.333	60.333	0.0	0.0	0.0	0.0	0.003	0.0	0.0	542.333	10.333
CHEMBL335	0.747	0.0	0.0	0.0	0.679	-0.048	0.485	172.667	12.667	0.002	0.0	0.0	0.0	0.044	0.007	0.001	97.333	4.333
CHEMBL3371	0.711	0.0	0.0	0.0	0.5	0.0	0.5	193.0	11.667	0.006	0.0	0.0	0.0	0.0	0.0	0.0	387.0	4.333
CHEMBL344	0.823	0.556	0.242	0.333	0.727	0.282	0.6	436.333	26.333	0.001	0.009	0.009	0.012	0.017	0.012	0.002	816.333	14.333
CHEMBL3594	0.913	0.0	0.0	0.0	0.717	-0.023	0.493	1347.333	86.667	0.001	0.0	0.0	0.0	0.016	0.001	0.0	2556.333	270.333
CHEMBL3729	0.724	0.417	0.222	0.262	0.643	0.181	0.556	255.667	15.667	0.024	0.271	0.037	0.063	0.002	0.098	0.009	24.333	2.333
CHEMBL3837	0.925	0.433	0.583	0.496	0.87	0.48	0.772	734.667	37.667	0.002	0.163	0.271	0.206	0.017	0.198	0.061	3608.333	32.333
CHEMBL3880	0.877	0.0	0.0	0.0	0.457	-0.023	0.496	523.333	20.0	0.004	0.0	0.0	0.0	0.002	0.002	0.0	320.333	13.0
CHEMBL3991	0.94	0.667	0.5	0.556	0.903	0.559	0.75	522.0	32.333	0.003	0.333	0.25	0.259	0.007	0.261	0.062	27.0	6.333
CHEMBL4072	0.794	0.333	0.222	0.267	0.574	0.252	0.611	188.667	11.667	0.01	0.333	0.148	0.213	0.121	0.19	0.037	58.333	0.333
CHEMBL4409	0.694	0.0	0.0	0.0	0.654	-0.092	0.458	275.333	12.667	0.018	0.0	0.0	0.0	0.016	0.026	0.005	430.333	14.333
CHEMBL4523	0.891	1.0	0.556	0.667	0.872	0.681	0.778	243.333	12.667	0.012	0.0	0.148	0.083	0.013	0.077	0.037	82.333	14.333
CHEMBL4657	0.863	0.0	0.0	0.0	0.632	0.0	0.5	400.0	12.333	0.0	0.0	0.0	0.0	0.052	0.0	0.0	1047.0	0.333
