	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.938	0.833	0.089	0.16	0.606	0.257	461.333	15.333	0.0	0.083	0.001	0.003	0.009	0.007	7297.333	10.333
CHEMBL1800	0.977	0.889	0.847	0.862	0.932	0.853	243.333	10.333	0.0	0.012	0.004	0.001	0.002	0.002	122.333	0.333
CHEMBL1862	0.916	0.067	0.056	0.061	0.585	0.048	228.333	11.667	0.0	0.013	0.009	0.011	0.004	0.007	162.333	4.333
CHEMBL1902	0.927	0.0	0.0	0.0	0.507	-0.014	280.0	11.333	0.0	0.0	0.0	0.0	0.002	0.0	372.0	0.333
CHEMBL2034	0.943	0.548	0.238	0.328	0.754	0.333	327.667	19.0	0.0	0.002	0.007	0.008	0.009	0.005	302.333	12.0
CHEMBL204	0.956	0.728	0.706	0.715	0.927	0.692	1310.667	89.0	0.001	0.009	0.03	0.019	0.004	0.023	1457.333	727.0
CHEMBL205	0.929	0.465	0.229	0.306	0.82	0.293	1313.333	90.667	0.0	0.016	0.001	0.004	0.003	0.006	3504.333	17.333
CHEMBL214	0.899	0.383	0.219	0.272	0.807	0.237	445.0	25.667	0.0	0.016	0.016	0.018	0.004	0.016	733.0	10.333
CHEMBL2147	0.922	0.61	0.653	0.568	0.854	0.565	292.667	16.333	0.002	0.058	0.095	0.036	0.042	0.031	580.333	2.333
CHEMBL217	0.934	0.575	0.182	0.276	0.758	0.298	880.667	38.333	0.0	0.002	0.0	0.0	0.001	0.0	6204.333	2.333
CHEMBL218	0.934	0.739	0.321	0.398	0.845	0.431	367.0	21.333	0.0	0.101	0.019	0.008	0.014	0.004	199.0	12.333
CHEMBL222	0.932	0.167	0.048	0.074	0.797	0.06	256.667	11.667	0.0	0.083	0.007	0.016	0.002	0.027	281.333	0.333
CHEMBL224	0.89	0.28	0.121	0.161	0.752	0.13	389.0	26.333	0.0	0.014	0.006	0.007	0.002	0.007	403.0	14.333
CHEMBL228	0.962	0.435	0.296	0.348	0.79	0.338	607.0	27.667	0.0	0.026	0.032	0.034	0.032	0.033	2404.0	1.333
CHEMBL2326	0.964	0.5	0.13	0.198	0.73	0.238	396.667	15.333	0.0	0.25	0.013	0.029	0.041	0.045	652.333	2.333
CHEMBL233	0.91	0.456	0.252	0.299	0.712	0.285	406.0	18.333	0.0	0.056	0.05	0.04	0.004	0.04	967.0	14.333
CHEMBL234	0.957	0.751	0.382	0.486	0.796	0.506	717.667	40.667	0.0	0.019	0.032	0.033	0.018	0.024	1961.333	1.333
CHEMBL236	0.935	0.53	0.229	0.315	0.872	0.318	683.667	32.0	0.0	0.009	0.004	0.004	0.0	0.004	5260.333	27.0
CHEMBL237	0.93	0.611	0.336	0.423	0.898	0.416	676.333	32.333	0.002	0.016	0.024	0.022	0.005	0.023	608.333	174.333
CHEMBL244	0.957	0.683	0.558	0.604	0.905	0.591	2096.0	146.667	0.0	0.004	0.052	0.026	0.011	0.025	12601.0	556.333
CHEMBL251	0.92	0.567	0.207	0.282	0.762	0.296	689.333	27.667	0.0	0.003	0.018	0.015	0.007	0.005	1962.333	30.333
CHEMBL253	0.919	0.589	0.361	0.431	0.8	0.414	717.333	58.333	0.0	0.053	0.05	0.047	0.021	0.046	786.333	12.333
CHEMBL255	0.969	0.933	0.299	0.425	0.657	0.499	536.667	16.0	0.0	0.013	0.031	0.029	0.009	0.013	508.333	9.0
CHEMBL256	0.904	0.323	0.158	0.209	0.739	0.177	499.667	29.0	0.0	0.008	0.0	0.0	0.006	0.001	174.333	3.0
CHEMBL261	0.924	0.463	0.256	0.326	0.815	0.306	1322.667	81.0	0.0	0.008	0.011	0.011	0.004	0.011	161.333	48.0
CHEMBL264	0.928	0.641	0.28	0.388	0.82	0.391	1333.333	64.0	0.0	0.033	0.001	0.004	0.002	0.008	2074.333	49.0
CHEMBL267	0.965	0.833	0.211	0.333	0.654	0.406	308.0	14.667	0.0	0.083	0.014	0.028	0.021	0.034	333.0	6.333
CHEMBL2820	0.918	0.613	0.304	0.402	0.862	0.392	286.333	16.0	0.0	0.002	0.006	0.006	0.009	0.004	26.333	3.0
CHEMBL284	0.946	0.315	0.169	0.216	0.876	0.214	569.333	25.333	0.0	0.075	0.024	0.037	0.002	0.035	120.333	9.333
CHEMBL3242	0.942	0.534	0.207	0.294	0.842	0.306	1119.333	60.333	0.0	0.007	0.01	0.014	0.003	0.011	542.333	10.333
CHEMBL335	0.938	0.726	0.423	0.432	0.85	0.47	172.667	12.667	0.0	0.082	0.094	0.025	0.001	0.009	97.333	4.333
CHEMBL3371	0.913	0.417	0.155	0.218	0.582	0.219	193.0	11.667	0.0	0.146	0.038	0.066	0.001	0.072	387.0	4.333
CHEMBL344	0.904	0.514	0.23	0.309	0.761	0.295	436.333	26.333	0.0	0.021	0.008	0.007	0.004	0.006	816.333	14.333
CHEMBL3594	0.944	0.765	0.371	0.468	0.838	0.491	1347.333	86.667	0.0	0.028	0.026	0.013	0.003	0.004	2556.333	270.333
CHEMBL3729	0.895	0.623	0.225	0.28	0.876	0.289	255.667	15.667	0.001	0.185	0.022	0.036	0.006	0.038	24.333	2.333
CHEMBL3837	0.949	0.719	0.467	0.524	0.91	0.532	734.667	37.667	0.0	0.045	0.051	0.038	0.005	0.026	3608.333	32.333
CHEMBL3880	0.928	0.639	0.07	0.126	0.604	0.193	523.333	20.0	0.0	0.141	0.001	0.002	0.0	0.012	320.333	13.0
CHEMBL3991	0.948	0.906	0.432	0.584	0.834	0.604	522.0	32.333	0.0	0.008	0.0	0.001	0.003	0.001	27.0	6.333
CHEMBL4072	0.965	1.0	0.5	0.636	0.768	0.678	188.667	11.667	0.0	0.0	0.083	0.056	0.038	0.04	58.333	0.333
CHEMBL4409	0.906	0.233	0.054	0.083	0.673	0.069	275.333	12.667	0.001	0.063	0.002	0.005	0.017	0.009	430.333	14.333
CHEMBL4523	0.969	0.897	0.719	0.791	0.884	0.784	243.333	12.667	0.001	0.008	0.06	0.033	0.01	0.035	82.333	14.333
