	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.909	0.312	0.321	0.316	0.709	0.268	461.333	15.333	0.0	0.013	0.024	0.018	0.015	0.019	7297.333	10.333
CHEMBL1800	0.962	0.917	0.625	0.687	0.923	0.71	243.333	10.333	0.001	0.005	0.124	0.079	0.001	0.049	122.333	0.333
CHEMBL1862	0.881	0.097	0.089	0.084	0.71	0.03	228.333	11.667	0.0	0.01	0.007	0.005	0.002	0.006	162.333	4.333
CHEMBL1902	0.918	0.333	0.111	0.163	0.372	0.153	280.0	11.333	0.0	0.111	0.009	0.02	0.009	0.034	372.0	0.333
CHEMBL2034	0.925	0.329	0.333	0.311	0.731	0.284	327.667	19.0	0.001	0.111	0.088	0.075	0.035	0.075	302.333	12.0
CHEMBL204	0.973	0.884	0.778	0.827	0.962	0.815	1310.667	89.0	0.0	0.011	0.005	0.007	0.001	0.009	1457.333	727.0
CHEMBL205	0.924	0.445	0.478	0.455	0.856	0.418	1313.333	90.667	0.0	0.005	0.007	0.001	0.002	0.001	3504.333	17.333
CHEMBL214	0.9	0.404	0.306	0.341	0.901	0.297	445.0	25.667	0.001	0.036	0.042	0.044	0.001	0.044	733.0	10.333
CHEMBL2147	0.928	0.526	0.736	0.591	0.765	0.577	292.667	16.333	0.001	0.024	0.14	0.054	0.124	0.062	580.333	2.333
CHEMBL217	0.92	0.428	0.431	0.426	0.826	0.385	880.667	38.333	0.0	0.002	0.003	0.0	0.0	0.0	6204.333	2.333
CHEMBL218	0.925	0.501	0.518	0.49	0.883	0.462	367.0	21.333	0.0	0.02	0.047	0.017	0.003	0.02	199.0	12.333
CHEMBL222	0.927	0.334	0.44	0.375	0.831	0.344	256.667	11.667	0.0	0.023	0.092	0.044	0.003	0.049	281.333	0.333
CHEMBL224	0.885	0.345	0.294	0.311	0.868	0.254	389.0	26.333	0.0	0.011	0.02	0.016	0.0	0.016	403.0	14.333
CHEMBL228	0.911	0.307	0.639	0.378	0.782	0.385	607.0	27.667	0.003	0.071	0.093	0.064	0.043	0.062	2404.0	1.333
CHEMBL2326	0.947	0.285	0.282	0.262	0.694	0.247	396.667	15.333	0.0	0.002	0.038	0.009	0.057	0.009	652.333	2.333
CHEMBL233	0.907	0.473	0.408	0.414	0.798	0.379	406.0	18.333	0.001	0.001	0.05	0.017	0.009	0.015	967.0	14.333
CHEMBL234	0.954	0.685	0.422	0.512	0.803	0.51	717.667	40.667	0.0	0.075	0.012	0.02	0.025	0.028	1961.333	1.333
CHEMBL236	0.921	0.436	0.563	0.485	0.874	0.451	683.667	32.0	0.001	0.0	0.021	0.004	0.003	0.005	5260.333	27.0
CHEMBL237	0.944	0.659	0.729	0.685	0.926	0.659	676.333	32.333	0.002	0.011	0.015	0.006	0.005	0.01	608.333	174.333
CHEMBL244	0.96	0.705	0.619	0.648	0.901	0.635	2096.0	146.667	0.0	0.001	0.051	0.018	0.006	0.019	12601.0	556.333
CHEMBL251	0.905	0.436	0.533	0.479	0.885	0.43	689.333	27.667	0.0	0.002	0.008	0.004	0.001	0.005	1962.333	30.333
CHEMBL253	0.93	0.673	0.409	0.5	0.83	0.487	717.333	58.333	0.001	0.038	0.05	0.056	0.021	0.053	786.333	12.333
CHEMBL255	0.962	0.567	0.214	0.298	0.774	0.325	536.667	16.0	0.0	0.043	0.014	0.023	0.02	0.022	508.333	9.0
CHEMBL256	0.922	0.512	0.41	0.455	0.792	0.417	499.667	29.0	0.0	0.025	0.017	0.019	0.011	0.022	174.333	3.0
CHEMBL261	0.92	0.459	0.506	0.479	0.875	0.438	1322.667	81.0	0.0	0.004	0.019	0.009	0.001	0.011	161.333	48.0
CHEMBL264	0.92	0.526	0.309	0.388	0.855	0.363	1333.333	64.0	0.001	0.026	0.003	0.007	0.007	0.012	2074.333	49.0
CHEMBL267	0.926	0.23	0.311	0.255	0.696	0.226	308.0	14.667	0.001	0.005	0.01	0.005	0.013	0.006	333.0	6.333
CHEMBL2820	0.911	0.528	0.636	0.555	0.792	0.523	286.333	16.0	0.0	0.004	0.056	0.002	0.027	0.005	26.333	3.0
CHEMBL284	0.947	0.519	0.314	0.388	0.911	0.377	569.333	25.333	0.0	0.042	0.007	0.014	0.001	0.018	120.333	9.333
CHEMBL3242	0.937	0.477	0.29	0.353	0.85	0.337	1119.333	60.333	0.0	0.008	0.004	0.002	0.005	0.001	542.333	10.333
CHEMBL335	0.962	0.75	0.744	0.743	0.926	0.725	172.667	12.667	0.001	0.062	0.013	0.034	0.004	0.041	97.333	4.333
CHEMBL3371	0.912	0.556	0.172	0.258	0.762	0.272	193.0	11.667	0.0	0.009	0.007	0.012	0.003	0.01	387.0	4.333
CHEMBL344	0.901	0.491	0.419	0.451	0.799	0.399	436.333	26.333	0.001	0.002	0.005	0.003	0.001	0.005	816.333	14.333
CHEMBL3594	0.931	0.519	0.51	0.496	0.821	0.47	1347.333	86.667	0.0	0.004	0.028	0.005	0.005	0.004	2556.333	270.333
CHEMBL3729	0.924	0.639	0.51	0.527	0.936	0.514	255.667	15.667	0.004	0.12	0.181	0.14	0.003	0.152	24.333	2.333
CHEMBL3837	0.936	0.6	0.552	0.535	0.948	0.524	734.667	37.667	0.001	0.021	0.054	0.014	0.0	0.009	3608.333	32.333
CHEMBL3880	0.923	0.446	0.195	0.269	0.624	0.259	523.333	20.0	0.0	0.003	0.001	0.001	0.005	0.0	320.333	13.0
CHEMBL3991	0.932	0.729	0.38	0.471	0.822	0.48	522.0	32.333	0.0	0.057	0.038	0.021	0.013	0.021	27.0	6.333
CHEMBL4072	0.965	1.0	0.5	0.636	0.774	0.678	188.667	11.667	0.0	0.0	0.083	0.056	0.045	0.04	58.333	0.333
CHEMBL4409	0.891	0.262	0.21	0.228	0.748	0.174	275.333	12.667	0.002	0.078	0.035	0.048	0.045	0.049	430.333	14.333
CHEMBL4523	0.972	0.952	0.719	0.807	0.923	0.808	243.333	12.667	0.001	0.007	0.06	0.028	0.004	0.028	82.333	14.333
CHEMBL4657	0.934	0.254	0.206	0.218	0.706	0.192	400.0	12.333	0.001	0.05	0.012	0.026	0.008	0.031	1047.0	0.333
