	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.931	0.596	0.208	0.277	0.739	0.3	461.333	15.333	0.0	0.126	0.017	0.012	0.008	0.014	7297.333	10.333
CHEMBL1800	0.956	0.744	0.847	0.779	0.943	0.766	243.333	10.333	0.001	0.056	0.004	0.019	0.002	0.021	122.333	0.333
CHEMBL1862	0.885	0.085	0.089	0.084	0.772	0.029	228.333	11.667	0.0	0.006	0.007	0.005	0.005	0.004	162.333	4.333
CHEMBL1902	0.9	0.161	0.083	0.106	0.428	0.064	280.0	11.333	0.0	0.045	0.007	0.014	0.008	0.019	372.0	0.333
CHEMBL2034	0.931	0.429	0.333	0.346	0.735	0.33	327.667	19.0	0.001	0.016	0.048	0.017	0.025	0.013	302.333	12.0
CHEMBL204	0.966	0.852	0.725	0.751	0.978	0.755	1310.667	89.0	0.001	0.003	0.092	0.033	0.0	0.026	1457.333	727.0
CHEMBL205	0.91	0.42	0.537	0.44	0.838	0.416	1313.333	90.667	0.0	0.024	0.023	0.002	0.003	0.002	3504.333	17.333
CHEMBL214	0.918	0.596	0.458	0.495	0.919	0.469	445.0	25.667	0.001	0.046	0.061	0.044	0.001	0.047	733.0	10.333
CHEMBL2147	0.927	0.426	0.494	0.437	0.777	0.416	292.667	16.333	0.001	0.155	0.208	0.143	0.12	0.155	580.333	2.333
CHEMBL217	0.915	0.387	0.411	0.398	0.826	0.353	880.667	38.333	0.0	0.0	0.002	0.001	0.001	0.001	6204.333	2.333
CHEMBL218	0.931	0.567	0.549	0.513	0.866	0.502	367.0	21.333	0.0	0.019	0.069	0.01	0.007	0.009	199.0	12.333
CHEMBL222	0.927	0.048	0.042	0.044	0.881	0.017	256.667	11.667	0.0	0.007	0.005	0.006	0.002	0.004	281.333	0.333
CHEMBL224	0.91	0.496	0.334	0.398	0.903	0.36	389.0	26.333	0.0	0.033	0.03	0.033	0.001	0.035	403.0	14.333
CHEMBL228	0.932	0.329	0.615	0.395	0.804	0.402	607.0	27.667	0.001	0.037	0.126	0.027	0.039	0.036	2404.0	1.333
CHEMBL2326	0.946	0.25	0.13	0.162	0.687	0.148	396.667	15.333	0.0	0.062	0.013	0.02	0.044	0.026	652.333	2.333
CHEMBL233	0.898	0.467	0.405	0.404	0.757	0.367	406.0	18.333	0.002	0.05	0.045	0.017	0.014	0.029	967.0	14.333
CHEMBL234	0.936	0.448	0.484	0.422	0.819	0.413	717.667	40.667	0.0	0.005	0.073	0.02	0.021	0.015	1961.333	1.333
CHEMBL236	0.945	0.66	0.485	0.53	0.889	0.526	683.667	32.0	0.0	0.036	0.026	0.004	0.004	0.005	5260.333	27.0
CHEMBL237	0.945	0.639	0.65	0.64	0.934	0.613	676.333	32.333	0.0	0.002	0.012	0.003	0.004	0.002	608.333	174.333
CHEMBL244	0.96	0.687	0.656	0.662	0.922	0.647	2096.0	146.667	0.0	0.002	0.054	0.018	0.008	0.02	12601.0	556.333
CHEMBL251	0.926	0.556	0.373	0.443	0.864	0.416	689.333	27.667	0.0	0.028	0.026	0.027	0.001	0.028	1962.333	30.333
CHEMBL253	0.928	0.641	0.437	0.512	0.844	0.49	717.333	58.333	0.001	0.034	0.053	0.051	0.012	0.05	786.333	12.333
CHEMBL255	0.949	0.444	0.2	0.26	0.802	0.264	536.667	16.0	0.001	0.231	0.009	0.033	0.026	0.059	508.333	9.0
CHEMBL256	0.929	0.407	0.279	0.322	0.825	0.311	499.667	29.0	0.0	0.128	0.091	0.1	0.011	0.091	174.333	3.0
CHEMBL261	0.929	0.518	0.418	0.461	0.881	0.427	1322.667	81.0	0.0	0.003	0.01	0.006	0.0	0.007	161.333	48.0
CHEMBL264	0.934	0.643	0.431	0.51	0.852	0.491	1333.333	64.0	0.0	0.008	0.012	0.008	0.008	0.007	2074.333	49.0
CHEMBL267	0.918	0.33	0.311	0.276	0.639	0.261	308.0	14.667	0.004	0.045	0.01	0.017	0.028	0.019	333.0	6.333
CHEMBL2820	0.915	0.6	0.211	0.313	0.776	0.322	286.333	16.0	0.0	0.03	0.004	0.009	0.032	0.012	26.333	3.0
CHEMBL284	0.946	0.507	0.413	0.433	0.891	0.42	569.333	25.333	0.0	0.007	0.025	0.008	0.004	0.005	120.333	9.333
CHEMBL3242	0.95	0.69	0.367	0.445	0.877	0.461	1119.333	60.333	0.0	0.035	0.043	0.041	0.002	0.03	542.333	10.333
CHEMBL335	0.937	0.611	0.607	0.563	0.878	0.556	172.667	12.667	0.0	0.12	0.017	0.021	0.006	0.026	97.333	4.333
CHEMBL3371	0.921	0.806	0.213	0.313	0.817	0.365	193.0	11.667	0.0	0.03	0.022	0.031	0.009	0.015	387.0	4.333
CHEMBL344	0.86	0.356	0.442	0.351	0.772	0.304	436.333	26.333	0.003	0.012	0.096	0.022	0.005	0.029	816.333	14.333
CHEMBL3594	0.921	0.449	0.545	0.483	0.847	0.449	1347.333	86.667	0.0	0.003	0.017	0.003	0.001	0.004	2556.333	270.333
CHEMBL3729	0.962	0.845	0.737	0.783	0.952	0.767	255.667	15.667	0.0	0.035	0.005	0.014	0.002	0.017	24.333	2.333
CHEMBL3837	0.954	0.716	0.576	0.616	0.949	0.608	734.667	37.667	0.0	0.015	0.031	0.009	0.001	0.005	3608.333	32.333
