	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125
accuracy	0.9090909090909091	0.84	0.6923076923076923	0.35714285714285715	0.8	0.9090909090909091	0.29411764705882354	0.38461538461538464	0.23076923076923078	0.23529411764705882	0.42857142857142855	0.88	0.8780487804878049	0.7142857142857143	0.5172413793103449	0.9586776859504132	0.7833333333333333	0.782608695652174	0.7	0.8536585365853658	0.7307692307692307	0.6666666666666666	0.8387096774193549	0.7878787878787878	0.9285714285714286	0.7692307692307693	0.6	0.9571428571428572	0.7142857142857143	0.7755102040816326	0.9130434782608695	0.7	0.5625	0.7058823529411765	0.8235294117647058	0.6153846153846154	0.8787878787878788	0.47619047619047616	0.4782608695652174	0.8787878787878788	0.7741935483870968	0.6190476190476191	0.6785714285714286	0.6923076923076923	0.34782608695652173	0.6956521739130435	0.8095238095238095	0.7222222222222222	0.5102040816326531	0.7692307692307693	0.6666666666666666	0.9333333333333333	0.6774193548387096	0.8809523809523809	0.8620689655172413	0.7647058823529411	0.9166666666666666	0.6643835616438356	0.9494949494949495	0.9492753623188406	0.75	0.696969696969697	0.9090909090909091	0.9130434782608695	0.7441860465116279	0.7560975609756098	0.7948717948717948	0.12	0.7222222222222222	0.5769230769230769	0.4883720930232558	0.45161290322580644	0.875	0.8117647058823529	0.7	0.7627118644067796	0.6103896103896104	0.7752808988764045	0.5862068965517241	0.8148148148148148	0.6470588235294118	0.5294117647058824	0.8125	0.8461538461538461	0.782608695652174	0.7777777777777778	0.6857142857142857	0.8194444444444444	0.7894736842105263	0.7956989247311828	0.7272727272727273	0.7142857142857143	0.4666666666666667	0.6666666666666666	0.8	0.5555555555555556	0.6571428571428571	0.8181818181818182	0.5	0.8395061728395061	0.7631578947368421	0.8241758241758241	0.4166666666666667	0.8333333333333334	0.5	0.7619047619047619	0.8484848484848485	0.725	0.5869565217391305	0.8421052631578947	0.9069767441860465	0.8928571428571429	0.8518518518518519	0.6666666666666666	0.5384615384615384	0.8	1.0	0.75	0.3333333333333333	0.3125	0.8947368421052632	0.8888888888888888	1.0	0.42857142857142855	0.6363636363636364	0.8695652173913043
precision	0.0	0.0	0.0	0.25	0.5	1.0	0.09090909090909091	0.2727272727272727	0.23076923076923078	0.23529411764705882	0.0	0.0	0.4	0.3333333333333333	0.13333333333333333	0.6666666666666666	0.45454545454545453	0.0	0.14814814814814814	0.18181818181818182	0.14285714285714285	0.2857142857142857	0.375	0.4166666666666667	0.6666666666666666	0.5	0.3333333333333333	0.0	0.23076923076923078	0.18181818181818182	0.6666666666666666	0.3333333333333333	0.3	0.3333333333333333	0.0	0.25	0.0	0.21428571428571427	0.21428571428571427	0.0	0.16666666666666666	0.15789473684210525	0.0	0.0	0.0	0.3333333333333333	0.5	0.25	0.043478260869565216	0.25	0.3333333333333333	0.5	0.36363636363636365	0.4444444444444444	0.5	0.5714285714285714	0.5	0.14035087719298245	0.0	0.875	0.0	0.38461538461538464	0.6666666666666666	0.25	0.0	0.4166666666666667	0.0	0.12	0.125	0.1	0.05263157894736842	0.06666666666666667	0.25	0.125	0.13043478260869565	0.2631578947368421	0.16666666666666666	0.22727272727272727	0.15384615384615385	0.0	0.3333333333333333	0.38461538461538464	0.5	1.0	0.25	0.0	0.25	0.16666666666666666	0.09090909090909091	0.058823529411764705	0.5	0.0	0.2727272727272727	0.0	0.0	0.0	0.2857142857142857	0.5	0.25	0.29411764705882354	0.0	0.25	0.0	0.0	0.25	0.125	0.4444444444444444	0.18181818181818182	0.21052631578947367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	0.2	0.3125	0.6	1.0	1.0	0.09090909090909091	0.0	0.0
recall	0.0	0.0	0.0	1.0	0.6666666666666666	0.6666666666666666	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	0.5	1.0	0.6666666666666666	0.8888888888888888	0.9090909090909091	0.0	0.8	0.4	0.5	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	0.0	1.0	0.5	0.6666666666666666	0.5	1.0	0.6666666666666666	0.0	0.3333333333333333	0.0	1.0	0.75	0.0	0.3333333333333333	1.0	0.0	0.0	0.0	0.4	0.5	0.3333333333333333	0.3333333333333333	0.25	0.75	0.6	0.5714285714285714	1.0	0.5	0.4444444444444444	1.0	1.0	0.0	0.5384615384615384	0.0	0.7142857142857143	0.6666666666666666	0.25	0.0	0.625	0.0	1.0	0.25	0.3333333333333333	0.2	0.25	0.1111111111111111	0.5	0.42857142857142855	1.0	1.0	0.625	0.6666666666666666	0.0	0.5	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.6	0.4	0.3333333333333333	0.25	1.0	0.0	1.0	0.0	0.0	0.0	0.6666666666666666	0.5	0.7142857142857143	0.8333333333333334	0.0	0.3	0.0	0.0	0.3333333333333333	0.25	1.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	1.0	1.0	1.0	0.6666666666666666	1.0	0.3333333333333333	0.0	0.0
f1	0.0	0.0	0.0	0.4	0.5714285714285715	0.8	0.14285714285714288	0.42857142857142855	0.375	0.38095238095238093	0.0	0.0	0.4444444444444445	0.5	0.2222222222222222	0.761904761904762	0.6060606060606061	0.0	0.25	0.25000000000000006	0.22222222222222224	0.4444444444444445	0.5454545454545454	0.5882352941176471	0.6666666666666666	0.6666666666666666	0.5	0.0	0.375	0.26666666666666666	0.6666666666666666	0.4	0.4615384615384615	0.4444444444444444	0.0	0.28571428571428575	0.0	0.35294117647058826	0.3333333333333333	0.0	0.2222222222222222	0.2727272727272727	0.0	0.0	0.0	0.3636363636363636	0.5	0.28571428571428575	0.07692307692307691	0.25	0.46153846153846156	0.5454545454545454	0.4444444444444444	0.6153846153846153	0.5	0.5	0.6666666666666666	0.24615384615384614	0.0	0.6666666666666667	0.0	0.5	0.6666666666666666	0.25	0.0	0.5	0.0	0.21428571428571425	0.16666666666666666	0.15384615384615383	0.08333333333333333	0.10526315789473685	0.15384615384615383	0.2	0.2	0.4166666666666667	0.2857142857142857	0.3333333333333333	0.25	0.0	0.4	0.5555555555555556	0.4	0.5	0.28571428571428575	0.0	0.35294117647058826	0.23529411764705882	0.14285714285714288	0.09523809523809523	0.6666666666666666	0.0	0.42857142857142855	0.0	0.0	0.0	0.4	0.5	0.37037037037037035	0.4347826086956522	0.0	0.2727272727272727	0.0	0.0	0.28571428571428575	0.16666666666666666	0.6153846153846153	0.26666666666666666	0.2962962962962963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.6	0.33333333333333337	0.47619047619047616	0.7499999999999999	0.8	1.0	0.14285714285714288	0.0	0.0
auc_roc	0.5277777777777778	0.6904761904761905	0.8055555555555556	0.9393939393939393	0.5833333333333334	1.0	0.33333333333333337	0.9666666666666667	0.9333333333333333	0.40384615384615385	0.303030303030303	0.3484848484848485	0.6891891891891891	0.7777777777777778	0.48717948717948717	0.9672619047619048	0.8650278293135436	0.5393258426966292	0.8853333333333334	0.6025974025974026	0.7208333333333333	0.951923076923077	0.9285714285714286	0.95	0.96	0.9	0.7500000000000001	0.5	0.8333333333333333	0.7722222222222223	0.9833333333333333	0.65625	1.0	0.8095238095238095	0.5714285714285714	0.6666666666666666	0.3620689655172414	0.5185185185185185	0.7763157894736843	0.48275862068965514	0.5357142857142856	1.0	0.64	0.13043478260869562	0.19999999999999998	0.6111111111111112	0.6764705882352942	0.7111111111111111	0.644927536231884	0.48863636363636365	0.8088235294117646	0.8371428571428571	0.6071428571428572	0.9605263157894737	0.91	0.7555555555555555	0.9545454545454546	0.9447463768115942	0.7465277777777779	0.7526153846153846	0.4597701149425287	0.7692307692307692	0.7894736842105263	0.6461538461538461	0.5277777777777777	0.7916666666666667	0.37647058823529417	0.5	0.484375	0.6231884057971014	0.3315789473684211	0.4722222222222222	0.7004219409282699	0.75	0.6379647749510763	0.8925925925925926	0.7276995305164319	0.691358024691358	0.6025641025641025	0.5833333333333334	0.4807692307692308	0.9	0.641025641025641	0.5333333333333333	0.7333333333333334	0.5138888888888888	0.7266666666666666	0.6746268656716418	0.7592592592592593	0.7668539325842696	0.9166666666666666	0.7878787878787878	0.33333333333333337	0.16666666666666666	0.0	0.6111111111111112	0.7816091954022989	0.7916666666666666	0.544973544973545	0.8177777777777777	0.4703196347031964	0.725925925925926	0.4074074074074074	0.7111111111111111	0.47619047619047616	0.7105263157894737	0.9310344827586208	0.8402777777777777	0.42434210526315785	0.17142857142857143	0.21794871794871795	0.5	0.3369565217391305	0.2444444444444444	0.3333333333333333	0.611111111111111	1.0	0.625	0.8	0.5636363636363637	0.9791666666666666	0.888888888888889	1.0	0.42592592592592593	0.5614035087719298	0.8166666666666667
matthews_coeff	0.0	0.0	0.0	0.21320071635561044	0.45226701686664544	0.769800358919501	-0.3038948705590345	0.23354968324845687	0.0	0.0	-0.3892494720807615	0.0	0.3798608880818007	0.4714045207910316	0.101574900036674	0.7489698117051762	0.533317095621176	-0.08740966444394034	0.25254354803173545	0.19877905253879383	0.15018785229652765	0.4193139346887673	0.5550096524257162	0.5590169943749475	0.6266666666666667	0.5916079783099616	0.408248290463863	0.0	0.39831375340784575	0.1968653876669132	0.6166666666666667	0.2182178902359924	0.3721042037676254	0.3038948705590345	0.0	0.03042903097250923	0.0	0.28867513459481287	0.13284685688840928	0.0	0.11581320482871722	0.30515145240827973	-0.18090680674665818	-0.17622684421256035	-0.40451991747794525	0.16699314428937317	0.38235294117647056	0.11952286093343938	-0.06962093643699441	0.11363636363636363	0.31506301890630223	0.5122717640554154	0.2444735487068407	0.6212607441973955	0.42	0.35399791082727655	0.674199862463242	0.30085901255580483	-0.025383654128340476	0.6630769230769231	-0.1384091330895666	0.3401804503490197	0.6140350877192983	0.20384615384615384	-0.14121975762272057	0.35961261036947356	-0.11070186069251192	0.0	0.0236227795630767	-0.03806934938134405	-0.17666239824805763	-0.18012769818748306	0.1063895334970512	0.17723472815404911	0.09651955154099837	0.44151078568834795	0.31023238298958905	0.2752428431610149	0.14916764459256532	-0.1	0.1706971854997297	0.35805743701971643	0.30261376633440124	0.5270462766947299	0.16289594138375038	-0.125	0.2211629342323457	0.17103722209882732	0.08382594846159087	0.03686241234519508	0.5590169943749475	-0.14484136487558028	0.30151134457776363	0.0	0.0	-0.25	0.24759378423606918	0.3888888888888889	0.13041013273932525	0.43303392748483477	-0.10052634889603294	0.17460020637877421	-0.408248290463863	0.0	-0.0890870806374748	0.04918059221028961	0.6064784348631227	0.16796775328675628	0.08103161672836853	-0.08571428571428572	0.0	0.0	0.0	-0.2	-0.2842676218074806	0.0	1.0	0.4472135954999579	0.2	0.0	0.724568837309472	0.7559289460184544	1.0	-0.1556997888323046	-0.2154985579603078	0.0
balanced_accuracy	0.5	0.5	0.5	0.5909090909090909	0.75	0.8333333333333333	0.30952380952380953	0.6	0.5	0.5	0.2727272727272727	0.5	0.7094594594594594	0.8333333333333333	0.5833333333333333	0.9265873015873016	0.8320964749536177	0.4044943820224719	0.7466666666666667	0.6415584415584416	0.625	0.8076923076923077	0.9107142857142857	0.875	0.8133333333333332	0.85	0.75	0.5	0.84375	0.65	0.8083333333333333	0.625	0.7307692307692308	0.6904761904761905	0.5	0.5166666666666666	0.5	0.6944444444444444	0.5855263157894737	0.5	0.5773809523809523	0.7948717948717949	0.38	0.391304347826087	0.2	0.5888888888888889	0.6911764705882353	0.5666666666666667	0.427536231884058	0.5568181818181819	0.6985294117647058	0.7785714285714286	0.6398809523809523	0.9342105263157895	0.71	0.6622222222222223	0.9545454545454546	0.822463768115942	0.4895833333333333	0.7652307692307692	0.41379310344827586	0.7032967032967032	0.8070175438596491	0.601923076923077	0.4444444444444444	0.7064393939393939	0.45588235294117646	0.5	0.515625	0.47101449275362317	0.3631578947368421	0.3657407407407407	0.5365682137834037	0.6635802469135803	0.5772994129158513	0.8703703703703703	0.7887323943661972	0.7075617283950617	0.6217948717948718	0.4583333333333333	0.5961538461538461	0.6666666666666666	0.6282051282051282	0.6666666666666666	0.5916666666666667	0.4375	0.6499999999999999	0.6253731343283582	0.5740740740740741	0.5351123595505618	0.8125	0.45454545454545453	0.6666666666666666	0.5	0.5	0.4166666666666667	0.6609195402298851	0.6944444444444444	0.5793650793650793	0.8366666666666667	0.3972602739726027	0.5944444444444444	0.2777777777777778	0.5	0.45238095238095233	0.5328947368421053	0.9137931034482758	0.625	0.5526315789473684	0.45714285714285713	0.5	0.5	0.5	0.4	0.3888888888888889	0.5	1.0	0.75	0.6	0.5	0.9375	0.8333333333333333	1.0	0.38888888888888884	0.3684210526315789	0.5
#tr	390	438	556	242	233	255	220	222	243	288	294	258	308	341	334	1296	1282	1354	1346	1349	1245	464	414	457	265	309	304	815	968	859	352	369	380	248	246	276	380	412	375	657	605	559	372	395	423	413	433	372	667	749	737	610	755	686	688	693	648	2081	2215	1992	699	641	728	685	732	735	515	560	535	497	488	514	1308	1330	1330	1355	1281	1364	296	299	329	292	282	285	573	557	578	1103	1146	1109	166	168	184	196	172	211	416	469	424	1356	1393	1293	250	259	258	673	793	738	508	543	519	516	525	525	187	182	197	279	253	294	250	247	233	386	377	437
#ac_tr	14	13	19	10	10	11	14	10	11	12	11	11	23	17	17	102	58	107	94	86	92	28	22	27	15	18	16	37	40	38	25	18	21	11	12	12	29	28	22	27	27	29	15	17	14	14	21	20	42	40	40	38	29	29	35	18	44	149	169	122	28	22	33	62	58	55	13	16	19	30	27	30	73	85	85	69	67	56	17	12	15	15	18	15	26	28	22	58	64	59	11	15	12	11	10	14	29	28	22	99	93	68	17	14	16	36	44	33	16	23	21	32	35	30	11	12	12	17	10	11	11	10	17	12	12	13
target	CHEMBL1075323	CHEMBL1075323	CHEMBL1075323	CHEMBL1800	CHEMBL1800	CHEMBL1800	CHEMBL1862	CHEMBL1862	CHEMBL1862	CHEMBL1902	CHEMBL1902	CHEMBL1902	CHEMBL2034	CHEMBL2034	CHEMBL2034	CHEMBL204	CHEMBL204	CHEMBL204	CHEMBL205	CHEMBL205	CHEMBL205	CHEMBL214	CHEMBL214	CHEMBL214	CHEMBL2147	CHEMBL2147	CHEMBL2147	CHEMBL217	CHEMBL217	CHEMBL217	CHEMBL218	CHEMBL218	CHEMBL218	CHEMBL222	CHEMBL222	CHEMBL222	CHEMBL224	CHEMBL224	CHEMBL224	CHEMBL228	CHEMBL228	CHEMBL228	CHEMBL2326	CHEMBL2326	CHEMBL2326	CHEMBL233	CHEMBL233	CHEMBL233	CHEMBL234	CHEMBL234	CHEMBL234	CHEMBL236	CHEMBL236	CHEMBL236	CHEMBL237	CHEMBL237	CHEMBL237	CHEMBL244	CHEMBL244	CHEMBL244	CHEMBL251	CHEMBL251	CHEMBL251	CHEMBL253	CHEMBL253	CHEMBL253	CHEMBL255	CHEMBL255	CHEMBL255	CHEMBL256	CHEMBL256	CHEMBL256	CHEMBL261	CHEMBL261	CHEMBL261	CHEMBL264	CHEMBL264	CHEMBL264	CHEMBL267	CHEMBL267	CHEMBL267	CHEMBL2820	CHEMBL2820	CHEMBL2820	CHEMBL284	CHEMBL284	CHEMBL284	CHEMBL3242	CHEMBL3242	CHEMBL3242	CHEMBL335	CHEMBL335	CHEMBL335	CHEMBL3371	CHEMBL3371	CHEMBL3371	CHEMBL344	CHEMBL344	CHEMBL344	CHEMBL3594	CHEMBL3594	CHEMBL3594	CHEMBL3729	CHEMBL3729	CHEMBL3729	CHEMBL3837	CHEMBL3837	CHEMBL3837	CHEMBL3880	CHEMBL3880	CHEMBL3880	CHEMBL3991	CHEMBL3991	CHEMBL3991	CHEMBL4072	CHEMBL4072	CHEMBL4072	CHEMBL4409	CHEMBL4409	CHEMBL4409	CHEMBL4523	CHEMBL4523	CHEMBL4523	CHEMBL4657	CHEMBL4657	CHEMBL4657
