	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.814	0.0	0.0	0.0	0.675	0.0	0.5	461.333	15.333	0.012	0.0	0.0	0.0	0.019	0.0	0.0	7297.333	10.333
CHEMBL1800	0.689	0.583	0.778	0.59	0.841	0.478	0.725	243.333	10.333	0.085	0.146	0.037	0.04	0.051	0.078	0.015	122.333	0.333
CHEMBL1862	0.303	0.198	0.778	0.315	0.744	-0.023	0.47	228.333	11.667	0.006	0.009	0.148	0.023	0.127	0.073	0.022	162.333	4.333
CHEMBL1902	0.515	0.078	0.333	0.127	0.352	-0.13	0.424	280.0	11.333	0.109	0.018	0.333	0.048	0.003	0.051	0.017	372.0	0.333
CHEMBL2034	0.703	0.289	0.722	0.389	0.651	0.318	0.709	327.667	19.0	0.033	0.019	0.065	0.022	0.022	0.037	0.016	302.333	12.0
CHEMBL204	0.842	0.374	0.599	0.456	0.791	0.398	0.721	1310.667	89.0	0.01	0.116	0.269	0.162	0.05	0.189	0.077	1457.333	727.0
CHEMBL205	0.761	0.158	0.567	0.241	0.736	0.201	0.671	1313.333	90.667	0.007	0.0	0.043	0.0	0.02	0.003	0.004	3504.333	17.333
CHEMBL214	0.764	0.359	1.0	0.526	0.943	0.511	0.864	445.0	25.667	0.008	0.004	0.0	0.005	0.0	0.006	0.003	733.0	10.333
CHEMBL2147	0.766	0.5	0.889	0.611	0.87	0.542	0.804	292.667	16.333	0.027	0.028	0.037	0.009	0.012	0.014	0.003	580.333	2.333
CHEMBL217	0.816	0.138	0.5	0.214	0.702	0.198	0.665	880.667	38.333	0.016	0.015	0.25	0.037	0.031	0.04	0.03	6204.333	2.333
CHEMBL218	0.725	0.433	0.722	0.509	0.88	0.402	0.721	367.0	21.333	0.031	0.041	0.065	0.019	0.038	0.04	0.008	199.0	12.333
CHEMBL222	0.715	0.194	0.333	0.243	0.683	0.111	0.569	256.667	11.667	0.011	0.03	0.111	0.051	0.014	0.028	0.011	281.333	0.333
CHEMBL224	0.611	0.143	0.583	0.229	0.552	0.141	0.593	389.0	26.333	0.054	0.015	0.271	0.039	0.044	0.021	0.009	403.0	14.333
CHEMBL228	0.757	0.108	0.444	0.165	0.673	0.14	0.624	607.0	27.667	0.017	0.009	0.259	0.021	0.081	0.024	0.023	2404.0	1.333
CHEMBL2326	0.573	0.0	0.0	0.0	0.323	-0.254	0.324	396.667	15.333	0.038	0.0	0.0	0.0	0.076	0.017	0.012	652.333	2.333
CHEMBL233	0.742	0.361	0.411	0.383	0.666	0.223	0.616	406.0	18.333	0.004	0.016	0.007	0.012	0.003	0.02	0.004	967.0	14.333
CHEMBL234	0.649	0.209	0.444	0.263	0.647	0.12	0.561	717.667	40.667	0.017	0.022	0.072	0.037	0.026	0.037	0.018	1961.333	1.333
CHEMBL236	0.831	0.436	0.724	0.535	0.802	0.459	0.784	683.667	32.0	0.018	0.005	0.057	0.007	0.032	0.038	0.022	5260.333	27.0
CHEMBL237	0.848	0.524	0.648	0.556	0.873	0.483	0.776	676.333	32.333	0.006	0.002	0.094	0.009	0.011	0.029	0.025	608.333	174.333
CHEMBL244	0.854	0.338	0.513	0.304	0.815	0.313	0.692	2096.0	146.667	0.027	0.221	0.25	0.114	0.013	0.119	0.032	12601.0	556.333
CHEMBL251	0.785	0.35	0.46	0.389	0.673	0.272	0.641	689.333	27.667	0.012	0.112	0.159	0.12	0.034	0.145	0.042	1962.333	30.333
CHEMBL253	0.804	0.222	0.292	0.25	0.655	0.141	0.584	717.333	58.333	0.009	0.044	0.099	0.062	0.017	0.066	0.017	786.333	12.333
CHEMBL255	0.546	0.082	0.417	0.127	0.454	-0.029	0.491	536.667	16.0	0.137	0.005	0.271	0.013	0.005	0.005	0.001	508.333	9.0
CHEMBL256	0.506	0.073	0.261	0.114	0.476	-0.132	0.4	499.667	29.0	0.004	0.001	0.005	0.001	0.021	0.007	0.004	174.333	3.0
CHEMBL261	0.796	0.168	0.347	0.185	0.696	0.127	0.592	1322.667	81.0	0.008	0.005	0.043	0.001	0.003	0.002	0.004	161.333	48.0
CHEMBL264	0.716	0.219	0.875	0.345	0.771	0.342	0.789	1333.333	64.0	0.008	0.002	0.047	0.004	0.012	0.008	0.007	2074.333	49.0
CHEMBL267	0.683	0.162	0.389	0.217	0.556	0.073	0.559	308.0	14.667	0.014	0.028	0.12	0.041	0.004	0.023	0.008	333.0	6.333
CHEMBL2820	0.729	0.628	0.556	0.485	0.691	0.396	0.654	286.333	16.0	0.03	0.107	0.148	0.006	0.036	0.014	0.0	26.333	3.0
CHEMBL284	0.749	0.167	0.311	0.213	0.658	0.086	0.56	569.333	25.333	0.003	0.021	0.09	0.035	0.016	0.034	0.012	120.333	9.333
CHEMBL3242	0.802	0.105	0.328	0.158	0.734	0.097	0.578	1119.333	60.333	0.0	0.003	0.006	0.005	0.003	0.005	0.002	542.333	10.333
CHEMBL335	0.636	0.258	0.667	0.365	0.679	0.239	0.645	172.667	12.667	0.022	0.063	0.333	0.114	0.094	0.127	0.032	97.333	4.333
CHEMBL3371	0.674	0.0	0.0	0.0	0.259	-0.083	0.472	193.0	11.667	0.015	0.0	0.0	0.0	0.1	0.021	0.002	387.0	4.333
CHEMBL344	0.658	0.345	0.627	0.423	0.706	0.256	0.645	436.333	26.333	0.025	0.018	0.013	0.005	0.019	0.017	0.004	816.333	14.333
