	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.927	0.125	0.125	0.125	0.684	0.107	0.554	461.333	15.333	0.0	0.047	0.047	0.047	0.002	0.035	0.009	7297.333	10.333
CHEMBL1800	0.669	0.224	0.884	0.347	0.862	0.336	0.767	243.333	10.333	0.052	0.008	0.012	0.012	0.002	0.012	0.006	122.333	0.333
CHEMBL1862	0.323	0.087	0.833	0.157	0.805	0.065	0.553	228.333	11.667	0.082	0.0	0.083	0.001	0.011	0.004	0.002	162.333	4.333
CHEMBL1902	0.552	0.036	0.389	0.063	0.413	-0.026	0.478	280.0	11.333	0.198	0.001	0.287	0.004	0.007	0.002	0.001	372.0	0.333
CHEMBL2034	0.754	0.161	0.69	0.26	0.612	0.246	0.722	327.667	19.0	0.014	0.001	0.022	0.002	0.011	0.005	0.004	302.333	12.0
CHEMBL204	0.934	0.549	0.838	0.662	0.951	0.645	0.889	1310.667	89.0	0.001	0.01	0.004	0.008	0.0	0.009	0.002	1457.333	727.0
CHEMBL205	0.79	0.207	0.612	0.295	0.804	0.264	0.708	1313.333	90.667	0.008	0.009	0.013	0.006	0.001	0.003	0.0	3504.333	17.333
CHEMBL214	0.76	0.281	0.982	0.434	0.928	0.447	0.86	445.0	25.667	0.003	0.005	0.001	0.007	0.001	0.007	0.002	733.0	10.333
CHEMBL2147	0.743	0.24	0.949	0.38	0.91	0.397	0.837	292.667	16.333	0.01	0.003	0.008	0.003	0.001	0.003	0.002	580.333	2.333
CHEMBL217	0.812	0.122	0.481	0.195	0.672	0.178	0.657	880.667	38.333	0.013	0.011	0.183	0.029	0.023	0.027	0.019	6204.333	2.333
CHEMBL218	0.751	0.206	0.718	0.313	0.834	0.287	0.736	367.0	21.333	0.021	0.004	0.047	0.007	0.006	0.015	0.011	199.0	12.333
CHEMBL222	0.795	0.093	0.494	0.156	0.709	0.155	0.652	256.667	11.667	0.02	0.006	0.197	0.018	0.042	0.019	0.018	281.333	0.333
CHEMBL224	0.686	0.111	0.547	0.185	0.66	0.145	0.62	389.0	26.333	0.042	0.009	0.225	0.026	0.011	0.016	0.011	403.0	14.333
CHEMBL228	0.816	0.068	0.545	0.119	0.76	0.151	0.688	607.0	27.667	0.02	0.004	0.256	0.012	0.036	0.017	0.029	2404.0	1.333
CHEMBL2326	0.797	0.044	0.171	0.069	0.499	0.003	0.496	396.667	15.333	0.009	0.001	0.002	0.001	0.0	0.003	0.003	652.333	2.333
CHEMBL233	0.784	0.209	0.537	0.294	0.697	0.229	0.673	406.0	18.333	0.0	0.002	0.024	0.001	0.004	0.002	0.004	967.0	14.333
CHEMBL234	0.743	0.151	0.744	0.247	0.758	0.251	0.744	717.667	40.667	0.008	0.003	0.059	0.007	0.03	0.012	0.011	1961.333	1.333
CHEMBL236	0.876	0.33	0.806	0.467	0.882	0.463	0.844	683.667	32.0	0.002	0.001	0.001	0.001	0.002	0.001	0.001	5260.333	27.0
CHEMBL237	0.878	0.353	0.713	0.449	0.917	0.432	0.806	676.333	32.333	0.0	0.009	0.062	0.002	0.001	0.002	0.013	608.333	174.333
CHEMBL244	0.871	0.364	0.634	0.415	0.805	0.404	0.761	2096.0	146.667	0.01	0.045	0.065	0.018	0.013	0.014	0.005	12601.0	556.333
CHEMBL251	0.82	0.254	0.565	0.341	0.779	0.291	0.704	689.333	27.667	0.004	0.003	0.036	0.004	0.006	0.004	0.004	1962.333	30.333
CHEMBL253	0.791	0.234	0.566	0.325	0.769	0.263	0.69	717.333	58.333	0.003	0.002	0.072	0.009	0.007	0.015	0.011	786.333	12.333
CHEMBL255	0.588	0.078	0.452	0.106	0.607	0.043	0.521	536.667	16.0	0.222	0.006	0.228	0.006	0.014	0.009	0.004	508.333	9.0
CHEMBL256	0.649	0.122	0.555	0.2	0.703	0.12	0.606	499.667	29.0	0.003	0.0	0.02	0.0	0.001	0.001	0.001	174.333	3.0
CHEMBL261	0.827	0.231	0.554	0.312	0.756	0.273	0.702	1322.667	81.0	0.002	0.001	0.048	0.001	0.002	0.003	0.006	161.333	48.0
CHEMBL264	0.728	0.236	0.854	0.362	0.823	0.351	0.787	1333.333	64.0	0.021	0.01	0.006	0.017	0.01	0.018	0.008	2074.333	49.0
CHEMBL267	0.679	0.065	0.478	0.107	0.655	0.072	0.585	308.0	14.667	0.021	0.001	0.078	0.002	0.002	0.002	0.004	333.0	6.333
