	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.853	0.667	0.167	0.267	0.642	0.3	0.583	461.333	15.333	0.005	0.333	0.021	0.053	0.041	0.068	0.005	7297.333	10.333
CHEMBL1800	0.855	0.722	0.667	0.679	0.919	0.599	0.79	243.333	10.333	0.003	0.065	0.0	0.013	0.001	0.026	0.002	122.333	0.333
CHEMBL1862	0.695	0.435	0.778	0.546	0.757	0.4	0.722	228.333	11.667	0.051	0.098	0.148	0.116	0.098	0.234	0.076	162.333	4.333
CHEMBL1902	0.671	0.0	0.0	0.0	0.398	-0.176	0.411	280.0	11.333	0.052	0.0	0.0	0.0	0.003	0.039	0.015	372.0	0.333
CHEMBL2034	0.861	0.421	0.75	0.517	0.798	0.489	0.81	327.667	19.0	0.002	0.007	0.188	0.041	0.029	0.055	0.034	302.333	12.0
CHEMBL204	0.905	0.433	0.53	0.477	0.835	0.424	0.731	1310.667	89.0	0.008	0.169	0.253	0.205	0.041	0.219	0.066	1457.333	727.0
CHEMBL205	0.82	0.234	0.6	0.324	0.765	0.292	0.718	1313.333	90.667	0.01	0.005	0.04	0.006	0.022	0.012	0.009	3504.333	17.333
CHEMBL214	0.831	0.272	0.556	0.363	0.845	0.312	0.712	445.0	25.667	0.002	0.056	0.259	0.101	0.018	0.114	0.042	733.0	10.333
CHEMBL2147	0.952	0.917	0.889	0.886	0.937	0.869	0.931	292.667	16.333	0.002	0.021	0.037	0.011	0.004	0.013	0.008	580.333	2.333
CHEMBL217	0.827	0.202	0.667	0.307	0.833	0.3	0.754	880.667	38.333	0.012	0.036	0.333	0.078	0.027	0.122	0.07	6204.333	2.333
CHEMBL218	0.856	0.5	0.333	0.4	0.549	0.366	0.654	367.0	21.333	0.008	0.25	0.111	0.16	0.066	0.162	0.028	199.0	12.333
CHEMBL222	0.799	0.333	0.111	0.167	0.69	0.127	0.539	256.667	11.667	0.009	0.333	0.037	0.083	0.024	0.134	0.013	281.333	0.333
CHEMBL224	0.767	0.208	0.5	0.293	0.697	0.215	0.66	389.0	26.333	0.0	0.036	0.25	0.076	0.037	0.096	0.038	403.0	14.333
CHEMBL228	0.813	0.226	0.444	0.295	0.542	0.215	0.653	607.0	27.667	0.011	0.046	0.259	0.09	0.111	0.158	0.077	2404.0	1.333
CHEMBL2326	0.72	0.0	0.0	0.0	0.287	-0.16	0.408	396.667	15.333	0.011	0.0	0.0	0.0	0.008	0.005	0.003	652.333	2.333
CHEMBL233	0.749	0.317	0.272	0.292	0.487	0.141	0.566	406.0	18.333	0.001	0.026	0.014	0.019	0.003	0.023	0.005	967.0	14.333
CHEMBL234	0.825	0.361	0.556	0.416	0.694	0.342	0.711	717.667	40.667	0.001	0.016	0.072	0.027	0.044	0.025	0.013	1961.333	1.333
CHEMBL236	0.854	0.533	0.61	0.5	0.754	0.465	0.753	683.667	32.0	0.006	0.031	0.115	0.0	0.031	0.004	0.015	5260.333	27.0
CHEMBL237	0.892	0.7	0.556	0.607	0.852	0.551	0.747	676.333	32.333	0.008	0.07	0.072	0.069	0.008	0.074	0.017	608.333	174.333
CHEMBL244	0.922	0.242	0.205	0.222	0.844	0.182	0.582	2096.0	146.667	0.001	0.176	0.126	0.148	0.006	0.156	0.034	12601.0	556.333
CHEMBL251	0.795	0.296	0.349	0.319	0.593	0.201	0.603	689.333	27.667	0.002	0.078	0.128	0.098	0.054	0.107	0.034	1962.333	30.333
CHEMBL253	0.854	0.5	0.167	0.244	0.613	0.222	0.567	717.333	58.333	0.008	0.25	0.021	0.046	0.002	0.093	0.009	786.333	12.333
CHEMBL255	0.841	0.222	0.167	0.19	0.564	0.111	0.55	536.667	16.0	0.006	0.148	0.083	0.109	0.011	0.135	0.026	508.333	9.0
CHEMBL256	0.74	0.183	0.383	0.232	0.628	0.124	0.584	499.667	29.0	0.013	0.029	0.141	0.041	0.007	0.049	0.017	174.333	3.0
CHEMBL261	0.837	0.233	0.206	0.212	0.654	0.134	0.548	1322.667	81.0	0.004	0.063	0.033	0.04	0.016	0.053	0.016	161.333	48.0
CHEMBL264	0.875	0.45	0.764	0.535	0.88	0.517	0.824	1333.333	64.0	0.007	0.023	0.042	0.008	0.021	0.004	0.003	2074.333	49.0
CHEMBL267	0.748	0.159	0.194	0.162	0.48	0.027	0.519	308.0	14.667	0.003	0.028	0.03	0.021	0.005	0.012	0.003	333.0	6.333
CHEMBL2820	0.743	0.111	0.067	0.083	0.452	0.013	0.506	286.333	16.0	0.007	0.037	0.013	0.021	0.163	0.001	0.0	26.333	3.0
CHEMBL284	0.87	0.511	0.511	0.511	0.727	0.436	0.718	569.333	25.333	0.007	0.073	0.073	0.073	0.052	0.102	0.026	120.333	9.333
CHEMBL3242	0.918	0.312	0.439	0.361	0.709	0.326	0.692	1119.333	60.333	0.001	0.006	0.045	0.016	0.051	0.019	0.01	542.333	10.333
CHEMBL335	0.614	0.25	0.444	0.267	0.37	0.115	0.561	172.667	12.667	0.034	0.062	0.259	0.053	0.152	0.051	0.009	97.333	4.333
CHEMBL3371	0.711	0.0	0.0	0.0	0.148	0.0	0.5	193.0	11.667	0.006	0.0	0.0	0.0	0.066	0.0	0.0	387.0	4.333
CHEMBL344	0.791	0.636	0.655	0.516	0.71	0.483	0.739	436.333	26.333	0.009	0.11	0.143	0.013	0.002	0.001	0.01	816.333	14.333
CHEMBL3594	0.811	0.144	0.422	0.213	0.675	0.159	0.627	1347.333	86.667	0.009	0.017	0.135	0.035	0.023	0.03	0.017	2556.333	270.333
CHEMBL3729	0.761	0.167	0.333	0.222	0.724	0.192	0.611	255.667	15.667	0.005	0.083	0.333	0.148	0.035	0.111	0.037	24.333	2.333
