	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.939	0.444	0.202	0.278	0.713	0.281	461.333	15.333	0.0	0.176	0.034	0.065	0.025	0.07	7297.333	10.333
CHEMBL1800	0.849	0.371	0.847	0.505	0.889	0.494	243.333	10.333	0.006	0.016	0.004	0.012	0.0	0.01	122.333	0.333
CHEMBL1862	0.606	0.14	0.8	0.236	0.803	0.216	228.333	11.667	0.027	0.002	0.07	0.005	0.001	0.009	162.333	4.333
CHEMBL1902	0.76	0.012	0.056	0.02	0.417	-0.079	280.0	11.333	0.03	0.0	0.009	0.001	0.001	0.005	372.0	0.333
CHEMBL2034	0.89	0.257	0.5	0.329	0.702	0.303	327.667	19.0	0.002	0.017	0.128	0.031	0.054	0.035	302.333	12.0
CHEMBL204	0.951	0.667	0.799	0.719	0.957	0.7	1310.667	89.0	0.001	0.015	0.038	0.013	0.001	0.019	1457.333	727.0
CHEMBL205	0.855	0.283	0.666	0.388	0.82	0.366	1313.333	90.667	0.001	0.01	0.001	0.009	0.0	0.006	3504.333	17.333
CHEMBL214	0.823	0.327	0.618	0.396	0.871	0.356	445.0	25.667	0.01	0.013	0.089	0.007	0.001	0.007	733.0	10.333
CHEMBL2147	0.931	0.549	0.915	0.68	0.986	0.675	292.667	16.333	0.001	0.012	0.006	0.007	0.0	0.007	580.333	2.333
CHEMBL217	0.815	0.23	0.671	0.339	0.812	0.316	880.667	38.333	0.004	0.001	0.019	0.0	0.003	0.001	6204.333	2.333
CHEMBL218	0.89	0.291	0.344	0.303	0.709	0.253	367.0	21.333	0.001	0.001	0.022	0.006	0.017	0.006	199.0	12.333
CHEMBL222	0.9	0.304	0.643	0.412	0.85	0.396	256.667	11.667	0.0	0.001	0.015	0.002	0.01	0.004	281.333	0.333
CHEMBL224	0.753	0.204	0.527	0.289	0.784	0.21	389.0	26.333	0.004	0.006	0.025	0.01	0.004	0.015	403.0	14.333
CHEMBL228	0.839	0.122	0.571	0.2	0.759	0.207	607.0	27.667	0.001	0.002	0.06	0.005	0.026	0.014	2404.0	1.333
CHEMBL2326	0.822	0.082	0.366	0.133	0.695	0.103	396.667	15.333	0.002	0.001	0.019	0.002	0.008	0.006	652.333	2.333
