	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.814	0.0	0.0	0.0	0.684	0.0	0.5	461.333	15.333	0.012	0.0	0.0	0.0	0.018	0.0	0.0	7297.333	10.333
CHEMBL1800	0.924	1.0	0.667	0.8	0.906	0.779	0.833	243.333	10.333	0.0	0.0	0.0	0.0	0.014	0.0	0.0	122.333	0.333
CHEMBL1862	0.787	0.0	0.0	0.0	0.61	0.0	0.5	228.333	11.667	0.001	0.0	0.0	0.0	0.138	0.0	0.0	162.333	4.333
CHEMBL1902	0.81	0.0	0.0	0.0	0.393	0.0	0.5	280.0	11.333	0.004	0.0	0.0	0.0	0.02	0.0	0.0	372.0	0.333
CHEMBL2034	0.87	0.0	0.0	0.0	0.803	-0.03	0.491	327.667	19.0	0.003	0.0	0.0	0.0	0.029	0.003	0.0	302.333	12.0
CHEMBL204	0.92	0.267	0.121	0.167	0.816	0.16	0.557	1310.667	89.0	0.003	0.213	0.044	0.083	0.048	0.077	0.01	1457.333	727.0
CHEMBL205	0.935	0.515	0.467	0.488	0.789	0.455	0.718	1313.333	90.667	0.0	0.006	0.013	0.009	0.025	0.011	0.004	3504.333	17.333
CHEMBL214	0.873	0.0	0.0	0.0	0.868	0.0	0.5	445.0	25.667	0.001	0.0	0.0	0.0	0.007	0.0	0.0	733.0	10.333
CHEMBL2147	0.843	0.333	0.111	0.167	0.944	0.178	0.556	292.667	16.333	0.004	0.333	0.037	0.083	0.009	0.095	0.009	580.333	2.333
CHEMBL217	0.923	0.0	0.0	0.0	0.848	-0.014	0.496	880.667	38.333	0.001	0.0	0.0	0.0	0.008	0.001	0.0	6204.333	2.333
CHEMBL218	0.863	0.667	0.222	0.333	0.983	0.363	0.611	367.0	21.333	0.003	0.333	0.037	0.083	0.001	0.099	0.009	199.0	12.333
CHEMBL222	0.805	0.0	0.0	0.0	0.775	0.0	0.5	256.667	11.667	0.001	0.0	0.0	0.0	0.051	0.0	0.0	281.333	0.333
CHEMBL224	0.854	0.0	0.0	0.0	0.731	0.0	0.5	389.0	26.333	0.001	0.0	0.0	0.0	0.002	0.0	0.0	403.0	14.333
CHEMBL228	0.904	0.0	0.0	0.0	0.68	0.0	0.5	607.0	27.667	0.001	0.0	0.0	0.0	0.147	0.0	0.0	2404.0	1.333
CHEMBL2326	0.882	0.0	0.0	0.0	0.231	0.0	0.5	396.667	15.333	0.0	0.0	0.0	0.0	0.065	0.0	0.0	652.333	2.333
CHEMBL233	0.818	0.389	0.194	0.259	0.739	0.22	0.582	406.0	18.333	0.002	0.12	0.03	0.053	0.013	0.042	0.006	967.0	14.333
CHEMBL234	0.858	0.0	0.0	0.0	0.869	-0.012	0.496	717.667	40.667	0.003	0.0	0.0	0.0	0.004	0.0	0.0	1961.333	1.333
CHEMBL236	0.871	0.0	0.0	0.0	0.859	0.0	0.5	683.667	32.0	0.007	0.0	0.0	0.0	0.003	0.0	0.0	5260.333	27.0
CHEMBL237	0.838	0.0	0.0	0.0	0.863	0.0	0.5	676.333	32.333	0.009	0.0	0.0	0.0	0.007	0.0	0.0	608.333	174.333
CHEMBL244	0.95	0.524	0.244	0.303	0.852	0.324	0.618	2096.0	146.667	0.0	0.252	0.063	0.075	0.015	0.079	0.014	12601.0	556.333
CHEMBL251	0.842	0.0	0.0	0.0	0.745	-0.019	0.494	689.333	27.667	0.002	0.0	0.0	0.0	0.02	0.001	0.0	1962.333	30.333
CHEMBL253	0.874	0.444	0.25	0.312	0.811	0.297	0.617	717.333	58.333	0.005	0.148	0.062	0.084	0.029	0.078	0.015	786.333	12.333
CHEMBL255	0.88	0.167	0.083	0.111	0.527	0.1	0.536	536.667	16.0	0.0	0.083	0.021	0.037	0.047	0.03	0.004	508.333	9.0
CHEMBL256	0.88	0.0	0.0	0.0	0.704	0.0	0.5	499.667	29.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	174.333	3.0
CHEMBL261	0.933	0.667	0.132	0.215	0.887	0.278	0.566	1322.667	81.0	0.0	0.333	0.021	0.05	0.004	0.068	0.005	161.333	48.0
CHEMBL264	0.905	0.167	0.042	0.067	0.831	0.053	0.513	1333.333	64.0	0.0	0.083	0.005	0.013	0.028	0.021	0.002	2074.333	49.0
CHEMBL267	0.85	0.0	0.0	0.0	0.449	0.0	0.5	308.0	14.667	0.005	0.0	0.0	0.0	0.009	0.0	0.0	333.0	6.333
CHEMBL2820	0.783	0.333	0.111	0.167	0.8	0.179	0.556	286.333	16.0	0.007	0.333	0.037	0.083	0.053	0.096	0.009	26.333	3.0
CHEMBL284	0.872	0.0	0.0	0.0	0.709	0.0	0.5	569.333	25.333	0.0	0.0	0.0	0.0	0.017	0.0	0.0	120.333	9.333
CHEMBL3242	0.939	0.0	0.0	0.0	0.799	-0.01	0.497	1119.333	60.333	0.0	0.0	0.0	0.0	0.019	0.0	0.0	542.333	10.333
CHEMBL335	0.771	0.0	0.0	0.0	0.955	0.0	0.5	172.667	12.667	0.001	0.0	0.0	0.0	0.006	0.0	0.0	97.333	4.333
