	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.936	0.333	0.048	0.083	0.684	0.122	461.333	15.333	0.0	0.333	0.007	0.021	0.003	0.045	7297.333	10.333
CHEMBL1800	0.987	1.0	0.847	0.917	0.949	0.914	243.333	10.333	0.0	0.0	0.004	0.001	0.002	0.001	122.333	0.333
CHEMBL1862	0.914	0.083	0.056	0.067	0.698	0.044	228.333	11.667	0.0	0.021	0.009	0.013	0.003	0.012	162.333	4.333
CHEMBL1902	0.925	0.0	0.0	0.0	0.41	-0.018	280.0	11.333	0.0	0.0	0.0	0.0	0.014	0.0	372.0	0.333
CHEMBL2034	0.938	0.289	0.167	0.209	0.771	0.191	327.667	19.0	0.001	0.117	0.053	0.076	0.016	0.077	302.333	12.0
CHEMBL204	0.961	0.861	0.594	0.695	0.96	0.693	1310.667	89.0	0.001	0.002	0.033	0.019	0.001	0.018	1457.333	727.0
CHEMBL205	0.929	0.471	0.296	0.357	0.844	0.335	1313.333	90.667	0.0	0.003	0.004	0.002	0.006	0.001	3504.333	17.333
CHEMBL214	0.911	0.559	0.219	0.298	0.914	0.302	445.0	25.667	0.0	0.019	0.016	0.02	0.0	0.015	733.0	10.333
CHEMBL2147	0.951	0.963	0.399	0.533	0.973	0.584	292.667	16.333	0.0	0.004	0.055	0.041	0.001	0.022	580.333	2.333
CHEMBL217	0.932	0.4	0.066	0.113	0.855	0.151	880.667	38.333	0.0	0.16	0.004	0.012	0.003	0.024	6204.333	2.333
CHEMBL218	0.935	0.752	0.299	0.385	0.939	0.423	367.0	21.333	0.0	0.076	0.02	0.006	0.001	0.0	199.0	12.333
CHEMBL222	0.942	0.333	0.048	0.083	0.816	0.109	256.667	11.667	0.0	0.333	0.007	0.021	0.004	0.051	281.333	0.333
CHEMBL224	0.913	0.444	0.142	0.215	0.814	0.231	389.0	26.333	0.0	0.259	0.022	0.052	0.002	0.071	403.0	14.333
CHEMBL228	0.97	0.786	0.252	0.344	0.755	0.404	607.0	27.667	0.0	0.066	0.065	0.078	0.064	0.058	2404.0	1.333
CHEMBL2326	0.965	0.556	0.13	0.206	0.706	0.257	396.667	15.333	0.0	0.259	0.013	0.033	0.039	0.05	652.333	2.333
CHEMBL233	0.912	0.542	0.257	0.321	0.792	0.318	406.0	18.333	0.0	0.036	0.023	0.015	0.0	0.011	967.0	14.333
CHEMBL234	0.957	0.751	0.382	0.486	0.879	0.506	717.667	40.667	0.0	0.019	0.032	0.033	0.002	0.024	1961.333	1.333
CHEMBL236	0.937	0.631	0.224	0.328	0.907	0.348	683.667	32.0	0.001	0.021	0.001	0.001	0.0	0.003	5260.333	27.0
CHEMBL237	0.935	0.625	0.253	0.353	0.901	0.384	676.333	32.333	0.002	0.297	0.056	0.1	0.006	0.114	608.333	174.333
CHEMBL244	0.967	0.89	0.533	0.657	0.916	0.67	2096.0	146.667	0.0	0.005	0.042	0.03	0.009	0.025	12601.0	556.333
CHEMBL251	0.928	0.661	0.248	0.356	0.872	0.373	689.333	27.667	0.0	0.001	0.009	0.011	0.002	0.007	1962.333	30.333
CHEMBL253	0.93	0.674	0.319	0.423	0.89	0.43	717.333	58.333	0.001	0.135	0.062	0.102	0.004	0.104	786.333	12.333
CHEMBL255	0.968	0.85	0.299	0.418	0.712	0.476	536.667	16.0	0.0	0.017	0.031	0.03	0.009	0.017	508.333	9.0
CHEMBL256	0.923	0.593	0.209	0.298	0.856	0.313	499.667	29.0	0.0	0.041	0.007	0.01	0.009	0.01	174.333	3.0
CHEMBL261	0.929	0.541	0.269	0.356	0.885	0.348	1322.667	81.0	0.0	0.001	0.004	0.004	0.001	0.003	161.333	48.0
CHEMBL264	0.928	0.647	0.248	0.357	0.882	0.37	1333.333	64.0	0.0	0.002	0.001	0.002	0.006	0.002	2074.333	49.0
CHEMBL267	0.958	0.633	0.211	0.277	0.66	0.318	308.0	14.667	0.0	0.103	0.014	0.008	0.041	0.0	333.0	6.333
CHEMBL2820	0.928	0.679	0.403	0.505	0.886	0.488	286.333	16.0	0.0	0.009	0.001	0.003	0.022	0.004	26.333	3.0
CHEMBL284	0.956	0.917	0.18	0.296	0.932	0.39	569.333	25.333	0.0	0.021	0.002	0.003	0.0	0.001	120.333	9.333
CHEMBL3242	0.946	0.771	0.169	0.276	0.888	0.343	1119.333	60.333	0.0	0.08	0.001	0.003	0.001	0.011	542.333	10.333
CHEMBL335	0.963	1.0	0.518	0.668	0.962	0.698	172.667	12.667	0.001	0.0	0.041	0.028	0.0	0.02	97.333	4.333
CHEMBL3371	0.913	0.417	0.186	0.256	0.621	0.245	193.0	11.667	0.0	0.146	0.035	0.063	0.082	0.071	387.0	4.333
CHEMBL344	0.903	0.525	0.244	0.318	0.809	0.305	436.333	26.333	0.0	0.004	0.013	0.008	0.003	0.003	816.333	14.333
CHEMBL3594	0.947	0.779	0.367	0.488	0.849	0.507	1347.333	86.667	0.0	0.004	0.019	0.018	0.005	0.013	2556.333	270.333
CHEMBL3729	0.921	0.667	0.133	0.212	0.878	0.273	255.667	15.667	0.0	0.333	0.025	0.057	0.01	0.071	24.333	2.333
CHEMBL3837	0.961	0.896	0.463	0.608	0.944	0.627	734.667	37.667	0.0	0.01	0.013	0.016	0.001	0.014	3608.333	32.333
CHEMBL3880	0.929	0.574	0.125	0.198	0.594	0.237	523.333	20.0	0.0	0.007	0.005	0.008	0.001	0.004	320.333	13.0
CHEMBL3991	0.937	0.884	0.309	0.446	0.931	0.493	522.0	32.333	0.0	0.01	0.015	0.014	0.001	0.007	27.0	6.333
