	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125
accuracy	0.9090909090909091	0.84	0.6923076923076923	0.9285714285714286	0.9333333333333333	0.9090909090909091	0.7058823529411765	0.6923076923076923	0.7692307692307693	0.7647058823529411	0.7857142857142857	0.88	0.9024390243902439	0.9047619047619048	0.9310344827586207	0.9421487603305785	0.9	0.967391304347826	0.9625	0.9512195121951219	0.9	0.8666666666666667	0.9032258064516129	0.8484848484848485	0.8928571428571429	0.8461538461538461	0.8666666666666667	0.9571428571428572	0.9142857142857143	0.7551020408163265	0.8695652173913043	0.8	0.875	0.8235294117647058	0.8235294117647058	0.7692307692307693	0.8787878787878788	0.9047619047619048	0.8260869565217391	0.8787878787878788	0.9032258064516129	0.9761904761904762	0.8928571428571429	0.8461538461538461	0.8695652173913043	0.7391304347826086	0.8095238095238095	0.8333333333333334	0.8979591836734694	0.8461538461538461	0.8095238095238095	0.92	0.7419354838709677	0.8809523809523809	0.896551724137931	0.7352941176470589	0.8958333333333334	0.9931506849315068	0.9696969696969697	0.9420289855072463	0.90625	0.7878787878787878	0.8636363636363636	0.9565217391304348	0.8372093023255814	0.8292682926829268	0.8717948717948718	0.84	0.8888888888888888	0.7692307692307693	0.8837209302325582	0.8709677419354839	0.8977272727272727	0.9411764705882353	0.9125	0.8983050847457628	0.9090909090909091	0.9101123595505618	0.8620689655172413	0.8888888888888888	0.8235294117647058	0.7647058823529411	0.875	0.8461538461538461	0.8695652173913043	0.8888888888888888	0.8571428571428571	0.9444444444444444	0.9649122807017544	0.956989247311828	0.7272727272727273	0.7142857142857143	0.8	0.6666666666666666	0.8	0.6666666666666666	0.8	0.8636363636363636	0.7647058823529411	0.9012345679012346	0.9605263157894737	0.8461538461538461	0.5	0.8333333333333334	0.7	0.9047619047619048	0.8787878787878788	0.925	0.8260869565217391	0.9210526315789473	0.9069767441860465	0.8928571428571429	0.8518518518518519	0.8333333333333334	0.6923076923076923	0.8	0.7777777777777778	0.625	0.8333333333333334	0.6875	0.8947368421052632	0.7777777777777778	1.0	0.8571428571428571	0.8636363636363636	0.13043478260869565
precision	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.8571428571428571	0.0	1.0	0.6666666666666666	0.36363636363636365	0.0	0.0	0.0	0.0	0.6666666666666666	1.0	0.0	0.0	0.16666666666666666	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.4	0.45454545454545453	0.4	0.6666666666666666	0.5	0.3333333333333333	1.0	0.0	1.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.6666666666666666	0.0	0.0	0.5	0.0	0.0	0.5	0.5	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.5	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.3333333333333333	0.25	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.13043478260869565
recall	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.2222222222222222	0.5454545454545454	0.0	0.4	0.4	0.4	0.0	0.0	0.0	0.0	0.6666666666666666	0.3333333333333333	0.0	0.0	0.5	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.4	0.7142857142857143	0.5	0.5	0.2222222222222222	0.25	0.875	0.0	0.38461538461538464	0.0	0.0	0.0	0.5	0.0	0.25	0.0	0.0	0.25	0.0	0.0	0.5	0.1111111111111111	0.25	0.0	0.2	0.16666666666666666	0.125	0.0	0.0	0.25	0.2	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.2	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.14285714285714285	0.16666666666666666	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	1.0	0.0	0.0	1.0
f1	0.0	0.0	0.0	0.8	0.8	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.3636363636363636	0.6666666666666665	0.0	0.5714285714285715	0.5	0.380952380952381	0.0	0.0	0.0	0.0	0.6666666666666666	0.5	0.0	0.0	0.25	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.4000000000000001	0.5555555555555556	0.4444444444444445	0.5714285714285715	0.30769230769230765	0.28571428571428575	0.9333333333333333	0.0	0.5555555555555556	0.0	0.0	0.0	0.5714285714285715	0.0	0.36363636363636365	0.0	0.0	0.3333333333333333	0.0	0.0	0.5	0.1818181818181818	0.28571428571428575	0.0	0.25	0.2222222222222222	0.2	0.0	0.0	0.4	0.33333333333333337	0.5	0.5	0.0	0.0	0.0	0.33333333333333337	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.2	0.2	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.5714285714285715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.5	0.5	1.0	0.0	0.0	0.23076923076923078
auc_roc	0.8444444444444444	0.8095238095238095	0.1111111111111111	0.8484848484848484	0.9722222222222222	1.0	0.26190476190476186	0.7666666666666666	0.8666666666666667	0.6730769230769231	0.4545454545454545	0.6212121212121211	0.7905405405405406	0.9814814814814814	0.9487179487179487	0.998015873015873	0.8460111317254173	0.09737827715355803	0.8960000000000001	0.48831168831168836	0.7233333333333334	0.7596153846153846	0.9523809523809524	0.8214285714285714	0.9600000000000001	0.8	1.0	0.7562189054726368	0.8958333333333334	0.6944444444444445	0.9666666666666667	0.890625	0.9743589743589745	1.0	0.738095238095238	0.7	0.8620689655172414	0.9444444444444444	0.4736842105263158	0.3448275862068966	0.5476190476190476	1.0	0.5733333333333333	0.4057971014492754	0.35	0.6666666666666667	0.7941176470588235	0.45555555555555555	0.8695652173913042	0.8636363636363635	0.7794117647058822	0.7142857142857143	0.8869047619047619	0.9342105263157895	0.86	0.84	0.9659090909090909	0.9972826086956522	0.6979166666666667	0.8609230769230769	0.1839080459770115	0.8956043956043956	0.5789473684210527	0.9192307692307693	0.7222222222222222	0.7272727272727273	0.3588235294117647	0.5909090909090908	0.59375	0.6811594202898552	0.7947368421052632	0.8055555555555556	0.520393811533052	0.9598765432098765	0.9373776908023483	0.7703703703703704	0.931924882629108	0.8858024691358025	0.47435897435897434	0.41666666666666663	0.5961538461538461	0.9333333333333333	0.9230769230769231	0.3333333333333333	0.7	0.5416666666666665	0.5866666666666667	0.5492537313432836	0.6975308641975309	0.6910112359550562	0.9166666666666666	0.6363636363636364	1.0	0.5555555555555556	0.7222222222222222	0.5555555555555556	0.867816091954023	0.7222222222222222	0.671957671957672	0.9155555555555555	0.4977168949771689	0.7827160493827161	0.6666666666666667	1.0	0.8095238095238095	0.493421052631579	0.9741379310344828	0.951388888888889	0.555921052631579	0.3523809523809524	0.6217948717948718	0.9866666666666666	0.9130434782608695	0.9555555555555556	0.38888888888888884	0.6388888888888888	1.0	0.5833333333333333	0.8444444444444444	0.34545454545454546	0.9166666666666666	1.0	1.0	0.42592592592592593	0.7543859649122807	0.7166666666666666
matthews_coeff	0.0	0.0	0.0	0.7817359599705717	0.7844645405527361	0.769800358919501	-0.1690308509457033	-0.15811388300841897	0.0	0.0	0.0	0.0	0.0	0.5477225575051662	0.5563486402641867	0.4573295603800236	0.6328562858952912	0.0	0.6201736729460422	0.4932666239462225	0.32713228744060363	0.0	0.0	0.0	0.0	0.5666666666666667	0.5345224838248488	0.0	0.0	0.17686514999083702	0.0	0.0	0.53748384988657	0.0	0.0	0.0	0.0	0.5477225575051662	0.0	0.0	0.0	0.806225774829855	0.0	-0.07223151185146152	0.0	-0.11236664374387369	0.25573907949350594	0.0	-0.05268024431046752	0.0	0.0	0.35714285714285715	0.4057220595560335	0.38165619466295686	0.520847435706514	0.19474579822405907	0.2335496832484569	0.9320434732195827	0.0	0.6012325878048523	0.0	0.0	0.0	0.5553301796153424	0.0	0.3343286575352694	0.0	-0.07537783614444091	0.30012252399939043	-0.13043478260869565	0.0	0.42592592592592593	0.20017001245468477	0.2585727780756872	0.0	0.2065932622669707	0.19185394104698147	0.2174005973421084	-0.06419407387663693	0.0	0.4506939094329987	0.3872983346207417	0.53748384988657	0.5270462766947299	0.0	0.0	0.0	0.434433417644404	0.5669467095138409	0.0	0.0	-0.14484136487558028	0.0	0.0	0.0	0.0	-0.07800764512385157	0.4629100498862757	0.0980552781436411	0.15310636316482226	0.0	0.04823186956096478	-0.3333333333333333	0.0	0.0	0.0	0.0	0.5378561975930828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	-0.2182178902359924	0.0	0.0	0.5443310539518174	0.5	1.0	0.0	0.0	0.0
balanced_accuracy	0.5	0.5	0.5	0.8333333333333333	0.8333333333333333	0.8333333333333333	0.42857142857142855	0.45	0.5	0.5	0.5	0.5	0.5	0.6666666666666666	0.6666666666666666	0.6111111111111112	0.7625231910946196	0.5	0.7	0.6935064935064935	0.6708333333333334	0.5	0.5	0.5	0.5	0.7833333333333333	0.6666666666666666	0.5	0.5	0.6388888888888888	0.5	0.5	0.6666666666666666	0.5	0.5	0.5	0.5	0.6666666666666666	0.5	0.5	0.5	0.8333333333333333	0.5	0.4782608695652174	0.5	0.4722222222222222	0.5955882352941176	0.5	0.4782608695652174	0.5	0.5	0.6785714285714286	0.7321428571428572	0.7105263157894737	0.73	0.5711111111111111	0.6022727272727273	0.9375	0.5	0.6923076923076923	0.5	0.5	0.5	0.7423076923076923	0.5	0.6098484848484849	0.5	0.4772727272727273	0.609375	0.43478260869565216	0.5	0.712962962962963	0.5492264416315049	0.6126543209876543	0.5	0.5814814814814815	0.5692488262910799	0.5563271604938271	0.4807692307692308	0.5	0.625	0.6	0.6666666666666666	0.6666666666666666	0.5	0.5	0.5	0.6	0.6666666666666666	0.5	0.5	0.45454545454545453	0.5	0.5	0.5	0.5	0.4827586206896552	0.625	0.5343915343915344	0.5633333333333334	0.5	0.5191358024691358	0.3333333333333333	0.5	0.5	0.5	0.5	0.7361111111111112	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6666666666666666	0.4166666666666667	0.5	0.5	0.6666666666666666	0.6666666666666666	1.0	0.5	0.5	0.5
#tr	390	438	556	242	233	255	220	222	243	288	294	258	308	341	334	1296	1282	1354	1346	1349	1245	464	414	457	265	309	304	815	968	859	352	369	380	248	246	276	380	412	375	657	605	559	372	395	423	413	433	372	667	749	737	610	755	686	688	693	648	2081	2215	1992	699	641	728	685	732	735	515	560	535	497	488	514	1308	1330	1330	1355	1281	1364	296	299	329	292	282	285	573	557	578	1103	1146	1109	166	168	184	196	172	211	416	469	424	1356	1393	1293	250	259	258	673	793	738	508	543	519	516	525	525	187	182	197	279	253	294	250	247	233	386	377	437
#ac_tr	14	13	19	10	10	11	14	10	11	12	11	11	23	17	17	102	58	107	94	86	92	28	22	27	15	18	16	37	40	38	25	18	21	11	12	12	29	28	22	27	27	29	15	17	14	14	21	20	42	40	40	38	29	29	35	18	44	149	169	122	28	22	33	62	58	55	13	16	19	30	27	30	73	85	85	69	67	56	17	12	15	15	18	15	26	28	22	58	64	59	11	15	12	11	10	14	29	28	22	99	93	68	17	14	16	36	44	33	16	23	21	32	35	30	11	12	12	17	10	11	11	10	17	12	12	13
target	CHEMBL1075323	CHEMBL1075323	CHEMBL1075323	CHEMBL1800	CHEMBL1800	CHEMBL1800	CHEMBL1862	CHEMBL1862	CHEMBL1862	CHEMBL1902	CHEMBL1902	CHEMBL1902	CHEMBL2034	CHEMBL2034	CHEMBL2034	CHEMBL204	CHEMBL204	CHEMBL204	CHEMBL205	CHEMBL205	CHEMBL205	CHEMBL214	CHEMBL214	CHEMBL214	CHEMBL2147	CHEMBL2147	CHEMBL2147	CHEMBL217	CHEMBL217	CHEMBL217	CHEMBL218	CHEMBL218	CHEMBL218	CHEMBL222	CHEMBL222	CHEMBL222	CHEMBL224	CHEMBL224	CHEMBL224	CHEMBL228	CHEMBL228	CHEMBL228	CHEMBL2326	CHEMBL2326	CHEMBL2326	CHEMBL233	CHEMBL233	CHEMBL233	CHEMBL234	CHEMBL234	CHEMBL234	CHEMBL236	CHEMBL236	CHEMBL236	CHEMBL237	CHEMBL237	CHEMBL237	CHEMBL244	CHEMBL244	CHEMBL244	CHEMBL251	CHEMBL251	CHEMBL251	CHEMBL253	CHEMBL253	CHEMBL253	CHEMBL255	CHEMBL255	CHEMBL255	CHEMBL256	CHEMBL256	CHEMBL256	CHEMBL261	CHEMBL261	CHEMBL261	CHEMBL264	CHEMBL264	CHEMBL264	CHEMBL267	CHEMBL267	CHEMBL267	CHEMBL2820	CHEMBL2820	CHEMBL2820	CHEMBL284	CHEMBL284	CHEMBL284	CHEMBL3242	CHEMBL3242	CHEMBL3242	CHEMBL335	CHEMBL335	CHEMBL335	CHEMBL3371	CHEMBL3371	CHEMBL3371	CHEMBL344	CHEMBL344	CHEMBL344	CHEMBL3594	CHEMBL3594	CHEMBL3594	CHEMBL3729	CHEMBL3729	CHEMBL3729	CHEMBL3837	CHEMBL3837	CHEMBL3837	CHEMBL3880	CHEMBL3880	CHEMBL3880	CHEMBL3991	CHEMBL3991	CHEMBL3991	CHEMBL4072	CHEMBL4072	CHEMBL4072	CHEMBL4409	CHEMBL4409	CHEMBL4409	CHEMBL4523	CHEMBL4523	CHEMBL4523	CHEMBL4657	CHEMBL4657	CHEMBL4657
