	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.814	0.0	0.0	0.0	0.588	0.0	0.5	461.333	15.333	0.012	0.0	0.0	0.0	0.171	0.0	0.0	7297.333	10.333
CHEMBL1800	0.924	1.0	0.667	0.8	0.94	0.779	0.833	243.333	10.333	0.0	0.0	0.0	0.0	0.007	0.0	0.0	122.333	0.333
CHEMBL1862	0.722	0.0	0.0	0.0	0.632	-0.109	0.46	228.333	11.667	0.002	0.0	0.0	0.0	0.105	0.009	0.001	162.333	4.333
CHEMBL1902	0.81	0.0	0.0	0.0	0.583	0.0	0.5	280.0	11.333	0.004	0.0	0.0	0.0	0.013	0.0	0.0	372.0	0.333
CHEMBL2034	0.913	0.667	0.222	0.333	0.907	0.368	0.611	327.667	19.0	0.0	0.333	0.037	0.083	0.01	0.102	0.009	302.333	12.0
CHEMBL204	0.937	0.619	0.256	0.343	0.647	0.363	0.625	1310.667	89.0	0.001	0.293	0.075	0.111	0.232	0.107	0.017	1457.333	727.0
CHEMBL205	0.938	0.677	0.4	0.484	0.703	0.48	0.688	1313.333	90.667	0.001	0.101	0.0	0.009	0.042	0.022	0.0	3504.333	17.333
CHEMBL214	0.873	0.0	0.0	0.0	0.844	0.0	0.5	445.0	25.667	0.001	0.0	0.0	0.0	0.01	0.0	0.0	733.0	10.333
CHEMBL2147	0.869	0.556	0.333	0.389	0.92	0.367	0.65	292.667	16.333	0.001	0.259	0.111	0.12	0.011	0.101	0.02	580.333	2.333
CHEMBL217	0.876	0.056	0.167	0.083	0.782	0.059	0.546	880.667	38.333	0.011	0.009	0.083	0.021	0.011	0.01	0.006	6204.333	2.333
CHEMBL218	0.848	0.333	0.111	0.167	0.944	0.179	0.556	367.0	21.333	0.002	0.333	0.037	0.083	0.002	0.096	0.009	199.0	12.333
CHEMBL222	0.805	0.0	0.0	0.0	0.813	0.0	0.5	256.667	11.667	0.001	0.0	0.0	0.0	0.027	0.0	0.0	281.333	0.333
CHEMBL224	0.87	0.333	0.111	0.167	0.76	0.183	0.556	389.0	26.333	0.002	0.333	0.037	0.083	0.063	0.1	0.009	403.0	14.333
CHEMBL228	0.919	0.333	0.222	0.267	0.631	0.269	0.611	607.0	27.667	0.003	0.333	0.148	0.213	0.113	0.217	0.037	2404.0	1.333
CHEMBL2326	0.87	0.0	0.0	0.0	0.443	-0.024	0.493	396.667	15.333	0.001	0.0	0.0	0.0	0.014	0.002	0.0	652.333	2.333
CHEMBL233	0.794	0.167	0.083	0.111	0.639	0.048	0.523	406.0	18.333	0.002	0.083	0.021	0.037	0.029	0.036	0.004	967.0	14.333
CHEMBL234	0.851	0.0	0.0	0.0	0.838	-0.018	0.493	717.667	40.667	0.002	0.0	0.0	0.0	0.003	0.001	0.0	1961.333	1.333
CHEMBL236	0.848	0.418	0.538	0.467	0.845	0.382	0.707	683.667	32.0	0.009	0.001	0.026	0.006	0.013	0.001	0.001	5260.333	27.0
CHEMBL237	0.843	0.5	0.324	0.388	0.889	0.316	0.634	676.333	32.333	0.009	0.028	0.023	0.025	0.005	0.032	0.007	608.333	174.333
CHEMBL244	0.968	0.667	0.42	0.496	0.852	0.511	0.71	2096.0	146.667	0.001	0.333	0.192	0.22	0.022	0.223	0.048	12601.0	556.333
CHEMBL251	0.853	0.0	0.0	0.0	0.553	0.0	0.5	689.333	27.667	0.004	0.0	0.0	0.0	0.127	0.0	0.0	1962.333	30.333
CHEMBL253	0.874	0.444	0.25	0.312	0.79	0.297	0.617	717.333	58.333	0.005	0.148	0.062	0.084	0.013	0.078	0.015	786.333	12.333
CHEMBL255	0.867	0.167	0.083	0.111	0.514	0.075	0.529	536.667	16.0	0.001	0.083	0.021	0.037	0.018	0.039	0.005	508.333	9.0
CHEMBL256	0.841	0.167	0.167	0.167	0.76	0.098	0.549	499.667	29.0	0.004	0.083	0.083	0.083	0.005	0.085	0.021	174.333	3.0
CHEMBL261	0.917	0.278	0.12	0.156	0.806	0.153	0.554	1322.667	81.0	0.0	0.065	0.016	0.021	0.061	0.018	0.003	161.333	48.0
CHEMBL264	0.906	0.389	0.164	0.224	0.863	0.205	0.569	1333.333	64.0	0.0	0.009	0.001	0.001	0.007	0.0	0.0	2074.333	49.0
CHEMBL267	0.858	0.333	0.083	0.133	0.496	0.129	0.535	308.0	14.667	0.001	0.333	0.021	0.053	0.008	0.079	0.006	333.0	6.333
CHEMBL2820	0.829	1.0	0.289	0.444	0.73	0.484	0.644	286.333	16.0	0.003	0.0	0.006	0.009	0.118	0.007	0.001	26.333	3.0
CHEMBL284	0.872	0.0	0.0	0.0	0.609	0.0	0.5	569.333	25.333	0.0	0.0	0.0	0.0	0.007	0.0	0.0	120.333	9.333
CHEMBL3242	0.955	0.667	0.178	0.278	0.646	0.334	0.589	1119.333	60.333	0.0	0.333	0.028	0.065	0.007	0.088	0.007	542.333	10.333
CHEMBL335	0.747	0.0	0.0	0.0	0.851	-0.048	0.485	172.667	12.667	0.002	0.0	0.0	0.0	0.036	0.007	0.001	97.333	4.333
CHEMBL3371	0.711	0.0	0.0	0.0	0.611	0.0	0.5	193.0	11.667	0.006	0.0	0.0	0.0	0.009	0.0	0.0	387.0	4.333
CHEMBL344	0.809	0.444	0.131	0.2	0.754	0.161	0.547	436.333	26.333	0.003	0.259	0.016	0.04	0.01	0.076	0.005	816.333	14.333
CHEMBL3594	0.903	0.139	0.089	0.108	0.732	0.067	0.527	1347.333	86.667	0.003	0.016	0.007	0.01	0.046	0.006	0.001	2556.333	270.333
CHEMBL3729	0.678	0.0	0.0	0.0	0.825	-0.111	0.444	255.667	15.667	0.028	0.0	0.0	0.0	0.028	0.037	0.009	24.333	2.333
CHEMBL3837	0.903	0.222	0.167	0.19	0.806	0.179	0.579	734.667	37.667	0.001	0.148	0.083	0.109	0.074	0.096	0.019	3608.333	32.333
CHEMBL3880	0.885	0.0	0.0	0.0	0.51	0.0	0.5	523.333	20.0	0.003	0.0	0.0	0.0	0.02	0.0	0.0	320.333	13.0
CHEMBL3991	0.859	0.0	0.0	0.0	0.952	0.0	0.5	522.0	32.333	0.001	0.0	0.0	0.0	0.001	0.0	0.0	27.0	6.333
CHEMBL4072	0.757	0.333	0.111	0.167	0.676	0.167	0.556	188.667	11.667	0.003	0.333	0.037	0.083	0.094	0.083	0.009	58.333	0.333
CHEMBL4409	0.715	0.0	0.0	0.0	0.591	-0.073	0.472	275.333	12.667	0.011	0.0	0.0	0.0	0.062	0.016	0.002	430.333	14.333
CHEMBL4523	0.891	1.0	0.556	0.667	0.972	0.681	0.778	243.333	12.667	0.012	0.0	0.148	0.083	0.002	0.077	0.037	82.333	14.333
CHEMBL4657	0.617	0.043	0.333	0.077	0.632	0.0	0.5	400.0	12.333	0.178	0.006	0.333	0.018	0.032	0.0	0.0	1047.0	0.333
