	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.936	0.611	0.137	0.224	0.774	0.268	461.333	15.333	0.0	0.009	0.0	0.0	0.01	0.002	7297.333	10.333
CHEMBL1800	0.979	0.9	0.847	0.87	0.954	0.861	243.333	10.333	0.0	0.03	0.004	0.013	0.0	0.016	122.333	0.333
CHEMBL1862	0.914	0.178	0.089	0.112	0.652	0.096	228.333	11.667	0.0	0.028	0.007	0.01	0.013	0.007	162.333	4.333
CHEMBL1902	0.91	0.133	0.056	0.078	0.666	0.045	280.0	11.333	0.0	0.053	0.009	0.018	0.006	0.023	372.0	0.333
CHEMBL2034	0.93	0.375	0.381	0.371	0.807	0.338	327.667	19.0	0.0	0.047	0.063	0.048	0.015	0.047	302.333	12.0
CHEMBL204	0.971	0.879	0.718	0.788	0.93	0.779	1310.667	89.0	0.0	0.005	0.007	0.004	0.003	0.005	1457.333	727.0
CHEMBL205	0.923	0.44	0.422	0.425	0.845	0.388	1313.333	90.667	0.0	0.008	0.003	0.002	0.008	0.002	3504.333	17.333
CHEMBL214	0.899	0.419	0.302	0.344	0.886	0.3	445.0	25.667	0.001	0.031	0.027	0.029	0.001	0.031	733.0	10.333
CHEMBL2147	0.912	0.504	0.736	0.572	0.903	0.556	292.667	16.333	0.005	0.094	0.14	0.098	0.01	0.111	580.333	2.333
CHEMBL217	0.901	0.398	0.48	0.407	0.833	0.374	880.667	38.333	0.002	0.019	0.018	0.002	0.005	0.001	6204.333	2.333
CHEMBL218	0.918	0.481	0.28	0.306	0.89	0.303	367.0	21.333	0.0	0.029	0.029	0.009	0.003	0.002	199.0	12.333
CHEMBL222	0.928	0.278	0.173	0.21	0.859	0.181	256.667	11.667	0.001	0.065	0.036	0.046	0.01	0.052	281.333	0.333
CHEMBL224	0.904	0.411	0.258	0.314	0.746	0.278	389.0	26.333	0.001	0.128	0.061	0.088	0.009	0.099	403.0	14.333
CHEMBL228	0.96	0.461	0.571	0.509	0.815	0.492	607.0	27.667	0.0	0.021	0.06	0.036	0.031	0.041	2404.0	1.333
CHEMBL2326	0.956	0.278	0.241	0.236	0.759	0.228	396.667	15.333	0.0	0.065	0.063	0.044	0.037	0.045	652.333	2.333
CHEMBL233	0.915	0.546	0.344	0.416	0.781	0.387	406.0	18.333	0.001	0.019	0.023	0.023	0.001	0.025	967.0	14.333
CHEMBL234	0.935	0.422	0.523	0.463	0.887	0.434	717.667	40.667	0.0	0.004	0.028	0.009	0.001	0.012	1961.333	1.333
CHEMBL236	0.913	0.411	0.703	0.512	0.889	0.492	683.667	32.0	0.0	0.006	0.013	0.004	0.002	0.002	5260.333	27.0
CHEMBL237	0.919	0.493	0.578	0.51	0.93	0.482	676.333	32.333	0.002	0.006	0.081	0.029	0.002	0.035	608.333	174.333
CHEMBL244	0.968	0.849	0.588	0.683	0.911	0.686	2096.0	146.667	0.0	0.034	0.057	0.039	0.008	0.039	12601.0	556.333
CHEMBL251	0.923	0.381	0.257	0.307	0.83	0.288	689.333	27.667	0.0	0.111	0.05	0.071	0.006	0.063	1962.333	30.333
CHEMBL253	0.924	0.546	0.367	0.433	0.88	0.41	717.333	58.333	0.001	0.123	0.086	0.111	0.002	0.113	786.333	12.333
CHEMBL255	0.951	0.52	0.283	0.358	0.757	0.356	536.667	16.0	0.001	0.108	0.011	0.033	0.013	0.047	508.333	9.0
CHEMBL256	0.881	0.357	0.403	0.344	0.82	0.302	499.667	29.0	0.001	0.031	0.046	0.01	0.006	0.015	174.333	3.0
CHEMBL261	0.927	0.503	0.411	0.448	0.86	0.414	1322.667	81.0	0.0	0.01	0.012	0.009	0.005	0.01	161.333	48.0
CHEMBL264	0.92	0.512	0.452	0.478	0.894	0.437	1333.333	64.0	0.001	0.011	0.015	0.013	0.004	0.015	2074.333	49.0
CHEMBL267	0.869	0.075	0.311	0.119	0.742	0.111	308.0	14.667	0.009	0.007	0.09	0.017	0.014	0.022	333.0	6.333
CHEMBL2820	0.946	0.756	0.595	0.665	0.848	0.641	286.333	16.0	0.0	0.006	0.004	0.004	0.042	0.004	26.333	3.0
CHEMBL284	0.958	0.771	0.286	0.417	0.921	0.454	569.333	25.333	0.0	0.042	0.003	0.007	0.001	0.011	120.333	9.333
CHEMBL3242	0.947	0.66	0.257	0.369	0.916	0.39	1119.333	60.333	0.0	0.009	0.0	0.0	0.001	0.001	542.333	10.333
CHEMBL335	0.932	0.566	0.649	0.564	0.957	0.553	172.667	12.667	0.001	0.072	0.008	0.021	0.0	0.015	97.333	4.333
CHEMBL3371	0.916	0.583	0.213	0.303	0.683	0.313	193.0	11.667	0.0	0.021	0.022	0.033	0.041	0.029	387.0	4.333
CHEMBL344	0.91	0.547	0.396	0.458	0.818	0.417	436.333	26.333	0.0	0.004	0.0	0.0	0.001	0.0	816.333	14.333
CHEMBL3594	0.937	0.613	0.436	0.509	0.842	0.485	1347.333	86.667	0.001	0.043	0.019	0.027	0.004	0.035	2556.333	270.333
CHEMBL3729	0.908	0.75	0.268	0.359	0.952	0.39	255.667	15.667	0.001	0.188	0.001	0.006	0.003	0.026	24.333	2.333
CHEMBL3837	0.947	0.676	0.456	0.52	0.886	0.517	734.667	37.667	0.0	0.016	0.032	0.018	0.018	0.01	3608.333	32.333
CHEMBL3880	0.921	0.405	0.196	0.262	0.728	0.244	523.333	20.0	0.0	0.004	0.005	0.006	0.009	0.005	320.333	13.0
CHEMBL3991	0.936	0.861	0.309	0.44	0.94	0.483	522.0	32.333	0.0	0.016	0.015	0.012	0.0	0.005	27.0	6.333
CHEMBL4072	0.95	1.0	0.278	0.429	0.839	0.508	188.667	11.667	0.0	0.0	0.009	0.015	0.021	0.009	58.333	0.333
CHEMBL4409	0.884	0.095	0.121	0.107	0.706	0.061	275.333	12.667	0.001	0.027	0.044	0.034	0.038	0.024	430.333	14.333
CHEMBL4523	0.975	1.0	0.719	0.821	0.951	0.83	243.333	12.667	0.0	0.0	0.06	0.024	0.002	0.022	82.333	14.333
CHEMBL4657	0.652	0.248	0.429	0.157	0.617	0.133	400.0	12.333	0.279	0.054	0.245	0.005	0.01	0.016	1047.0	0.333
