	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125
accuracy	0.9357429718875502	0.9330143540669856	0.912621359223301	0.9809523809523809	0.9203539823008849	0.9368421052631579	0.9576271186440678	0.9166666666666666	0.9090909090909091	0.9367088607594937	0.9225806451612903	0.9333333333333333	0.9658536585365853	0.9270833333333334	0.9319371727748691	0.9711286089238845	0.9279279279279279	0.9795361527967258	0.9338345864661655	0.9257575757575758	0.9427374301675978	0.9112149532710281	0.9011406844106464	0.9128440366972477	0.9216867469879518	0.927007299270073	0.9857142857142858	0.9412997903563941	0.9108635097493036	0.9361233480176211	0.9471153846153846	0.9226804123711341	0.9518716577540107	0.9432624113475178	0.951048951048951	0.9401709401709402	0.9282051282051282	0.8742857142857143	0.8952380952380953	0.9570815450643777	0.9686411149825784	0.9720496894409938	0.9647577092511013	0.970873786407767	0.9502762430939227	0.8888888888888888	0.9122807017543859	0.9354838709677419	0.9644970414201184	0.9390681003584229	0.956081081081081	0.9558823529411765	0.9315960912052117	0.9232876712328767	0.9254658385093167	0.8846153846153846	0.9591836734693877	0.9678030303030303	0.95562435500516	0.9349522983521249	0.910394265232975	0.9226190476190477	0.9076923076923077	0.954177897574124	0.9257142857142857	0.9426934097421203	0.9547038327526133	0.953125	0.9703703703703703	0.9230769230769231	0.9056603773584906	0.9083665338645418	0.9194244604316547	0.9349112426035503	0.9383259911894273	0.9220563847429519	0.936267071320182	0.9042553191489362	0.9829545454545454	0.9428571428571428	0.9612903225806452	0.905511811023622	0.9565217391304348	0.8985507246376812	0.9479166666666666	0.9566666666666667	0.9372693726937269	0.9392361111111112	0.9470802919708029	0.936247723132969	0.9207920792079208	0.9583333333333334	0.9113924050632911	0.9017857142857143	0.9076923076923077	0.9381443298969072	0.9234042553191489	0.8923076923076924	0.8947368421052632	0.9433681073025335	0.9436619718309859	0.9129834254143646	0.9224806201550387	0.8859649122807017	0.9186991869918699	0.9405684754521964	0.9456521739130435	0.9074074074074074	0.9264705882352942	0.9265175718849841	0.927710843373494	0.9177489177489178	0.9013452914798207	0.9051724137931034	0.9080459770114943	0.9333333333333333	0.9259259259259259	0.952755905511811	0.9072847682119205	0.9017857142857143	0.91	0.911504424778761	0.9745762711864406	0.9639175257731959	0.9653465346534653	0.9574468085106383
precision	0.0	0.0	0.0	0.8888888888888888	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5714285714285714	0.9285714285714286	0.6153846153846154	0.8809523809523809	0.0	0.5555555555555556	0.0	0.5	0.0	0.0	0.0	0.0	1.0	0.7142857142857143	0.3333333333333333	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.5714285714285714	0.2222222222222222	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.5	0.7	0.5	0.6428571428571429	0.0	0.0	0.0	0.6	0.7183098591549296	0.6206896551724138	1.0	0.0	0.5714285714285714	0.25	0.8260869565217391	0.7333333333333333	0.7777777777777778	0.0	0.0	0.0	0.0	0.36363636363636365	0.2	0.0	0.5757575757575758	0.8333333333333334	0.375	0.625	0.5384615384615384	1.0	0.0	0.0	0.0	0.8571428571428571	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.5	0.0	0.75	0.0	0.5	0.0	0.46153846153846156	0.68	0.0	0.0	0.0	1.0	1.0	0.5217391304347826	0.45161290322580644	0.0	0.0	0.0	0.6	0.3333333333333333	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
recall	0.0	0.0	0.0	0.8888888888888888	0.0	0.25	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.5652173913043478	0.7272727272727273	0.7872340425531915	0.0	0.28846153846153844	0.0	0.3157894736842105	0.0	0.0	0.0	0.0	0.8333333333333334	0.16129032258064516	0.14285714285714285	0.0	0.0	0.11764705882352941	0.4	0.0	0.0	0.0	0.26666666666666666	0.11764705882352941	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3125	0.11764705882352941	0.4117647058823529	0.05555555555555555	0.36	0.0	0.0	0.0	0.2	0.7846153846153846	0.36	0.13793103448275862	0.0	0.14814814814814814	0.1	0.59375	0.3333333333333333	0.6	0.0	0.0	0.0	0.0	0.18181818181818182	0.05	0.0	0.3877551020408163	0.10869565217391304	0.06666666666666667	0.21739130434782608	0.12727272727272726	0.4	0.0	0.0	0.0	0.5454545454545454	0.0	0.0	0.0	0.0	0.0	0.06451612903225806	0.0	0.375	0.0	0.0	0.09090909090909091	0.0	0.375	0.0	0.19047619047619047	0.0	0.3333333333333333	0.37777777777777777	0.0	0.0	0.0	0.09090909090909091	0.041666666666666664	0.75	0.5185185185185185	0.0	0.0	0.0	0.15	0.375	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f1	0.0	0.0	0.0	0.8888888888888888	0.0	0.4	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38095238095238093	0.7027027027027025	0.6666666666666667	0.8314606741573034	0.0	0.37974683544303794	0.0	0.3870967741935484	0.0	0.0	0.0	0.0	0.9090909090909091	0.2631578947368421	0.2	0.0	0.0	0.21052631578947367	0.5714285714285715	0.0	0.0	0.0	0.36363636363636365	0.15384615384615383	0.0	0.0	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45454545454545453	0.19047619047619047	0.5185185185185185	0.09999999999999999	0.4615384615384615	0.0	0.0	0.0	0.3	0.75	0.45569620253164556	0.2424242424242424	0.0	0.23529411764705882	0.14285714285714288	0.6909090909090908	0.45833333333333326	0.6774193548387097	0.0	0.0	0.0	0.0	0.24242424242424246	0.08000000000000002	0.0	0.4634146341463415	0.1923076923076923	0.11320754716981134	0.3225806451612903	0.20588235294117643	0.5714285714285715	0.0	0.0	0.0	0.6666666666666665	0.0	0.0	0.0	0.0	0.0	0.12121212121212122	0.0	0.42857142857142855	0.0	0.0	0.15384615384615385	0.0	0.5	0.0	0.27586206896551724	0.0	0.3870967741935484	0.48571428571428565	0.0	0.0	0.0	0.16666666666666669	0.07999999999999999	0.6153846153846153	0.48275862068965514	0.0	0.0	0.0	0.24	0.35294117647058826	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
auc_roc	0.6501519756838906	0.8065934065934066	0.5296052631578947	0.9560185185185185	0.8862179487179487	0.9540229885057472	0.6436011904761905	0.815909090909091	0.43703703703703706	0.2266891891891892	0.3123543123543123	0.39360119047619047	0.7088744588744589	0.8645666131621187	0.6317594834543987	0.9942919601651689	0.9430612244897959	0.9576173934619441	0.8282645293514859	0.8194110576923077	0.7616260162601626	0.8785425101214575	0.9417396949042519	0.8680243321872521	0.9592760180995474	0.9307086614173229	0.9947916666666667	0.9002242152466368	0.8175981873111783	0.7195537525354969	0.8945546838947855	0.7284812229976737	0.887015503875969	0.736842105263158	0.8240546218487395	0.6642857142857143	0.8385185185185184	0.8320923306031274	0.7038201160541586	0.5600896860986547	0.8186758893280632	0.9286474973375931	0.3373287671232877	0.6595833333333333	0.4722222222222222	0.6485260770975056	0.8081196581196581	0.8344475721323013	0.9275038819875776	0.7938931297709924	0.9268395530255112	0.835968660968661	0.8999999999999998	0.8824183976261127	0.7912472035794182	0.9120873590982287	0.9615853658536585	0.9746875727703175	0.8648966267682263	0.8315757693385952	0.7869291338582678	0.9275440489032721	0.8203125	0.9445519911504425	0.8246821527578625	0.8345768880800728	0.8006737787759686	0.4110314207650273	0.7686068702290076	0.7909108087679516	0.9083426861204639	0.833982683982684	0.7289011848871003	0.9037691631676594	0.8235022252653201	0.8755675029868577	0.8999574437903398	0.8719771387747812	0.9362573099415205	0.5342424242424242	0.5799776286353467	0.7960144927536231	0.9921259842519685	0.6777073732718893	0.8432234432234432	0.7909407665505226	0.7106299212598426	0.7983628201742805	0.8105384663380546	0.8148415786548082	0.939516129032258	0.9918478260869564	0.9791666666666666	0.5693069306930694	0.3142655367231638	0.4866573033707865	0.7735535074244752	0.8045977011494253	0.6506331699346406	0.8206255468066491	0.8430602319491208	0.6598227793386644	0.8525210084033613	0.6900228484386901	0.9683441558441558	0.8949724517906337	0.9449519230769231	0.9037286444693852	0.5006984126984126	0.5318590704647675	0.5605384199134199	0.9536729857819906	0.9125905797101449	0.8677489177489178	0.5329218106995884	0.9265873015873016	0.71	0.5261707988980717	0.7257559958289885	0.6057605760576058	0.9499389499389499	0.6859223300970874	0.9405797101449276	0.6401833460656989	0.6227106227106227	0.6814814814814815
matthews_coeff	-0.02196325014574173	0.0	-0.028733141061374375	0.8784722222222222	0.0	0.4836020758246758	0.3994297930101854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37279119541959554	0.7119873863560962	0.629325335731238	0.8220751607875791	0.0	0.36549152010581526	0.0	0.352373714310842	0.0	0.0	0.0	0.0	0.9058216273156766	0.3214497206027454	0.17706972474612254	0.0	0.0	0.3293264070082161	0.6165310188770465	0.0	0.0	0.0	0.35809144541956706	0.09834174794495192	0.0	0.0	0.41961476978762724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4975717589874493	0.22137299007508537	0.5164174795420627	0.15581037370064493	0.4487091600374303	0.0	0.0	0.0	0.3308433967202809	0.7336451805908002	0.4518529245169675	0.3589771265024975	0.0	0.2634959191004455	0.11572751247156893	0.6774970540019944	0.4627409037195458	0.6531068129983777	0.0	0.0	0.0	0.0	0.21165358334104142	0.06334369653306217	0.0	0.43971315207673056	0.2876817242516612	0.1325383478931252	0.34369885648685256	0.2283063511598992	0.6269796234933492	0.0	0.0	0.0	0.663524656925814	0.0	0.0	0.0	0.0	0.0	0.24716279692992305	0.0	0.3915761975732721	0.0	0.0	0.18204306524590286	0.0	0.5032552304650747	0.0	0.2617588378781973	0.0	0.3634388043692979	0.4807464665878566	0.0	0.0	0.0	0.2888901626578463	0.197949331455891	0.5983660736054126	0.433420618436944	0.0	0.0	0.0	0.27155590196735185	0.30035229305115413	0.0	0.1568387502318773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
balanced_accuracy	0.4957446808510638	0.5	0.49473684210526314	0.9392361111111112	0.5	0.625	0.5833333333333334	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6343825665859564	0.7812120476074811	0.8386363636363636	0.8899727064077911	0.5	0.6343623481781376	0.5	0.6425101214574899	0.5	0.5	0.5	0.5	0.9166666666666667	0.5784030088239549	0.5593439792835563	0.5	0.5	0.5588235294117647	0.7	0.5	0.5	0.5	0.625	0.5366716306775875	0.5	0.5	0.5909090909090909	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.6546972049689441	0.5550067355186349	0.7005060088551549	0.5264957264957265	0.6711347517730497	0.5	0.5	0.5	0.5969512195121951	0.8822168749514865	0.6740152339499457	0.5689655172413793	0.5	0.5692197051420352	0.5375	0.7909752949852507	0.6603575184016824	0.7904458598726114	0.5	0.5	0.5	0.5	0.576505798728021	0.5163419913419913	0.5	0.6827132766982391	0.5535604245121534	0.5288530465949821	0.6038016880629832	0.5577424540096446	0.7	0.5	0.5	0.5	0.768790264853257	0.5	0.5	0.5	0.5	0.5	0.532258064516129	0.5	0.6713709677419355	0.5	0.5	0.5405040504050405	0.5	0.6818820224719101	0.5	0.583743842364532	0.5	0.6556430446194226	0.6821548821548822	0.5	0.5	0.5	0.5454545454545454	0.5208333333333334	0.8538461538461539	0.7306397306397306	0.5	0.5	0.5	0.570260663507109	0.6585144927536232	0.5	0.5648148148148148	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
#tr	390	438	556	242	233	255	220	222	243	288	294	258	308	341	334	1296	1282	1354	1346	1349	1245	464	414	457	265	309	304	815	968	859	352	369	380	248	246	276	380	412	375	657	605	559	372	395	423	413	433	372	667	749	737	610	755	686	688	693	648	2081	2215	1992	699	641	728	685	732	735	515	560	535	497	488	514	1308	1330	1330	1355	1281	1364	296	299	329	292	282	285	573	557	578	1103	1146	1109	166	168	184	196	172	211	416	469	424	1356	1393	1293	250	259	258	673	793	738	508	543	519	516	525	525	187	182	197	279	253	294	250	247	233	386	377	437
#ac_tr	14	13	19	10	10	11	14	10	11	12	11	11	23	17	17	102	58	107	94	86	92	28	22	27	15	18	16	37	40	38	25	18	21	11	12	12	29	28	22	27	27	29	15	17	14	14	21	20	42	40	40	38	29	29	35	18	44	149	169	122	28	22	33	62	58	55	13	16	19	30	27	30	73	85	85	69	67	56	17	12	15	15	18	15	26	28	22	58	64	59	11	15	12	11	10	14	29	28	22	99	93	68	17	14	16	36	44	33	16	23	21	32	35	30	11	12	12	17	10	11	11	10	17	12	12	13
target	CHEMBL1075323	CHEMBL1075323	CHEMBL1075323	CHEMBL1800	CHEMBL1800	CHEMBL1800	CHEMBL1862	CHEMBL1862	CHEMBL1862	CHEMBL1902	CHEMBL1902	CHEMBL1902	CHEMBL2034	CHEMBL2034	CHEMBL2034	CHEMBL204	CHEMBL204	CHEMBL204	CHEMBL205	CHEMBL205	CHEMBL205	CHEMBL214	CHEMBL214	CHEMBL214	CHEMBL2147	CHEMBL2147	CHEMBL2147	CHEMBL217	CHEMBL217	CHEMBL217	CHEMBL218	CHEMBL218	CHEMBL218	CHEMBL222	CHEMBL222	CHEMBL222	CHEMBL224	CHEMBL224	CHEMBL224	CHEMBL228	CHEMBL228	CHEMBL228	CHEMBL2326	CHEMBL2326	CHEMBL2326	CHEMBL233	CHEMBL233	CHEMBL233	CHEMBL234	CHEMBL234	CHEMBL234	CHEMBL236	CHEMBL236	CHEMBL236	CHEMBL237	CHEMBL237	CHEMBL237	CHEMBL244	CHEMBL244	CHEMBL244	CHEMBL251	CHEMBL251	CHEMBL251	CHEMBL253	CHEMBL253	CHEMBL253	CHEMBL255	CHEMBL255	CHEMBL255	CHEMBL256	CHEMBL256	CHEMBL256	CHEMBL261	CHEMBL261	CHEMBL261	CHEMBL264	CHEMBL264	CHEMBL264	CHEMBL267	CHEMBL267	CHEMBL267	CHEMBL2820	CHEMBL2820	CHEMBL2820	CHEMBL284	CHEMBL284	CHEMBL284	CHEMBL3242	CHEMBL3242	CHEMBL3242	CHEMBL335	CHEMBL335	CHEMBL335	CHEMBL3371	CHEMBL3371	CHEMBL3371	CHEMBL344	CHEMBL344	CHEMBL344	CHEMBL3594	CHEMBL3594	CHEMBL3594	CHEMBL3729	CHEMBL3729	CHEMBL3729	CHEMBL3837	CHEMBL3837	CHEMBL3837	CHEMBL3880	CHEMBL3880	CHEMBL3880	CHEMBL3991	CHEMBL3991	CHEMBL3991	CHEMBL4072	CHEMBL4072	CHEMBL4072	CHEMBL4409	CHEMBL4409	CHEMBL4409	CHEMBL4523	CHEMBL4523	CHEMBL4523	CHEMBL4657	CHEMBL4657	CHEMBL4657
