	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.814	0.0	0.0	0.0	0.612	0.0	461.333	15.333	0.012	0.0	0.0	0.0	0.087	0.0	7297.333	10.333
CHEMBL1800	0.795	0.222	0.222	0.222	0.891	0.192	243.333	10.333	0.004	0.148	0.148	0.148	0.021	0.11	122.333	0.333
CHEMBL1862	0.787	0.0	0.0	0.0	0.71	0.0	228.333	11.667	0.001	0.0	0.0	0.0	0.082	0.0	162.333	4.333
CHEMBL1902	0.81	0.0	0.0	0.0	0.297	0.0	280.0	11.333	0.004	0.0	0.0	0.0	0.006	0.0	372.0	0.333
CHEMBL2034	0.908	0.333	0.222	0.267	0.808	0.267	327.667	19.0	0.003	0.333	0.148	0.213	0.002	0.214	302.333	12.0
CHEMBL204	0.909	0.179	0.227	0.2	0.859	0.167	1310.667	89.0	0.005	0.096	0.155	0.12	0.024	0.084	1457.333	727.0
CHEMBL205	0.937	0.222	0.133	0.167	0.716	0.164	1313.333	90.667	0.0	0.148	0.053	0.083	0.045	0.081	3504.333	17.333
CHEMBL214	0.873	0.0	0.0	0.0	0.864	0.0	445.0	25.667	0.001	0.0	0.0	0.0	0.012	0.0	733.0	10.333
CHEMBL2147	0.887	0.333	0.333	0.333	0.911	0.333	292.667	16.333	0.013	0.333	0.333	0.333	0.024	0.333	580.333	2.333
CHEMBL217	0.92	0.0	0.0	0.0	0.786	-0.018	880.667	38.333	0.001	0.0	0.0	0.0	0.012	0.001	6204.333	2.333
CHEMBL218	0.844	0.333	0.083	0.133	0.851	0.153	367.0	21.333	0.001	0.333	0.021	0.053	0.022	0.07	199.0	12.333
CHEMBL222	0.805	0.0	0.0	0.0	0.69	0.0	256.667	11.667	0.001	0.0	0.0	0.0	0.019	0.0	281.333	0.333
CHEMBL224	0.848	0.444	0.194	0.244	0.799	0.233	389.0	26.333	0.003	0.259	0.03	0.046	0.041	0.057	403.0	14.333
CHEMBL228	0.904	0.0	0.0	0.0	0.666	0.0	607.0	27.667	0.001	0.0	0.0	0.0	0.121	0.0	2404.0	1.333
CHEMBL2326	0.882	0.0	0.0	0.0	0.15	0.0	396.667	15.333	0.0	0.0	0.0	0.0	0.002	0.0	652.333	2.333
CHEMBL233	0.808	0.0	0.0	0.0	0.65	0.0	406.0	18.333	0.001	0.0	0.0	0.0	0.019	0.0	967.0	14.333
CHEMBL234	0.865	0.0	0.0	0.0	0.89	0.0	717.667	40.667	0.004	0.0	0.0	0.0	0.01	0.0	1961.333	1.333
CHEMBL236	0.86	0.111	0.048	0.067	0.802	0.028	683.667	32.0	0.011	0.037	0.007	0.013	0.019	0.002	5260.333	27.0
CHEMBL237	0.845	0.333	0.083	0.133	0.862	0.161	676.333	32.333	0.01	0.333	0.021	0.053	0.01	0.078	608.333	174.333
CHEMBL244	0.946	0.233	0.292	0.259	0.881	0.25	2096.0	146.667	0.001	0.163	0.255	0.202	0.011	0.202	12601.0	556.333
CHEMBL251	0.848	0.333	0.048	0.083	0.583	0.085	689.333	27.667	0.003	0.333	0.007	0.021	0.133	0.051	1962.333	30.333
CHEMBL253	0.906	0.822	0.429	0.544	0.832	0.542	717.333	58.333	0.002	0.028	0.015	0.008	0.006	0.001	786.333	12.333
CHEMBL255	0.88	0.0	0.0	0.0	0.465	0.0	536.667	16.0	0.0	0.0	0.0	0.0	0.044	0.0	508.333	9.0
CHEMBL256	0.835	0.0	0.0	0.0	0.732	-0.067	499.667	29.0	0.002	0.0	0.0	0.0	0.012	0.003	174.333	3.0
CHEMBL261	0.921	0.167	0.083	0.111	0.817	0.111	1322.667	81.0	0.001	0.083	0.021	0.037	0.011	0.037	161.333	48.0
CHEMBL264	0.909	0.222	0.111	0.148	0.845	0.128	1333.333	64.0	0.001	0.148	0.037	0.066	0.001	0.075	2074.333	49.0
CHEMBL267	0.85	0.0	0.0	0.0	0.37	0.0	308.0	14.667	0.005	0.0	0.0	0.0	0.002	0.0	333.0	6.333
CHEMBL2820	0.825	0.333	0.333	0.333	0.797	0.333	286.333	16.0	0.024	0.333	0.333	0.333	0.032	0.333	26.333	3.0
CHEMBL284	0.872	0.0	0.0	0.0	0.594	0.0	569.333	25.333	0.0	0.0	0.0	0.0	0.018	0.0	120.333	9.333
CHEMBL3242	0.945	0.0	0.0	0.0	0.713	0.0	1119.333	60.333	0.0	0.0	0.0	0.0	0.022	0.0	542.333	10.333
CHEMBL335	0.771	0.0	0.0	0.0	0.986	0.0	172.667	12.667	0.001	0.0	0.0	0.0	0.001	0.0	97.333	4.333
CHEMBL3371	0.711	0.0	0.0	0.0	0.519	0.0	193.0	11.667	0.006	0.0	0.0	0.0	0.001	0.0	387.0	4.333
CHEMBL344	0.814	0.167	0.083	0.111	0.767	0.087	436.333	26.333	0.0	0.083	0.021	0.037	0.018	0.023	816.333	14.333
CHEMBL3594	0.896	0.0	0.0	0.0	0.644	-0.034	1347.333	86.667	0.002	0.0	0.0	0.0	0.03	0.002	2556.333	270.333
CHEMBL3729	0.761	0.0	0.0	0.0	0.704	0.0	255.667	15.667	0.005	0.0	0.0	0.0	0.012	0.0	24.333	2.333
CHEMBL3837	0.863	0.291	0.5	0.356	0.896	0.325	734.667	37.667	0.006	0.09	0.188	0.113	0.003	0.097	3608.333	32.333
CHEMBL3880	0.885	0.0	0.0	0.0	0.303	0.0	523.333	20.0	0.003	0.0	0.0	0.0	0.029	0.0	320.333	13.0
CHEMBL3991	0.822	0.067	0.083	0.074	0.896	0.023	522.0	32.333	0.006	0.013	0.021	0.016	0.011	0.002	27.0	6.333
CHEMBL4072	0.694	0.0	0.0	0.0	0.616	-0.064	188.667	11.667	0.009	0.0	0.0	0.0	0.061	0.012	58.333	0.333
CHEMBL4409	0.757	0.0	0.0	0.0	0.544	0.0	275.333	12.667	0.005	0.0	0.0	0.0	0.056	0.0	430.333	14.333
CHEMBL4523	0.781	0.0	0.0	0.0	0.845	0.0	243.333	12.667	0.01	0.0	0.0	0.0	0.025	0.0	82.333	14.333
CHEMBL4657	0.863	0.0	0.0	0.0	0.525	0.0	400.0	12.333	0.0	0.0	0.0	0.0	0.011	0.0	1047.0	0.333
