	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.927	0.0	0.0	0.0	0.662	-0.017	0.497	461.333	15.333	0.0	0.0	0.0	0.0	0.019	0.0	0.0	7297.333	10.333
CHEMBL1800	0.946	0.63	0.38	0.43	0.932	0.454	0.688	243.333	10.333	0.001	0.3	0.21	0.198	0.002	0.194	0.051	122.333	0.333
CHEMBL1862	0.928	0.333	0.056	0.095	0.632	0.133	0.528	228.333	11.667	0.001	0.333	0.009	0.027	0.036	0.053	0.002	162.333	4.333
CHEMBL1902	0.931	0.0	0.0	0.0	0.311	0.0	0.5	280.0	11.333	0.0	0.0	0.0	0.0	0.007	0.0	0.0	372.0	0.333
CHEMBL2034	0.942	0.19	0.095	0.127	0.735	0.124	0.545	327.667	19.0	0.0	0.109	0.027	0.048	0.014	0.046	0.006	302.333	12.0
CHEMBL204	0.96	0.808	0.693	0.734	0.965	0.721	0.837	1310.667	89.0	0.001	0.028	0.013	0.008	0.001	0.009	0.003	1457.333	727.0
CHEMBL205	0.934	0.185	0.096	0.127	0.803	0.122	0.545	1313.333	90.667	0.0	0.103	0.028	0.048	0.001	0.045	0.006	3504.333	17.333
CHEMBL214	0.908	0.167	0.105	0.129	0.896	0.117	0.548	445.0	25.667	0.0	0.083	0.033	0.05	0.002	0.041	0.007	733.0	10.333
CHEMBL2147	0.945	0.333	0.278	0.303	0.962	0.302	0.639	292.667	16.333	0.001	0.333	0.231	0.275	0.001	0.274	0.058	580.333	2.333
CHEMBL217	0.929	0.349	0.101	0.154	0.812	0.166	0.546	880.667	38.333	0.0	0.128	0.008	0.019	0.008	0.026	0.002	6204.333	2.333
CHEMBL218	0.941	0.667	0.173	0.261	0.837	0.315	0.586	367.0	21.333	0.0	0.333	0.042	0.084	0.009	0.095	0.011	199.0	12.333
CHEMBL222	0.945	0.0	0.0	0.0	0.742	0.0	0.5	256.667	11.667	0.0	0.0	0.0	0.0	0.006	0.0	0.0	281.333	0.333
CHEMBL224	0.899	0.265	0.128	0.172	0.791	0.152	0.554	389.0	26.333	0.001	0.083	0.018	0.033	0.006	0.034	0.004	403.0	14.333
CHEMBL228	0.966	0.333	0.061	0.103	0.769	0.14	0.53	607.0	27.667	0.0	0.333	0.011	0.032	0.036	0.059	0.003	2404.0	1.333
CHEMBL2326	0.962	0.0	0.0	0.0	0.49	0.0	0.5	396.667	15.333	0.0	0.0	0.0	0.0	0.026	0.0	0.0	652.333	2.333
CHEMBL233	0.912	0.0	0.0	0.0	0.764	0.0	0.5	406.0	18.333	0.001	0.0	0.0	0.0	0.01	0.0	0.0	967.0	14.333
CHEMBL234	0.953	0.678	0.281	0.388	0.883	0.412	0.637	717.667	40.667	0.0	0.028	0.022	0.03	0.006	0.027	0.006	1961.333	1.333
CHEMBL236	0.937	0.381	0.139	0.187	0.873	0.202	0.566	683.667	32.0	0.0	0.114	0.038	0.059	0.001	0.052	0.008	5260.333	27.0
CHEMBL237	0.923	0.2	0.067	0.1	0.888	0.11	0.532	676.333	32.333	0.001	0.12	0.013	0.03	0.008	0.036	0.003	608.333	174.333
CHEMBL244	0.953	0.78	0.428	0.483	0.89	0.515	0.708	2096.0	146.667	0.0	0.039	0.108	0.065	0.006	0.038	0.025	12601.0	556.333
CHEMBL251	0.914	0.274	0.083	0.126	0.845	0.126	0.536	689.333	27.667	0.0	0.082	0.006	0.014	0.005	0.017	0.001	1962.333	30.333
CHEMBL253	0.941	0.779	0.509	0.609	0.868	0.598	0.747	717.333	58.333	0.0	0.002	0.023	0.017	0.004	0.014	0.006	786.333	12.333
CHEMBL255	0.959	0.0	0.0	0.0	0.66	0.0	0.5	536.667	16.0	0.0	0.0	0.0	0.0	0.047	0.0	0.0	508.333	9.0
CHEMBL256	0.912	0.188	0.077	0.107	0.844	0.092	0.531	499.667	29.0	0.0	0.033	0.009	0.015	0.004	0.012	0.002	174.333	3.0
CHEMBL261	0.931	0.47	0.165	0.219	0.819	0.242	0.579	1322.667	81.0	0.0	0.182	0.04	0.054	0.008	0.05	0.009	161.333	48.0
CHEMBL264	0.921	0.513	0.137	0.214	0.883	0.235	0.563	1333.333	64.0	0.0	0.016	0.006	0.011	0.0	0.011	0.001	2074.333	49.0
CHEMBL267	0.962	0.333	0.133	0.19	0.683	0.209	0.567	308.0	14.667	0.0	0.333	0.053	0.109	0.048	0.131	0.013	333.0	6.333
CHEMBL2820	0.92	0.286	0.182	0.222	0.822	0.221	0.59	286.333	16.0	0.001	0.245	0.099	0.148	0.025	0.147	0.024	26.333	3.0
CHEMBL284	0.947	0.0	0.0	0.0	0.782	0.0	0.5	569.333	25.333	0.0	0.0	0.0	0.0	0.004	0.0	0.0	120.333	9.333
CHEMBL3242	0.941	0.333	0.022	0.04	0.808	0.082	0.511	1119.333	60.333	0.0	0.333	0.001	0.005	0.0	0.02	0.0	542.333	10.333
CHEMBL335	0.93	0.167	0.125	0.143	0.97	0.131	0.557	172.667	12.667	0.001	0.083	0.047	0.061	0.001	0.051	0.01	97.333	4.333
CHEMBL3371	0.916	0.417	0.155	0.218	0.457	0.228	0.574	193.0	11.667	0.0	0.146	0.038	0.066	0.017	0.065	0.009	387.0	4.333
CHEMBL344	0.903	0.167	0.063	0.092	0.743	0.087	0.528	436.333	26.333	0.0	0.083	0.012	0.025	0.007	0.023	0.002	816.333	14.333
CHEMBL3594	0.933	0.381	0.237	0.291	0.775	0.281	0.613	1347.333	86.667	0.0	0.121	0.043	0.066	0.01	0.063	0.01	2556.333	270.333
CHEMBL3729	0.909	0.333	0.03	0.056	0.837	0.096	0.515	255.667	15.667	0.0	0.333	0.003	0.009	0.02	0.028	0.001	24.333	2.333
CHEMBL3837	0.931	0.658	0.437	0.393	0.915	0.41	0.702	734.667	37.667	0.0	0.089	0.13	0.078	0.001	0.04	0.028	3608.333	32.333
CHEMBL3880	0.927	0.0	0.0	0.0	0.531	0.0	0.5	523.333	20.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	320.333	13.0
CHEMBL3991	0.908	0.311	0.175	0.198	0.911	0.191	0.576	522.0	32.333	0.0	0.09	0.036	0.032	0.002	0.027	0.006	27.0	6.333
CHEMBL4072	0.922	0.083	0.056	0.067	0.723	0.052	0.522	188.667	11.667	0.0	0.021	0.009	0.013	0.039	0.008	0.001	58.333	0.333
CHEMBL4409	0.921	0.0	0.0	0.0	0.619	0.0	0.5	275.333	12.667	0.001	0.0	0.0	0.0	0.01	0.0	0.0	430.333	14.333
CHEMBL4523	0.932	0.0	0.0	0.0	0.859	0.0	0.5	243.333	12.667	0.001	0.0	0.0	0.0	0.022	0.0	0.0	82.333	14.333
CHEMBL4657	0.962	0.0	0.0	0.0	0.648	0.0	0.5	400.0	12.333	0.0	0.0	0.0	0.0	0.001	0.0	0.0	1047.0	0.333
