	CHEMBL3242	CHEMBL253	CHEMBL261	CHEMBL233	CHEMBL2820	CHEMBL4072	CHEMBL264	CHEMBL237	CHEMBL344	CHEMBL284	CHEMBL4523	CHEMBL205	CHEMBL244	CHEMBL1800	CHEMBL3837	CHEMBL218	CHEMBL2147	CHEMBL204	CHEMBL2034	CHEMBL236
CHEMBL3242	10.000000677067922	8.736257588370888	8.26744084576393	8.62198314794244	7.673468965315571	8.98471345886381	9.152460326020693	8.95090929444298	9.223560241431926	8.689974497205188	8.184255973641394	8.275672699100852	8.788258726191359	7.21176547518578	9.503141977102175	8.21771819619287	8.262769684098323	9.011834471422315	7.795974308133975	8.632210180592951
CHEMBL253	8.736257588370888	10.000000788249292	7.0406779110925335	9.787028929944151	6.682725734261463	8.3201811124933	9.372905947758326	8.909057779951745	8.442204446985368	9.52772269425154	8.198589575624581	7.051964127025715	9.894455340721407	6.6889369150068045	8.641898782776861	9.447006352939486	8.331040081978497	9.69455890575585	7.9367892810780285	9.327598757618071
CHEMBL261	8.26744084576393	7.0406779110925335	10.00000050593256	6.891504271328576	8.013566081901821	7.872203705640291	7.471944568047744	7.2703935364700305	7.989027153716337	7.009935928265347	7.193337757286592	9.963287398334813	7.076624512132043	7.242603349603685	8.068914553595096	6.492904335303379	7.037143051669551	7.290327816397179	6.81996070376248	6.951694422620002
CHEMBL233	8.62198314794244	9.787028929944151	6.891504271328576	10.000000782608776	6.736715432367195	8.304369964919422	9.271363168648369	9.0146990089938	8.470022628346388	9.486101506572885	8.229860903185855	6.901401093155316	9.802467435396583	6.745342072049735	8.614903276620613	9.396435417583309	8.36526515378945	9.601177218322963	8.060138429862949	9.460040976356154
CHEMBL2820	7.673468965315571	6.682725734261463	8.013566081901821	6.736715432367195	10.000000456521782	8.360043708837718	7.309820512042943	7.721246216620457	8.208007108933282	7.090932133540418	8.351743503917005	8.019453417489007	6.774065675844254	8.766046005176028	8.040827603923693	6.190854520152108	8.152267391090444	6.931302941183951	8.145247685848297	7.207923978904355
CHEMBL4072	8.98471345886381	8.3201811124933	7.872203705640291	8.304369964919422	8.360043708837718	10.000000620267322	8.88324854629699	9.128975173648357	9.442942747963984	8.665683089246004	9.19078493363637	7.892028773813066	8.411521054076088	8.082883053388526	9.382047833198882	7.828309898383944	9.154261550990569	8.568758319415789	8.811261469537486	8.760177098887889
CHEMBL264	9.152460326020693	9.372905947758326	7.471944568047744	9.271363168648369	7.309820512042943	8.88324854629699	10.000000725539804	9.377270953522872	9.069299224766846	9.52559558084527	8.546810624371558	7.491769636220519	9.433862303997655	7.316031692788285	9.185022555483105	8.880921651441325	8.624647791789943	9.60925426931542	8.15879587713749	9.436700083909694
CHEMBL237	8.95090929444298	8.909057779951745	7.2703935364700305	9.0146990089938	7.721246216620457	9.128975173648357	9.377270953522872	10.00000068439723	9.23236202330568	9.351317806990947	8.979730337837896	7.2902186046428055	8.976858740251524	7.727457397365799	9.200522064948045	8.469608987928881	9.054878680359495	9.041422315277277	8.771772613292717	9.48667844668113
CHEMBL344	9.223560241431926	8.442204446985368	7.989027153716337	8.470022628346388	8.208007108933282	9.442942747963984	9.069299224766846	9.23236202330568	10.000000632469657	8.803366954143751	8.905463183322198	8.008852221889112	8.533544388568158	7.94360550360358	9.68836031163946	7.950333232876012	8.983300350740581	8.690781653907857	8.572414699171704	8.809086286893692
CHEMBL284	8.689974497205188	9.52772269425154	7.009935928265347	9.486101506572885	7.090932133540418	8.665683089246004	9.52559558084527	9.351317806990947	8.803366954143751	10.000000747428643	8.606795974903534	7.029893455645472	9.569907979753927	7.097143314285759	8.85327591376313	9.091434169693988	8.75940646323131	9.50547628199509	8.399209290091095	9.715265006342568
CHEMBL4523	8.184255973641394	8.198589575624581	7.193337757286592	8.229860903185855	8.351743503917005	9.19078493363637	8.546810624371558	8.979730337837896	8.905463183322198	8.606795974903534	10.00000060810817	7.213162825459367	8.289929517207371	8.339286171428617	8.677206559704363	7.706718361515225	9.707230944991908	8.309185826384295	9.503047771429578	8.695703710788017
CHEMBL205	8.275672699100852	7.051964127025715	9.963287398334813	6.901401093155316	8.019453417489007	7.892028773813066	7.491769636220519	7.2902186046428055	8.008852221889112	7.029893455645472	7.213162825459367	10.00000050732633	7.086521333958784	7.2484906851908715	8.08873962176787	6.502801157130119	7.056968119842326	7.300224638223919	6.839785771935255	6.971519490792776
CHEMBL244	8.788258726191359	9.894455340721407	7.076624512132043	9.802467435396583	6.774065675844254	8.411521054076088	9.433862303997655	8.976858740251524	8.533544388568158	9.569907979753927	8.289929517207371	7.086521333958784	10.000000779115291	6.7802768565895954	8.73323872435965	9.375078169180679	8.405032422951612	9.772258240349958	7.9872426407681365	9.395399717917849
CHEMBL1800	7.21176547518578	6.6889369150068045	7.242603349603685	6.745342072049735	8.766046005176028	8.082883053388526	7.316031692788285	7.727457397365799	7.94360550360358	7.097143314285759	8.339286171428617	7.2484906851908715	6.7802768565895954	10.000000457142903	7.676829725435584	6.19706570089745	8.112713642545431	6.937514121929293	8.187850597198926	7.214135159649698
CHEMBL3837	9.503141977102175	8.641898782776861	8.068914553595096	8.614903276620613	8.040827603923693	9.382047833198882	9.185022555483105	9.200522064948045	9.68836031163946	8.85327591376313	8.677206559704363	8.08873962176787	8.73323872435965	7.676829725435584	10.000000652439086	8.150027568667506	8.755043727122747	8.89047598969935	8.292832983470888	8.845349857969802
CHEMBL218	8.21771819619287	9.447006352939486	6.492904335303379	9.396435417583309	6.190854520152108	7.828309898383944	8.880921651441325	8.469608987928881	7.950333232876012	9.091434169693988	7.706718361515225	6.502801157130119	9.375078169180679	6.19706570089745	8.150027568667506	10.000000837436417	7.9414267775891965	9.179416466962234	7.691813749531919	8.956979813034673
CHEMBL2147	8.262769684098323	8.331040081978497	7.037143051669551	8.36526515378945	8.152267391090444	9.154261550990569	8.624647791789943	9.054878680359495	8.983300350740581	8.75940646323131	9.707230944991908	7.056968119842326	8.405032422951612	8.112713642545431	8.755043727122747	7.9414267775891965	10.000000631579011	8.387699536841225	9.51782763473319	8.805321053760645
CHEMBL204	9.011834471422315	9.69455890575585	7.290327816397179	9.601177218322963	6.931302941183951	8.568758319415789	9.60925426931542	9.041422315277277	8.690781653907857	9.50547628199509	8.309185826384295	7.300224638223919	9.772258240349958	6.937514121929293	8.89047598969935	9.179416466962234	8.387699536841225	10.000000763391567	7.920904160876876	9.343755407179694
CHEMBL2034	7.795974308133975	7.9367892810780285	6.81996070376248	8.060138429862949	8.145247685848297	8.811261469537486	8.15879587713749	8.771772613292717	8.572414699171704	8.399209290091095	9.503047771429578	6.839785771935255	7.9872426407681365	8.187850597198926	8.292832983470888	7.691813749531919	9.51782763473319	7.920904160876876	10.000000606617707	8.489538599404675
CHEMBL236	8.632210180592951	9.327598757618071	6.951694422620002	9.460040976356154	7.207923978904355	8.760177098887889	9.436700083909694	9.48667844668113	8.809086286893692	9.715265006342568	8.695703710788017	6.971519490792776	9.395399717917849	7.214135159649698	8.845349857969802	8.956979813034673	8.805321053760645	9.343755407179694	8.489538599404675	10.000000735729463
