	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
accuracy	0.8854166666666666	0.826625386996904	0.8326105810928014	0.9461942257217848	0.8687258687258688	0.9331514324693042	0.675187969924812	0.6863636363636364	0.7304469273743017	0.6929955290611028	0.8278560250391236	0.7044198895027625	0.7079136690647482	0.7470414201183432	0.591776798825257	0.8424543946932007	0.8710166919575114	0.8404255319148937	0.7135416666666666	0.7974452554744526	0.726775956284153	0.8733153638814016	0.84	0.8194842406876791	0.7044025157232704	0.5403899721448467	0.7709251101321586	0.7958656330749354	0.855072463768116	0.8240740740740741
precision	0.3313253012048193	0.17222222222222222	0.27155172413793105	0.5294117647058824	0.4161073825503356	0.48717948717948717	0.1446280991735537	0.13953488372093023	0.1380952380952381	0.102803738317757	0.15789473684210525	0.1759656652360515	0.15813953488372093	0.17553191489361702	0.11589403973509933	0.3076923076923077	0.3211009174311927	0.35772357723577236	0.1348314606741573	0.13636363636363635	0.147239263803681	0.3684210526315789	0.2553191489361702	0.3108108108108108	0.16463414634146342	0.13368983957219252	0.17391304347826086	0.19101123595505617	0.2777777777777778	0.3026315789473684
recall	0.8461538461538461	0.62	0.7241379310344828	0.9782608695652174	0.8051948051948052	0.8085106382978723	0.7954545454545454	0.5769230769230769	0.7073170731707317	0.6111111111111112	0.3333333333333333	0.6507936507936508	0.6071428571428571	0.673469387755102	0.7608695652173914	0.8888888888888888	0.7608695652173914	0.8	0.6857142857142857	0.4838709677419355	0.6857142857142857	0.65625	0.36363636363636365	0.6571428571428571	0.8709677419354839	0.8928571428571429	0.6896551724137931	0.7083333333333334	0.9375	0.8518518518518519
f1	0.4761904761904762	0.26956521739130435	0.3949843260188088	0.6870229007633587	0.5486725663716814	0.608	0.24475524475524474	0.22471910112359547	0.2310756972111554	0.176	0.21428571428571427	0.27702702702702703	0.25092250922509224	0.27848101265822783	0.20114942528735633	0.4571428571428572	0.45161290322580644	0.49438202247191015	0.22535211267605632	0.2127659574468085	0.24242424242424243	0.47191011235955055	0.29999999999999993	0.4220183486238532	0.27692307692307694	0.23255813953488375	0.2777777777777778	0.30088495575221236	0.42857142857142866	0.44660194174757284
auc_roc	0.9449662345726928	0.8598476605005441	0.8495934959349594	0.9915593879038135	0.944935064935065	0.9668444885553005	0.7825354999268043	0.698981528340081	0.7846070460704606	0.6772528433945756	0.5973438084549196	0.7185841558004946	0.6773138832997987	0.7883019236402694	0.6903457719958918	0.9148944643568299	0.8887155117384212	0.8767279871405608	0.7781885397412199	0.689149560117302	0.7490272373540856	0.8589601769911506	0.6913297007934233	0.837670609645132	0.8323448575148271	0.6602287440656021	0.7607302231237321	0.8962350780532599	0.94375	0.9218106995884774
matthews_coeff	0.4847599824834861	0.260439936988773	0.37262745914624024	0.6978282474829706	0.5167857848291831	0.5959653659143278	0.2387537356388892	0.15673087887426942	0.22412510779546713	0.14927206963390788	0.1428676131689021	0.21739336687234864	0.19072127646801992	0.24667095791211463	0.17196045456217346	0.4649571648791015	0.43903335796012916	0.4632220026664717	0.20734157867674458	0.17309541331211156	0.22206274306277418	0.42823183288056393	0.21703267038387133	0.3635618293451907	0.29259961507126214	0.21655959266034638	0.2620884001322427	0.2922901933170209	0.4638994532252681	0.4392391237943008
balanced_accuracy	0.8670728867499806	0.7289336235038084	0.7828006728343145	0.9611974738887539	0.8404545454545455	0.8751008001984988	0.731060606060606	0.6363233805668016	0.7195844625112917	0.6543744531933509	0.5993265993265993	0.6801623322046924	0.6619438855354348	0.7131302281678221	0.6701985621362547	0.8637992831541219	0.8200758919072275	0.8223968565815325	0.7005281225244256	0.6500592749734823	0.7076431350750416	0.7750276548672566	0.6266131344995698	0.747361237488626	0.7818964270215536	0.7017155804920155	0.7330628803245436	0.7549931129476584	0.89375	0.8367003367003367
#tr	298	338	244	204	116	214	188	172	184	198	186	136	146	170	170	138	134	112	116	128	118	124	116	110	74	80	76	72	88	66
#ac_tr	149	169	122	102	58	107	94	86	92	99	93	68	73	85	85	69	67	56	58	64	59	62	58	55	37	40	38	36	44	33
target	CHEMBL244	CHEMBL244	CHEMBL244	CHEMBL204	CHEMBL204	CHEMBL204	CHEMBL205	CHEMBL205	CHEMBL205	CHEMBL3594	CHEMBL3594	CHEMBL3594	CHEMBL261	CHEMBL261	CHEMBL261	CHEMBL264	CHEMBL264	CHEMBL264	CHEMBL3242	CHEMBL3242	CHEMBL3242	CHEMBL253	CHEMBL253	CHEMBL253	CHEMBL217	CHEMBL217	CHEMBL217	CHEMBL3837	CHEMBL3837	CHEMBL3837
