	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL244	0.833	0.245	0.754	0.358	0.848	0.361	0.795	293.333	146.667	0.004	0.021	0.008	0.035	0.004	0.027	0.005	2225.333	556.333
CHEMBL204	0.88	0.427	0.813	0.538	0.921	0.52	0.849	178.0	89.0	0.004	0.065	0.029	0.078	0.004	0.064	0.012	2908.0	727.0
CHEMBL205	0.65	0.114	0.633	0.193	0.69	0.147	0.642	181.333	90.667	0.0	0.001	0.043	0.004	0.011	0.009	0.009	69.333	17.333
CHEMBL3594	0.729	0.121	0.467	0.192	0.635	0.129	0.602	173.333	86.667	0.006	0.015	0.203	0.037	0.038	0.048	0.031	1081.333	270.333
CHEMBL261	0.725	0.137	0.447	0.207	0.593	0.12	0.598	162.0	81.0	0.008	0.006	0.02	0.011	0.02	0.02	0.012	192.0	48.0
CHEMBL264	0.801	0.254	0.722	0.374	0.758	0.344	0.765	128.0	64.0	0.001	0.002	0.065	0.007	0.02	0.018	0.014	196.0	49.0
CHEMBL3242	0.784	0.144	0.617	0.233	0.704	0.219	0.705	120.667	60.333	0.001	0.006	0.141	0.017	0.067	0.035	0.033	41.333	10.333
CHEMBL253	0.857	0.45	0.44	0.44	0.71	0.358	0.677	116.667	58.333	0.004	0.014	0.028	0.018	0.004	0.009	0.003	49.333	12.333
CHEMBL217	0.646	0.173	0.917	0.282	0.712	0.294	0.771	76.667	38.333	0.046	0.005	0.021	0.007	0.034	0.006	0.009	9.333	2.333
CHEMBL3837	0.768	0.277	0.75	0.403	0.866	0.355	0.759	75.333	37.667	0.002	0.012	0.062	0.022	0.009	0.035	0.016	129.333	32.333
