	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.848	0.258	0.73	0.38	0.885	0.373	293.333	146.667	0.001	0.006	0.013	0.011	0.003	0.013	2225.333	556.333
CHEMBL204	0.916	0.478	0.864	0.615	0.968	0.604	178.0	89.0	0.002	0.003	0.01	0.005	0.001	0.008	2908.0	727.0
CHEMBL205	0.697	0.141	0.693	0.234	0.755	0.207	181.333	90.667	0.001	0.0	0.012	0.0	0.002	0.002	69.333	17.333
CHEMBL3594	0.742	0.146	0.532	0.222	0.664	0.17	173.333	86.667	0.006	0.001	0.03	0.003	0.004	0.002	1081.333	270.333
CHEMBL261	0.682	0.15	0.68	0.244	0.719	0.203	162.0	81.0	0.007	0.001	0.006	0.002	0.004	0.002	192.0	48.0
CHEMBL264	0.851	0.329	0.817	0.468	0.893	0.456	128.0	64.0	0.0	0.001	0.004	0.001	0.0	0.0	196.0	49.0
CHEMBL3242	0.746	0.139	0.618	0.227	0.739	0.201	120.667	60.333	0.002	0.0	0.014	0.0	0.002	0.001	41.333	10.333
CHEMBL253	0.844	0.312	0.559	0.398	0.796	0.336	116.667	58.333	0.001	0.003	0.029	0.008	0.008	0.012	49.333	12.333
CHEMBL217	0.672	0.157	0.818	0.262	0.751	0.257	76.667	38.333	0.014	0.0	0.012	0.001	0.007	0.001	9.333	2.333
CHEMBL3837	0.825	0.257	0.833	0.392	0.921	0.398	75.333	37.667	0.001	0.003	0.013	0.006	0.001	0.009	129.333	32.333
