	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
accuracy	0.9185606060606061	0.9091847265221878	0.8941890719861232	0.9855643044619422	0.9305019305019305	0.9740791268758526	0.7744360902255639	0.8106060606060606	0.8337988826815642	0.8286140089418778	0.8482003129890454	0.830110497237569	0.8719424460431655	0.8801775147928994	0.8502202643171806	0.9054726368159204	0.9180576631259484	0.8723404255319149	0.8524305555555556	0.9178832116788321	0.8961748633879781	0.9326145552560647	0.8771428571428571	0.9197707736389685	0.8050314465408805	0.7270194986072424	0.6784140969162996	0.9250645994832042	0.7608695652173914	0.8518518518518519
precision	0.42657342657342656	0.32727272727272727	0.3722627737226277	0.8181818181818182	0.6210526315789474	0.78	0.19886363636363635	0.2482758620689655	0.20454545454545456	0.1984732824427481	0.27586206896551724	0.22727272727272727	0.3225806451612903	0.336734693877551	0.2777777777777778	0.39655172413793105	0.4523809523809524	0.3835616438356164	0.25961538461538464	0.3409090909090909	0.34285714285714286	0.6060606060606061	0.2222222222222222	0.5945945945945946	0.23275862068965517	0.17592592592592593	0.1411042944785276	0.41935483870967744	0.1875	0.36
recall	0.9384615384615385	0.72	0.5862068965517241	0.9782608695652174	0.7662337662337663	0.8297872340425532	0.7954545454545454	0.6923076923076923	0.6585365853658537	0.7222222222222222	0.7111111111111111	0.3968253968253968	0.5357142857142857	0.673469387755102	0.7608695652173914	0.5111111111111111	0.8260869565217391	0.509090909090909	0.7714285714285715	0.4838709677419355	0.6857142857142857	0.625	0.12121212121212122	0.6285714285714286	0.8709677419354839	0.6785714285714286	0.7931034482758621	0.5416666666666666	0.9375	1.0
f1	0.5865384615384616	0.4499999999999999	0.45535714285714285	0.8910891089108911	0.686046511627907	0.8041237113402062	0.3181818181818182	0.36548223350253806	0.31213872832369943	0.31137724550898205	0.3975155279503106	0.2890173410404624	0.40268456375838924	0.44897959183673475	0.4069767441860465	0.44660194174757284	0.5846153846153845	0.43749999999999994	0.38848920863309355	0.4	0.45714285714285724	0.6153846153846154	0.1568627450980392	0.611111111111111	0.3673469387755102	0.27941176470588236	0.23958333333333334	0.4727272727272728	0.3125	0.5294117647058824
auc_roc	0.9817433827524645	0.9465723612622416	0.8367082875072783	0.9932900170026718	0.9406679035250464	0.9545933875069784	0.8508637095593617	0.7474696356275303	0.820885275519422	0.8622922134733159	0.8422745978301535	0.6798501548879763	0.7530460541023922	0.8262864954594278	0.8865114686751113	0.8642373556352051	0.9242499468047379	0.8057510269691016	0.8953261156588328	0.7730704436263804	0.8116731517509728	0.9375	0.7273683204282573	0.8515923566878981	0.9087950238680746	0.7762192490289168	0.7858417849898579	0.9118457300275482	0.9526442307692308	0.9595959595959597
matthews_coeff	0.6010632493614837	0.44593877138310667	0.4126475691326608	0.8874706825467618	0.6519707210022646	0.7906928915926644	0.3202701903470628	0.33381801687651513	0.3013713970452864	0.31656125782272587	0.3781495167360896	0.21062098549361064	0.3494685669231031	0.41964123515675994	0.39913049982673743	0.39963564244503164	0.573855073322894	0.3717853417666245	0.39071884733559253	0.3636663217665233	0.4367223660894593	0.5785488206574761	0.10193965192632792	0.5666929883418776	0.3857957851341864	0.2395514732324004	0.23636462213330178	0.4372086082479047	0.35411664312592755	0.549379815626841
balanced_accuracy	0.9278584180703252	0.8197388465723612	0.7527657372064436	0.982147194559145	0.8574025974025974	0.9068761243099064	0.7842007026789635	0.7565156882591093	0.7514905149051491	0.7784339457567804	0.7848484848484849	0.6341161779890978	0.7185613682092555	0.7849005630960518	0.8087812393016091	0.7241935483870967	0.8755230867437407	0.7103411323450616	0.8145497755479272	0.7138890622075248	0.7981100611450807	0.7933259587020649	0.5385240416786159	0.790400363967243	0.8357080862143786	0.7048446266724213	0.7318458417849898	0.7460399449035813	0.84375	0.9191919191919191
#tr	298	338	244	204	116	214	188	172	184	198	186	136	146	170	170	138	134	112	116	128	118	124	116	110	74	80	76	72	88	66
#ac_tr	149	169	122	102	58	107	94	86	92	99	93	68	73	85	85	69	67	56	58	64	59	62	58	55	37	40	38	36	44	33
target	CHEMBL244	CHEMBL244	CHEMBL244	CHEMBL204	CHEMBL204	CHEMBL204	CHEMBL205	CHEMBL205	CHEMBL205	CHEMBL3594	CHEMBL3594	CHEMBL3594	CHEMBL261	CHEMBL261	CHEMBL261	CHEMBL264	CHEMBL264	CHEMBL264	CHEMBL3242	CHEMBL3242	CHEMBL3242	CHEMBL253	CHEMBL253	CHEMBL253	CHEMBL217	CHEMBL217	CHEMBL217	CHEMBL3837	CHEMBL3837	CHEMBL3837
