	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL244	0.922	0.428	0.624	0.457	0.866	0.457	0.782	293.333	146.667	0.0	0.104	0.117	0.052	0.018	0.058	0.025	2225.333	556.333
CHEMBL204	0.931	0.54	0.53	0.535	0.835	0.495	0.746	178.0	89.0	0.005	0.255	0.253	0.254	0.044	0.268	0.067	2908.0	727.0
CHEMBL205	0.783	0.133	0.4	0.2	0.577	0.132	0.605	181.333	90.667	0.002	0.0	0.0	0.0	0.006	0.001	0.001	69.333	17.333
CHEMBL3594	0.844	0.208	0.433	0.273	0.754	0.22	0.655	173.333	86.667	0.001	0.005	0.041	0.008	0.016	0.01	0.007	1081.333	270.333
CHEMBL261	0.881	0.283	0.337	0.303	0.814	0.242	0.632	162.0	81.0	0.001	0.008	0.008	0.005	0.017	0.003	0.001	192.0	48.0
CHEMBL264	0.893	0.389	0.483	0.394	0.87	0.362	0.708	128.0	64.0	0.002	0.037	0.201	0.062	0.004	0.085	0.048	196.0	49.0
CHEMBL3242	0.927	0.373	0.328	0.34	0.734	0.307	0.645	120.667	60.333	0.001	0.013	0.006	0.003	0.003	0.004	0.001	41.333	10.333
CHEMBL253	0.881	0.4	0.333	0.353	0.772	0.326	0.654	116.667	58.333	0.002	0.16	0.083	0.101	0.024	0.086	0.018	49.333	12.333
CHEMBL217	0.737	0.185	0.833	0.302	0.823	0.303	0.782	76.667	38.333	0.007	0.004	0.083	0.011	0.008	0.032	0.03	9.333	2.333
CHEMBL3837	0.794	0.525	0.75	0.431	0.921	0.457	0.772	75.333	37.667	0.014	0.17	0.188	0.001	0.007	0.001	0.016	129.333	32.333
