	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.907	0.375	0.748	0.497	0.922	0.487	293.333	146.667	0.0	0.002	0.032	0.006	0.006	0.01	2225.333	556.333
CHEMBL204	0.963	0.74	0.858	0.794	0.963	0.777	178.0	89.0	0.001	0.011	0.012	0.011	0.001	0.014	2908.0	727.0
CHEMBL205	0.806	0.217	0.715	0.332	0.806	0.318	181.333	90.667	0.001	0.001	0.005	0.001	0.003	0.0	69.333	17.333
CHEMBL3594	0.836	0.234	0.61	0.333	0.795	0.302	173.333	86.667	0.0	0.002	0.034	0.003	0.01	0.007	1081.333	270.333
CHEMBL261	0.867	0.312	0.657	0.42	0.822	0.389	162.0	81.0	0.0	0.001	0.013	0.001	0.004	0.001	192.0	48.0
CHEMBL264	0.899	0.411	0.615	0.49	0.865	0.448	128.0	64.0	0.001	0.001	0.033	0.007	0.004	0.012	196.0	49.0
CHEMBL3242	0.889	0.314	0.647	0.415	0.827	0.397	120.667	60.333	0.001	0.002	0.022	0.001	0.004	0.001	41.333	10.333
CHEMBL253	0.91	0.474	0.458	0.461	0.839	0.416	116.667	58.333	0.001	0.048	0.085	0.069	0.011	0.074	49.333	12.333
CHEMBL217	0.737	0.183	0.781	0.295	0.824	0.287	76.667	38.333	0.004	0.002	0.009	0.004	0.005	0.007	9.333	2.333
CHEMBL3837	0.846	0.322	0.826	0.438	0.941	0.447	75.333	37.667	0.007	0.015	0.062	0.013	0.001	0.01	129.333	32.333
