	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.817	0.249	0.831	0.383	0.925	0.389	310.0	155.0	0.0	0.001	0.001	0.001	0.0	0.001	0.0	0.0
CHEMBL204	0.946	0.608	0.908	0.717	0.967	0.713	220.0	110.0	0.001	0.018	0.006	0.006	0.0	0.003	0.0	0.0
CHEMBL205	0.652	0.132	0.721	0.222	0.762	0.194	200.0	100.0	0.005	0.0	0.015	0.0	0.0	0.0	0.0	0.0
CHEMBL3594	0.749	0.152	0.603	0.24	0.777	0.205	198.0	99.0	0.002	0.001	0.04	0.002	0.007	0.007	0.0	0.0
CHEMBL261	0.559	0.116	0.593	0.179	0.637	0.096	194.0	97.0	0.183	0.002	0.129	0.003	0.001	0.009	0.0	0.0
CHEMBL264	0.85	0.257	0.806	0.39	0.911	0.4	166.0	83.0	0.0	0.0	0.007	0.001	0.0	0.002	0.0	0.0
CHEMBL3242	0.739	0.128	0.632	0.213	0.74	0.194	138.0	69.0	0.002	0.001	0.012	0.001	0.009	0.003	0.0	0.0
CHEMBL253	0.823	0.316	0.77	0.438	0.881	0.414	138.0	69.0	0.004	0.008	0.024	0.006	0.003	0.007	0.0	0.0
CHEMBL217	0.801	0.097	0.587	0.166	0.813	0.191	100.0	50.0	0.016	0.007	0.264	0.021	0.019	0.028	0.0	0.0
CHEMBL3837	0.741	0.178	0.965	0.301	0.922	0.348	90.0	45.0	0.001	0.0	0.001	0.001	0.0	0.001	0.0	0.0
