	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL244	0.92	0.457	0.91	0.608	0.962	0.612	0.916	310.0	155.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CHEMBL204	0.966	0.695	0.943	0.8	0.99	0.793	0.955	220.0	110.0	0.0	0.004	0.002	0.003	0.0	0.003	0.001	0.0	0.0
CHEMBL205	0.791	0.219	0.798	0.344	0.834	0.344	0.795	200.0	100.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0
CHEMBL3594	0.865	0.295	0.746	0.421	0.882	0.412	0.81	198.0	99.0	0.0	0.0	0.012	0.001	0.001	0.002	0.002	0.0	0.0
CHEMBL261	0.88	0.317	0.756	0.446	0.919	0.438	0.822	194.0	97.0	0.0	0.002	0.036	0.007	0.002	0.012	0.009	0.0	0.0
CHEMBL264	0.876	0.307	0.843	0.449	0.932	0.461	0.86	166.0	83.0	0.0	0.002	0.001	0.002	0.001	0.002	0.001	0.0	0.0
CHEMBL3242	0.89	0.249	0.529	0.325	0.835	0.306	0.72	138.0	69.0	0.001	0.001	0.079	0.009	0.006	0.014	0.014	0.0	0.0
CHEMBL253	0.902	0.469	0.92	0.619	0.947	0.614	0.91	138.0	69.0	0.0	0.002	0.008	0.002	0.001	0.002	0.001	0.0	0.0
CHEMBL217	0.79	0.194	0.889	0.315	0.896	0.353	0.837	100.0	50.0	0.006	0.003	0.01	0.006	0.002	0.007	0.004	0.0	0.0
CHEMBL3837	0.871	0.298	0.895	0.446	0.961	0.471	0.882	90.0	45.0	0.001	0.001	0.011	0.001	0.0	0.001	0.002	0.0	0.0
