	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL244	0.961	0.717	0.706	0.711	0.843	0.69	0.843	2298.0	155.0	0.0	0.005	0.001	0.002	0.0	0.002	0.0	0.0	0.0
CHEMBL204	0.985	0.917	0.865	0.89	0.93	0.883	0.93	1525.0	110.0	0.0	0.001	0.001	0.001	0.0	0.001	0.0	0.0	0.0
CHEMBL3594	0.929	0.461	0.373	0.41	0.671	0.376	0.671	1475.0	99.0	0.0	0.007	0.005	0.004	0.001	0.005	0.001	0.0	0.0
CHEMBL261	0.929	0.457	0.431	0.442	0.697	0.405	0.697	1463.0	97.0	0.0	0.003	0.003	0.001	0.001	0.002	0.001	0.0	0.0
CHEMBL205	0.911	0.36	0.395	0.377	0.672	0.329	0.672	1463.0	100.0	0.0	0.001	0.004	0.002	0.001	0.002	0.001	0.0	0.0
CHEMBL264	0.952	0.601	0.593	0.596	0.784	0.571	0.784	1411.0	83.0	0.0	0.003	0.001	0.001	0.0	0.002	0.0	0.0	0.0
CHEMBL3242	0.949	0.568	0.437	0.485	0.708	0.468	0.708	1225.0	69.0	0.0	0.011	0.01	0.003	0.002	0.003	0.002	0.0	0.0
CHEMBL217	0.936	0.369	0.349	0.359	0.659	0.326	0.659	953.0	50.0	0.0	0.011	0.014	0.013	0.004	0.014	0.004	0.0	0.0
CHEMBL253	0.933	0.621	0.575	0.595	0.771	0.56	0.771	787.0	69.0	0.0	0.001	0.003	0.0	0.001	0.0	0.001	0.0	0.0
CHEMBL3837	0.964	0.698	0.649	0.672	0.816	0.654	0.816	771.0	45.0	0.0	0.0	0.004	0.001	0.001	0.001	0.001	0.0	0.0
CHEMBL236	0.931	0.321	0.259	0.285	0.615	0.252	0.615	765.0	43.0	0.0	0.016	0.016	0.017	0.004	0.017	0.004	0.0	0.0
CHEMBL234	0.947	0.567	0.444	0.488	0.711	0.47	0.711	737.0	43.0	0.0	0.013	0.009	0.002	0.002	0.003	0.002	0.0	0.0
CHEMBL237	0.953	0.599	0.754	0.665	0.86	0.647	0.86	727.0	44.0	0.0	0.02	0.012	0.015	0.004	0.017	0.004	0.0	0.0
CHEMBL251	0.946	0.525	0.588	0.553	0.778	0.527	0.778	707.0	39.0	0.0	0.011	0.003	0.007	0.001	0.007	0.001	0.0	0.0
CHEMBL228	0.937	0.295	0.25	0.267	0.609	0.237	0.609	646.0	29.0	0.0	0.033	0.007	0.015	0.002	0.019	0.002	0.0	0.0
CHEMBL3880	0.932	0.383	0.356	0.365	0.661	0.332	0.661	625.0	34.0	0.0	0.004	0.01	0.006	0.002	0.006	0.002	0.0	0.0
CHEMBL284	0.945	0.444	0.513	0.474	0.74	0.448	0.74	618.0	31.0	0.0	0.001	0.008	0.003	0.002	0.003	0.002	0.0	0.0
CHEMBL255	0.986	0.859	0.741	0.778	0.868	0.782	0.868	588.0	22.0	0.0	0.015	0.029	0.004	0.007	0.003	0.007	0.0	0.0
CHEMBL256	0.961	0.755	0.625	0.678	0.805	0.664	0.805	557.0	38.0	0.0	0.005	0.016	0.006	0.004	0.005	0.004	0.0	0.0
CHEMBL3991	0.984	0.897	0.902	0.891	0.946	0.888	0.946	542.0	38.0	0.0	0.008	0.015	0.001	0.003	0.001	0.003	0.0	0.0
CHEMBL214	0.937	0.565	0.533	0.547	0.751	0.515	0.751	495.0	36.0	0.0	0.01	0.004	0.005	0.001	0.006	0.001	0.0	0.0
CHEMBL344	0.95	0.707	0.688	0.685	0.83	0.665	0.83	480.0	37.0	0.0	0.037	0.012	0.01	0.003	0.013	0.003	0.0	0.0
CHEMBL1075323	0.926	0.056	0.074	0.063	0.52	0.027	0.52	470.0	22.0	0.0	0.009	0.016	0.012	0.003	0.011	0.003	0.0	0.0
CHEMBL2326	0.951	0.241	0.25	0.244	0.616	0.222	0.616	438.0	18.0	0.0	0.081	0.109	0.094	0.027	0.095	0.027	0.0	0.0
CHEMBL233	0.938	0.513	0.583	0.545	0.773	0.513	0.773	437.0	28.0	0.0	0.003	0.007	0.004	0.002	0.004	0.002	0.0	0.0
CHEMBL224	0.914	0.398	0.286	0.33	0.626	0.292	0.626	425.0	34.0	0.001	0.064	0.046	0.052	0.012	0.058	0.012	0.0	0.0
CHEMBL4657	0.934	0.15	0.19	0.167	0.577	0.135	0.577	420.0	15.0	0.0	0.018	0.027	0.021	0.006	0.022	0.006	0.0	0.0
CHEMBL218	0.909	0.378	0.5	0.424	0.719	0.384	0.719	408.0	27.0	0.0	0.003	0.021	0.006	0.004	0.006	0.004	0.0	0.0
CHEMBL2034	0.938	0.478	0.633	0.543	0.795	0.518	0.795	387.0	24.0	0.0	0.01	0.043	0.02	0.011	0.024	0.011	0.0	0.0
CHEMBL267	0.923	0.207	0.167	0.181	0.566	0.144	0.566	350.0	17.0	0.0	0.04	0.021	0.026	0.005	0.029	0.005	0.0	0.0
CHEMBL4793	0.929	0.048	0.067	0.056	0.513	0.02	0.513	350.0	13.0	0.0	0.007	0.013	0.009	0.003	0.01	0.003	0.0	0.0
CHEMBL1902	0.962	0.701	0.625	0.656	0.804	0.64	0.804	324.0	18.0	0.0	0.019	0.0	0.004	0.0	0.005	0.0	0.0	0.0
CHEMBL2147	0.971	0.751	0.852	0.796	0.916	0.784	0.916	321.0	22.0	0.0	0.016	0.004	0.009	0.001	0.01	0.001	0.0	0.0
CHEMBL2820	0.926	0.504	0.467	0.478	0.715	0.443	0.715	305.0	22.0	0.0	0.006	0.043	0.021	0.01	0.022	0.01	0.0	0.0
CHEMBL4409	0.929	0.44	0.458	0.449	0.71	0.411	0.71	295.0	19.0	0.0	0.004	0.005	0.004	0.001	0.005	0.001	0.0	0.0
CHEMBL222	0.932	0.411	0.429	0.413	0.695	0.381	0.695	284.0	15.0	0.0	0.007	0.02	0.008	0.005	0.009	0.005	0.0	0.0
