	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.963	0.843	0.557	0.671	0.916	0.668	2298.0	155.0	0.0	0.003	0.001	0.001	0.0	0.002	0.0	0.0
CHEMBL204	0.977	0.929	0.73	0.817	0.982	0.812	1525.0	110.0	0.0	0.001	0.004	0.001	0.0	0.001	0.0	0.0
CHEMBL3594	0.94	0.664	0.246	0.355	0.822	0.377	1475.0	99.0	0.0	0.051	0.001	0.005	0.001	0.01	0.0	0.0
CHEMBL261	0.937	0.537	0.317	0.392	0.879	0.379	1463.0	97.0	0.0	0.001	0.01	0.006	0.001	0.004	0.0	0.0
CHEMBL205	0.932	0.499	0.295	0.37	0.852	0.35	1463.0	100.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0
CHEMBL264	0.935	0.446	0.333	0.377	0.858	0.35	1411.0	83.0	0.0	0.006	0.002	0.001	0.003	0.002	0.0	0.0
CHEMBL3242	0.947	0.555	0.345	0.42	0.842	0.409	1225.0	69.0	0.0	0.017	0.004	0.003	0.001	0.004	0.0	0.0
CHEMBL217	0.948	0.49	0.159	0.239	0.904	0.258	953.0	50.0	0.0	0.024	0.001	0.002	0.001	0.005	0.0	0.0
CHEMBL253	0.942	0.705	0.552	0.618	0.922	0.593	787.0	69.0	0.0	0.0	0.004	0.002	0.0	0.002	0.0	0.0
CHEMBL3837	0.961	0.826	0.404	0.542	0.91	0.561	771.0	45.0	0.0	0.024	0.004	0.008	0.0	0.01	0.0	0.0
CHEMBL236	0.946	0.515	0.296	0.375	0.885	0.364	765.0	43.0	0.0	0.006	0.004	0.005	0.0	0.005	0.0	0.0
CHEMBL234	0.963	0.868	0.444	0.573	0.863	0.597	737.0	43.0	0.0	0.021	0.012	0.004	0.003	0.001	0.0	0.0
CHEMBL237	0.957	0.67	0.614	0.631	0.962	0.615	727.0	44.0	0.0	0.015	0.029	0.015	0.0	0.015	0.0	0.0
CHEMBL251	0.95	0.628	0.333	0.418	0.923	0.425	707.0	39.0	0.0	0.012	0.022	0.016	0.001	0.011	0.0	0.0
CHEMBL228	0.961	0.633	0.278	0.386	0.821	0.403	646.0	29.0	0.0	0.023	0.002	0.006	0.003	0.008	0.0	0.0
CHEMBL3880	0.947	0.707	0.222	0.297	0.836	0.337	625.0	34.0	0.0	0.076	0.019	0.022	0.006	0.006	0.0	0.0
CHEMBL284	0.947	0.383	0.103	0.158	0.844	0.174	618.0	31.0	0.0	0.016	0.002	0.003	0.002	0.003	0.0	0.0
CHEMBL255	0.984	0.911	0.63	0.73	0.94	0.742	588.0	22.0	0.0	0.006	0.029	0.011	0.003	0.006	0.0	0.0
CHEMBL256	0.941	0.639	0.396	0.474	0.911	0.466	557.0	38.0	0.0	0.03	0.005	0.001	0.0	0.001	0.0	0.0
CHEMBL3991	0.983	0.954	0.804	0.872	0.977	0.867	542.0	38.0	0.0	0.002	0.001	0.001	0.001	0.001	0.0	0.0
CHEMBL214	0.931	0.524	0.289	0.37	0.907	0.355	495.0	36.0	0.0	0.002	0.001	0.001	0.003	0.0	0.0	0.0
CHEMBL344	0.932	0.644	0.375	0.462	0.891	0.453	480.0	37.0	0.0	0.024	0.004	0.001	0.004	0.002	0.0	0.0
