	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.905	0.402	0.776	0.529	0.926	0.515	2298.0	155.0	0.0	0.003	0.001	0.003	0.0	0.003	0.0	0.0
CHEMBL204	0.948	0.59	0.922	0.718	0.97	0.713	1525.0	110.0	0.0	0.002	0.006	0.002	0.001	0.003	0.0	0.0
CHEMBL3594	0.83	0.238	0.683	0.352	0.838	0.333	1475.0	99.0	0.001	0.002	0.001	0.003	0.001	0.004	0.0	0.0
CHEMBL261	0.841	0.269	0.756	0.393	0.856	0.387	1463.0	97.0	0.003	0.005	0.007	0.007	0.002	0.007	0.0	0.0
CHEMBL205	0.734	0.153	0.62	0.245	0.766	0.206	1463.0	100.0	0.002	0.002	0.024	0.006	0.007	0.011	0.0	0.0
CHEMBL264	0.777	0.205	0.898	0.332	0.879	0.362	1411.0	83.0	0.004	0.002	0.003	0.003	0.0	0.002	0.0	0.0
CHEMBL3242	0.836	0.187	0.575	0.28	0.811	0.259	1225.0	69.0	0.001	0.001	0.005	0.0	0.002	0.0	0.0	0.0
CHEMBL217	0.788	0.162	0.762	0.266	0.813	0.283	953.0	50.0	0.0	0.0	0.048	0.002	0.002	0.006	0.0	0.0
CHEMBL253	0.766	0.256	0.885	0.396	0.888	0.393	787.0	69.0	0.001	0.001	0.002	0.002	0.001	0.002	0.0	0.0
CHEMBL3837	0.78	0.207	0.912	0.334	0.892	0.369	771.0	45.0	0.005	0.004	0.004	0.007	0.001	0.007	0.0	0.0
CHEMBL236	0.89	0.321	0.87	0.468	0.909	0.487	765.0	43.0	0.0	0.001	0.001	0.002	0.001	0.001	0.0	0.0
CHEMBL234	0.843	0.23	0.704	0.344	0.837	0.34	737.0	43.0	0.002	0.002	0.007	0.003	0.001	0.003	0.0	0.0
CHEMBL237	0.848	0.278	0.93	0.428	0.937	0.459	727.0	44.0	0.0	0.001	0.006	0.001	0.0	0.002	0.0	0.0
CHEMBL251	0.876	0.3	0.804	0.435	0.906	0.442	707.0	39.0	0.003	0.016	0.06	0.029	0.006	0.042	0.0	0.0
CHEMBL228	0.563	0.038	0.583	0.071	0.581	0.063	646.0	29.0	0.116	0.001	0.257	0.004	0.025	0.004	0.0	0.0
CHEMBL3880	0.827	0.205	0.511	0.273	0.757	0.24	625.0	34.0	0.008	0.016	0.019	0.012	0.005	0.012	0.0	0.0
CHEMBL284	0.753	0.145	0.795	0.245	0.797	0.267	618.0	31.0	0.003	0.001	0.014	0.003	0.006	0.006	0.0	0.0
CHEMBL255	0.87	0.085	0.407	0.14	0.845	0.138	588.0	22.0	0.003	0.005	0.152	0.015	0.002	0.025	0.0	0.0
CHEMBL256	0.661	0.136	0.75	0.229	0.797	0.211	557.0	38.0	0.003	0.001	0.051	0.003	0.002	0.011	0.0	0.0
CHEMBL3991	0.873	0.337	0.686	0.447	0.874	0.42	542.0	38.0	0.001	0.006	0.001	0.003	0.001	0.003	0.0	0.0
CHEMBL214	0.853	0.315	0.8	0.446	0.89	0.44	495.0	36.0	0.003	0.01	0.004	0.01	0.001	0.01	0.0	0.0
CHEMBL344	0.835	0.326	0.854	0.465	0.883	0.461	480.0	37.0	0.006	0.009	0.001	0.011	0.001	0.009	0.0	0.0
CHEMBL1075323	0.842	0.165	0.593	0.253	0.827	0.25	470.0	22.0	0.002	0.001	0.029	0.001	0.004	0.003	0.0	0.0
CHEMBL2326	0.674	0.061	0.417	0.104	0.616	0.05	438.0	18.0	0.031	0.001	0.036	0.001	0.0	0.003	0.0	0.0
CHEMBL233	0.794	0.193	0.667	0.298	0.803	0.278	437.0	28.0	0.002	0.002	0.0	0.003	0.004	0.003	0.0	0.0
CHEMBL224	0.647	0.154	0.81	0.258	0.736	0.24	425.0	34.0	0.001	0.0	0.022	0.0	0.006	0.002	0.0	0.0
CHEMBL4657	0.656	0.087	0.429	0.109	0.55	0.085	420.0	15.0	0.256	0.014	0.265	0.016	0.007	0.014	0.0	0.0
CHEMBL218	0.827	0.268	0.667	0.371	0.831	0.344	408.0	27.0	0.009	0.012	0.007	0.012	0.006	0.011	0.0	0.0
CHEMBL2034	0.8	0.021	0.167	0.037	0.522	0.004	387.0	24.0	0.059	0.001	0.083	0.004	0.001	0.0	0.0	0.0
CHEMBL267	0.563	0.046	0.5	0.082	0.645	0.032	350.0	17.0	0.212	0.002	0.25	0.006	0.002	0.003	0.0	0.0
CHEMBL4793	0.873	0.227	0.8	0.348	0.88	0.382	350.0	13.0	0.009	0.016	0.04	0.031	0.007	0.04	0.0	0.0
CHEMBL1902	0.772	0.145	0.542	0.225	0.694	0.189	324.0	18.0	0.007	0.007	0.099	0.015	0.016	0.034	0.0	0.0
CHEMBL2147	0.94	0.533	0.926	0.672	0.991	0.674	321.0	22.0	0.0	0.007	0.004	0.003	0.0	0.002	0.0	0.0
CHEMBL2820	0.684	0.169	0.667	0.265	0.761	0.213	305.0	22.0	0.024	0.005	0.003	0.008	0.007	0.013	0.0	0.0
CHEMBL4409	0.501	0.108	0.917	0.192	0.805	0.197	295.0	19.0	0.019	0.0	0.021	0.001	0.009	0.0	0.0	0.0
CHEMBL222	0.582	0.109	0.762	0.185	0.788	0.17	284.0	15.0	0.036	0.002	0.048	0.003	0.001	0.004	0.0	0.0
CHEMBL229	0.661	0.085	0.667	0.147	0.783	0.144	273.0	12.0	0.022	0.0	0.053	0.0	0.0	0.001	0.0	0.0
CHEMBL3729	0.802	0.096	0.333	0.148	0.68	0.104	273.0	21.0	0.011	0.008	0.111	0.019	0.002	0.014	0.0	0.0
CHEMBL4523	0.556	0.183	1.0	0.3	0.87	0.291	258.0	16.0	0.182	0.011	0.0	0.025	0.003	0.064	0.0	0.0
CHEMBL1800	0.486	0.167	0.905	0.262	0.871	0.22	252.0	15.0	0.167	0.021	0.007	0.037	0.007	0.061	0.0	0.0
CHEMBL1862	0.611	0.139	0.952	0.242	0.897	0.268	248.0	16.0	0.001	0.0	0.007	0.0	0.001	0.0	0.0	0.0
CHEMBL3717	0.835	0.164	0.6	0.257	0.734	0.25	240.0	12.0	0.0	0.001	0.04	0.004	0.009	0.009	0.0	0.0
CHEMBL226	0.816	0.199	0.667	0.303	0.742	0.291	224.0	13.0	0.002	0.002	0.083	0.008	0.034	0.016	0.0	0.0
CHEMBL3371	0.878	0.352	0.625	0.449	0.88	0.408	221.0	17.0	0.001	0.026	0.109	0.047	0.007	0.064	0.0	0.0
CHEMBL4308	0.801	0.082	0.467	0.14	0.853	0.139	217.0	10.0	0.016	0.007	0.253	0.02	0.014	0.033	0.0	0.0
CHEMBL2954	0.739	0.176	1.0	0.298	0.91	0.357	214.0	11.0	0.003	0.001	0.0	0.002	0.001	0.002	0.0	0.0
CHEMBL219	0.919	0.061	0.133	0.083	0.795	0.069	211.0	13.0	0.002	0.011	0.053	0.021	0.001	0.014	0.0	0.0
CHEMBL4072	0.908	0.472	0.778	0.563	0.97	0.553	200.0	15.0	0.003	0.035	0.009	0.014	0.0	0.011	0.0	0.0
CHEMBL232	0.891	0.26	0.4	0.302	0.693	0.262	198.0	11.0	0.002	0.012	0.04	0.019	0.053	0.022	0.0	0.0
