	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.927	0.482	0.846	0.613	0.957	0.605	2298.0	155.0	0.0	0.004	0.001	0.003	0.0	0.003	0.0	0.0
CHEMBL204	0.98	0.849	0.894	0.865	0.973	0.858	1525.0	110.0	0.0	0.012	0.003	0.001	0.0	0.001	0.0	0.0
CHEMBL3594	0.892	0.338	0.643	0.44	0.851	0.413	1475.0	99.0	0.0	0.001	0.007	0.0	0.002	0.0	0.0	0.0
CHEMBL261	0.84	0.282	0.74	0.396	0.861	0.387	1463.0	97.0	0.006	0.011	0.014	0.008	0.001	0.005	0.0	0.0
CHEMBL205	0.86	0.297	0.736	0.423	0.861	0.408	1463.0	100.0	0.001	0.003	0.002	0.004	0.0	0.005	0.0	0.0
CHEMBL264	0.931	0.461	0.787	0.578	0.922	0.569	1411.0	83.0	0.0	0.003	0.003	0.001	0.0	0.0	0.0	0.0
CHEMBL3242	0.891	0.276	0.598	0.377	0.794	0.356	1225.0	69.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0
CHEMBL217	0.828	0.184	0.683	0.29	0.813	0.291	953.0	50.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0
CHEMBL253	0.953	0.693	0.816	0.747	0.956	0.726	787.0	69.0	0.0	0.002	0.005	0.001	0.001	0.001	0.0	0.0
CHEMBL3837	0.758	0.191	0.982	0.32	0.946	0.371	771.0	45.0	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0
CHEMBL236	0.914	0.36	0.741	0.484	0.86	0.478	765.0	43.0	0.0	0.001	0.007	0.002	0.0	0.003	0.0	0.0
CHEMBL234	0.876	0.269	0.704	0.387	0.884	0.383	737.0	43.0	0.0	0.004	0.05	0.009	0.009	0.015	0.0	0.0
CHEMBL237	0.942	0.549	0.842	0.653	0.969	0.648	727.0	44.0	0.001	0.022	0.011	0.013	0.0	0.012	0.0	0.0
CHEMBL251	0.909	0.357	0.765	0.484	0.934	0.482	707.0	39.0	0.0	0.008	0.045	0.013	0.002	0.018	0.0	0.0
CHEMBL228	0.793	0.14	0.667	0.228	0.795	0.236	646.0	29.0	0.006	0.002	0.007	0.003	0.001	0.003	0.0	0.0
CHEMBL3880	0.908	0.316	0.533	0.394	0.868	0.364	625.0	34.0	0.0	0.001	0.004	0.001	0.0	0.001	0.0	0.0
CHEMBL284	0.881	0.254	0.718	0.374	0.837	0.38	618.0	31.0	0.001	0.006	0.026	0.01	0.003	0.014	0.0	0.0
CHEMBL255	0.959	0.499	0.852	0.606	0.937	0.623	588.0	22.0	0.0	0.021	0.029	0.003	0.007	0.001	0.0	0.0
CHEMBL256	0.902	0.399	0.708	0.502	0.842	0.482	557.0	38.0	0.001	0.012	0.009	0.006	0.005	0.006	0.0	0.0
CHEMBL3991	0.941	0.573	0.843	0.677	0.958	0.664	542.0	38.0	0.0	0.003	0.015	0.001	0.001	0.001	0.0	0.0
CHEMBL214	0.901	0.453	0.844	0.575	0.9	0.569	495.0	36.0	0.004	0.027	0.001	0.019	0.001	0.015	0.0	0.0
CHEMBL344	0.882	0.428	0.771	0.528	0.853	0.512	480.0	37.0	0.005	0.022	0.017	0.011	0.005	0.008	0.0	0.0
CHEMBL1075323	0.903	0.232	0.519	0.306	0.886	0.296	470.0	22.0	0.001	0.006	0.115	0.012	0.004	0.02	0.0	0.0
CHEMBL2326	0.802	0.116	0.458	0.18	0.746	0.153	438.0	18.0	0.01	0.002	0.005	0.003	0.002	0.003	0.0	0.0
CHEMBL233	0.846	0.256	0.694	0.369	0.806	0.356	437.0	28.0	0.002	0.001	0.016	0.0	0.006	0.0	0.0	0.0
CHEMBL224	0.789	0.249	0.714	0.356	0.797	0.333	425.0	34.0	0.012	0.005	0.036	0.003	0.0	0.001	0.0	0.0
CHEMBL4657	0.519	0.044	0.524	0.077	0.635	0.018	420.0	15.0	0.178	0.0	0.19	0.0	0.002	0.001	0.0	0.0
CHEMBL218	0.874	0.34	0.75	0.465	0.866	0.449	408.0	27.0	0.004	0.02	0.049	0.031	0.015	0.043	0.0	0.0
CHEMBL2034	0.743	0.169	0.667	0.26	0.814	0.24	387.0	24.0	0.025	0.004	0.023	0.005	0.001	0.004	0.0	0.0
CHEMBL267	0.755	0.141	0.667	0.231	0.762	0.223	350.0	17.0	0.007	0.002	0.021	0.004	0.001	0.007	0.0	0.0
CHEMBL4793	0.94	0.344	0.8	0.48	0.961	0.5	350.0	13.0	0.001	0.015	0.04	0.024	0.001	0.029	0.0	0.0
CHEMBL1902	0.863	0.269	0.75	0.395	0.896	0.395	324.0	18.0	0.001	0.007	0.016	0.012	0.001	0.014	0.0	0.0
CHEMBL2147	0.952	0.604	0.889	0.714	0.99	0.708	321.0	22.0	0.0	0.017	0.0	0.009	0.0	0.008	0.0	0.0
CHEMBL2820	0.885	0.428	0.767	0.525	0.8	0.51	305.0	22.0	0.004	0.031	0.043	0.018	0.024	0.022	0.0	0.0
CHEMBL4409	0.651	0.17	0.792	0.255	0.872	0.251	295.0	19.0	0.043	0.01	0.068	0.009	0.004	0.004	0.0	0.0
CHEMBL222	0.842	0.228	0.571	0.317	0.856	0.289	284.0	15.0	0.006	0.01	0.0	0.011	0.002	0.011	0.0	0.0
CHEMBL229	0.881	0.194	0.533	0.283	0.887	0.271	273.0	12.0	0.001	0.005	0.013	0.008	0.004	0.009	0.0	0.0
CHEMBL3729	0.935	0.548	0.889	0.677	0.971	0.667	273.0	21.0	0.0	0.007	0.012	0.009	0.0	0.011	0.0	0.0
CHEMBL4523	0.931	0.534	1.0	0.681	0.997	0.697	258.0	16.0	0.003	0.038	0.0	0.031	0.0	0.025	0.0	0.0
CHEMBL1800	0.835	0.348	0.857	0.472	0.884	0.475	252.0	15.0	0.021	0.04	0.0	0.044	0.002	0.04	0.0	0.0
CHEMBL1862	0.66	0.164	0.952	0.278	0.855	0.307	248.0	16.0	0.014	0.001	0.007	0.003	0.003	0.004	0.0	0.0
CHEMBL3717	0.819	0.178	0.733	0.284	0.878	0.299	240.0	12.0	0.002	0.0	0.013	0.0	0.002	0.0	0.0	0.0
CHEMBL226	0.778	0.196	0.833	0.317	0.849	0.333	224.0	13.0	0.0	0.001	0.028	0.002	0.009	0.006	0.0	0.0
CHEMBL3371	0.896	0.463	0.625	0.52	0.765	0.479	221.0	17.0	0.003	0.026	0.0	0.014	0.0	0.015	0.0	0.0
CHEMBL4308	0.879	0.359	1.0	0.515	0.952	0.554	217.0	10.0	0.008	0.024	0.0	0.031	0.001	0.024	0.0	0.0
CHEMBL2954	0.909	0.358	0.867	0.506	0.88	0.522	214.0	11.0	0.0	0.006	0.053	0.013	0.039	0.021	0.0	0.0
CHEMBL219	0.802	0.156	0.6	0.245	0.797	0.23	211.0	13.0	0.001	0.0	0.04	0.001	0.0	0.005	0.0	0.0
CHEMBL4072	0.989	0.897	0.944	0.919	0.964	0.914	200.0	15.0	0.0	0.008	0.009	0.007	0.004	0.008	0.0	0.0
CHEMBL232	0.88	0.131	0.267	0.173	0.827	0.128	198.0	11.0	0.002	0.016	0.053	0.025	0.003	0.023	0.0	0.0
CHEMBL335	0.897	0.446	0.905	0.596	0.937	0.591	194.0	15.0	0.001	0.004	0.007	0.005	0.002	0.007	0.0	0.0
CHEMBL1871	0.802	0.254	0.867	0.385	0.864	0.399	187.0	13.0	0.014	0.011	0.013	0.018	0.004	0.022	0.0	0.0
CHEMBL225	0.85	0.275	0.6	0.35	0.767	0.328	184.0	10.0	0.006	0.015	0.04	0.008	0.008	0.009	0.0	0.0
CHEMBL3759	0.91	0.444	0.444	0.415	0.881	0.386	180.0	13.0	0.003	0.259	0.148	0.161	0.009	0.187	0.0	0.0
CHEMBL3105	0.871	0.059	0.333	0.1	0.769	0.091	173.0	6.0	0.003	0.01	0.333	0.03	0.021	0.061	0.0	0.0
CHEMBL259	0.893	0.151	0.417	0.22	0.621	0.213	173.0	8.0	0.002	0.017	0.146	0.037	0.022	0.036	0.0	0.0
CHEMBL238	0.948	0.546	1.0	0.7	0.969	0.716	163.0	9.0	0.001	0.018	0.0	0.014	0.001	0.01	0.0	0.0
CHEMBL1855	0.814	0.265	0.733	0.376	0.708	0.361	161.0	11.0	0.006	0.009	0.013	0.005	0.005	0.003	0.0	0.0
CHEMBL260	0.784	0.169	0.667	0.267	0.72	0.256	156.0	10.0	0.002	0.0	0.021	0.0	0.003	0.001	0.0	0.0
CHEMBL3891	0.631	0.067	0.333	0.096	0.571	-0.006	149.0	8.0	0.121	0.005	0.146	0.008	0.004	0.013	0.0	0.0
CHEMBL2000	0.885	0.183	0.333	0.23	0.858	0.189	147.0	7.0	0.003	0.006	0.0	0.005	0.002	0.005	0.0	0.0
CHEMBL1875	0.884	0.159	0.333	0.207	0.71	0.177	145.0	4.0	0.005	0.028	0.083	0.04	0.01	0.055	0.0	0.0
CHEMBL2842	0.586	0.011	0.333	0.021	0.414	-0.042	144.0	6.0	0.23	0.0	0.333	0.001	0.023	0.001	0.0	0.0
CHEMBL4822	0.852	0.209	0.667	0.316	0.847	0.315	141.0	8.0	0.002	0.002	0.0	0.003	0.004	0.003	0.0	0.0
CHEMBL280	0.77	0.118	0.467	0.186	0.71	0.157	140.0	10.0	0.022	0.011	0.173	0.026	0.009	0.019	0.0	0.0
CHEMBL3473	0.489	0.113	1.0	0.199	0.875	0.221	140.0	7.0	0.127	0.003	0.0	0.009	0.0	0.026	0.0	0.0
CHEMBL3510	0.944	0.574	0.667	0.51	0.899	0.542	139.0	4.0	0.003	0.155	0.083	0.023	0.006	0.019	0.0	0.0
CHEMBL2617	0.949	0.0	0.0	0.0	0.591	-0.02	137.0	5.0	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.0
CHEMBL6136	0.842	0.213	0.667	0.321	0.897	0.314	128.0	8.0	0.001	0.002	0.0	0.002	0.001	0.002	0.0	0.0
CHEMBL2360	0.605	0.1	0.778	0.173	0.784	0.177	125.0	6.0	0.024	0.0	0.148	0.001	0.003	0.008	0.0	0.0
CHEMBL1833	0.468	0.09	0.778	0.155	0.789	0.11	121.0	8.0	0.135	0.001	0.148	0.003	0.007	0.018	0.0	0.0
CHEMBL1983	0.83	0.021	0.167	0.037	0.561	-0.007	118.0	5.0	0.016	0.001	0.083	0.004	0.012	0.006	0.0	0.0
CHEMBL1741186	0.928	0.566	1.0	0.711	0.972	0.718	117.0	10.0	0.003	0.031	0.0	0.024	0.001	0.02	0.0	0.0
CHEMBL1926488	0.887	0.308	0.778	0.431	0.96	0.44	116.0	8.0	0.001	0.004	0.148	0.018	0.0	0.033	0.0	0.0
CHEMBL2971	0.819	0.114	0.444	0.181	0.783	0.156	112.0	6.0	0.009	0.011	0.148	0.026	0.0	0.03	0.0	0.0
CHEMBL4792	0.91	0.056	0.167	0.083	0.728	0.061	111.0	5.0	0.002	0.009	0.083	0.021	0.019	0.024	0.0	0.0
CHEMBL4005	0.674	0.182	0.889	0.295	0.808	0.308	108.0	6.0	0.054	0.006	0.037	0.013	0.018	0.017	0.0	0.0
CHEMBL5023	0.949	0.69	0.917	0.776	0.933	0.765	105.0	9.0	0.002	0.073	0.021	0.042	0.014	0.048	0.0	0.0
CHEMBL1898	0.904	0.153	0.333	0.2	0.702	0.185	103.0	5.0	0.005	0.028	0.083	0.04	0.029	0.035	0.0	0.0
CHEMBL333	0.947	0.658	1.0	0.765	0.989	0.776	100.0	6.0	0.003	0.1	0.0	0.052	0.0	0.046	0.0	0.0
CHEMBL5407	0.961	0.867	0.75	0.726	0.88	0.749	99.0	10.0	0.001	0.013	0.188	0.08	0.043	0.054	0.0	0.0
CHEMBL1163125	0.938	0.639	0.833	0.622	0.959	0.656	98.0	5.0	0.005	0.141	0.083	0.041	0.001	0.031	0.0	0.0
CHEMBL216	0.853	0.135	0.333	0.175	0.898	0.152	98.0	4.0	0.024	0.031	0.083	0.042	0.016	0.038	0.0	0.0
CHEMBL5113	0.952	0.667	0.778	0.714	0.915	0.693	97.0	7.0	0.004	0.146	0.148	0.143	0.022	0.17	0.0	0.0
CHEMBL3018	0.967	0.756	1.0	0.859	0.98	0.853	94.0	8.0	0.0	0.006	0.0	0.003	0.001	0.003	0.0	0.0
CHEMBL4482	0.521	0.229	0.667	0.244	0.503	0.163	90.0	6.0	0.18	0.055	0.111	0.019	0.04	0.036	0.0	0.0
CHEMBL1795117	0.949	0.639	0.778	0.698	0.96	0.677	90.0	8.0	0.001	0.016	0.037	0.021	0.001	0.026	0.0	0.0
