	accuracy	precision	recall	f1	auc_roc	matthews_coeff	balanced_accuracy	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	balanced_accuracy_var	#tr_var	#ac_tr_var
CHEMBL244	0.968	0.878	0.612	0.721	0.969	0.718	0.803	2298.0	155.0	0.0	0.001	0.002	0.001	0.0	0.001	0.0	0.0	0.0
CHEMBL204	0.986	0.931	0.865	0.896	0.997	0.89	0.93	1525.0	110.0	0.0	0.0	0.004	0.001	0.0	0.001	0.001	0.0	0.0
CHEMBL3594	0.95	0.742	0.405	0.52	0.914	0.523	0.697	1475.0	99.0	0.0	0.023	0.0	0.002	0.001	0.004	0.0	0.0	0.0
CHEMBL261	0.942	0.596	0.358	0.444	0.934	0.432	0.67	1463.0	97.0	0.0	0.001	0.006	0.003	0.001	0.002	0.001	0.0	0.0
CHEMBL205	0.932	0.502	0.31	0.382	0.895	0.36	0.644	1463.0	100.0	0.0	0.003	0.003	0.002	0.0	0.002	0.001	0.0	0.0
CHEMBL264	0.953	0.659	0.472	0.538	0.958	0.529	0.728	1411.0	83.0	0.0	0.007	0.015	0.002	0.0	0.001	0.003	0.0	0.0
CHEMBL3242	0.96	0.787	0.391	0.518	0.888	0.535	0.692	1225.0	69.0	0.0	0.013	0.003	0.002	0.001	0.002	0.001	0.0	0.0
CHEMBL217	0.949	0.625	0.111	0.172	0.934	0.223	0.553	953.0	50.0	0.0	0.141	0.012	0.022	0.0	0.019	0.003	0.0	0.0
CHEMBL253	0.968	0.912	0.701	0.792	0.953	0.783	0.847	787.0	69.0	0.0	0.002	0.003	0.001	0.002	0.001	0.001	0.0	0.0
CHEMBL3837	0.969	0.97	0.474	0.632	0.97	0.663	0.736	771.0	45.0	0.0	0.003	0.008	0.007	0.0	0.004	0.002	0.0	0.0
CHEMBL236	0.954	0.712	0.296	0.411	0.92	0.436	0.644	765.0	43.0	0.0	0.011	0.007	0.006	0.001	0.004	0.002	0.0	0.0
CHEMBL234	0.961	0.779	0.5	0.573	0.95	0.587	0.744	737.0	43.0	0.0	0.038	0.059	0.02	0.0	0.016	0.014	0.0	0.0
CHEMBL237	0.964	0.74	0.632	0.676	0.982	0.662	0.808	727.0	44.0	0.0	0.001	0.011	0.002	0.0	0.002	0.003	0.0	0.0
CHEMBL251	0.955	0.462	0.353	0.395	0.958	0.388	0.672	707.0	39.0	0.0	0.16	0.107	0.123	0.0	0.117	0.025	0.0	0.0
CHEMBL228	0.964	0.717	0.278	0.4	0.851	0.432	0.636	646.0	29.0	0.0	0.091	0.016	0.032	0.005	0.04	0.004	0.0	0.0
