	CHEMBL2954	CHEMBL1800	CHEMBL4523	CHEMBL2820	CHEMBL3729	CHEMBL244	CHEMBL335	CHEMBL214	CHEMBL237	CHEMBL3759	CHEMBL204	CHEMBL3018	CHEMBL5407	CHEMBL1741186	CHEMBL3991	CHEMBL333	CHEMBL1926488	CHEMBL4072
CHEMBL2954	10.000000634909155	7.795909548051992	8.826978495086056	8.200949073122574	7.696537598113961	8.557939372018184	7.9474463517316485	8.671184987678572	9.09174789474152	8.473785803754794	8.715176637357883	4.538484940151524	8.76796645880212	2.781298701298701	5.981792106719394	9.348172421578479	6.766061106060656	9.517360409698382
CHEMBL1800	7.795909548051992	10.000000457142903	8.339286171428617	8.766046005176028	7.4953323925311635	6.7802768565895954	8.91666712380957	7.4712567366471045	7.727457397365799	8.165092740241288	6.937514121929293	5.6428572345238175	8.698579052460628	4.208333333333334	6.10688433333336	7.895604852747296	8.398809980952425	8.082883053388526
CHEMBL4523	8.826978495086056	8.339286171428617	10.00000060810817	8.351743503917005	6.95508623350907	8.289929517207371	8.210854175139472	7.872473483358302	8.979730337837896	8.808130648923647	8.309185826384295	4.817567659234243	8.640333152038377	3.698841698841698	5.346847122209192	8.591625185031242	7.779279779279328	9.19078493363637
CHEMBL2820	8.200949073122574	8.766046005176028	8.351743503917005	10.000000456521782	8.15731597542851	6.774065675844254	9.095928682884793	8.078590159726375	7.721246216620457	8.757427439876492	6.931302941183951	6.25724646847827	8.993868906911974	4.472049689440993	6.6666669420290114	8.091655178611287	7.753623644927581	8.360043708837718
CHEMBL3729	7.696537598113961	7.4953323925311635	6.95508623350907	8.15731597542851	10.000000442323694	6.578853176463854	7.498716111163845	8.896097358410069	7.0352260095524395	7.477491229692364	6.772183482330196	6.476832733437075	8.197255469454241	2.8144635447540014	8.2285768584401	8.00209792989836	6.187068215491053	7.539364081207705
CHEMBL244	8.557939372018184	6.7802768565895954	8.289929517207371	6.774065675844254	6.578853176463854	10.000000779115291	6.752525524530462	7.642582230695253	8.976858740251524	7.63965118968386	9.772258240349958	3.117963729107083	7.325905195911149	2.130356984225688	4.843942788426681	8.084201193375218	6.079980364380732	8.411521054076088
CHEMBL335	7.9474463517316485	8.91666712380957	8.210854175139472	9.095928682884793	7.498716111163845	6.752525524530462	10.00000046428576	7.528736821878806	7.6857485223742446	7.937961677933648	6.817089099556213	5.662698504365087	8.633142684384504	3.968253968253968	6.023119668046955	8.012820977106273	7.769841734127031	7.98158210956451
CHEMBL214	8.671184987678572	7.4712567366471045	7.872473483358302	8.078590159726375	8.896097358410069	7.642582230695253	7.528736821878806	10.000000550980793	7.94952926254174	8.42469768952998	7.836445721519683	5.401558081888741	8.718808152891736	2.7362229571100394	7.180213402585621	8.958151429965742	6.602860251428453	8.50492461108412
CHEMBL237	9.09174789474152	7.727457397365799	8.979730337837896	7.721246216620457	7.0352260095524395	8.976858740251524	7.6857485223742446	7.94952926254174	10.00000068439723	8.37105853102752	9.041422315277277	4.037234134219868	8.260988675561615	2.678571428571429	5.425532190255962	8.577566644376956	6.76063879787239	9.128975173648357
CHEMBL3759	8.473785803754794	8.165092740241288	8.808130648923647	8.757427439876492	7.477491229692364	7.63965118968386	7.937961677933648	8.42469768952998	8.37105853102752	10.000000545269636	7.798795237155978	5.463970929238734	8.72314343981129	4.307513442813544	6.26981170738794	8.364393019529862	7.660139530179772	8.945537932523328
CHEMBL204	8.715176637357883	6.937514121929293	8.309185826384295	6.931302941183951	6.772183482330196	9.772258240349958	6.817089099556213	7.836445721519683	9.041422315277277	7.798795237155978	10.000000763391567	3.2766300273875206	7.483142461250846	2.1585989767807954	5.03453534942311	8.27077022781265	6.107744607744157	8.568758319415789
CHEMBL3018	4.538484940151524	5.6428572345238175	4.817567659234243	6.25724646847827	6.476832733437075	3.117963729107083	5.662698504365087	5.401558081888741	4.037234134219868	5.463970929238734	3.2766300273875206	10.000000091666676	5.76616508609254	5.178571428571428	8.097826178623196	4.876373718040301	4.666666758333341	4.691722437620648
CHEMBL5407	8.76796645880212	8.698579052460628	8.640333152038377	8.993868906911974	8.197255469454241	7.325905195911149	8.633142684384504	8.718808152891736	8.260988675561615	8.72314343981129	7.483142461250846	5.76616508609254	10.000000511705737	3.6024844720496896	6.577480765886314	9.025323015289107	7.674470957079203	8.714907663235334
CHEMBL1741186	2.781298701298701	4.208333333333334	3.698841698841698	4.472049689440993	2.8144635447540014	2.130356984225688	3.968253968253968	2.7362229571100394	2.678571428571429	4.307513442813544	2.1585989767807954	5.178571428571428	3.6024844720496896	9.999999999999996	3.2763975155279503	2.8571428571428568	4.142857142857142	3.254852052179446
CHEMBL3991	5.981792106719394	6.10688433333336	5.346847122209192	6.6666669420290114	8.2285768584401	4.843942788426681	6.023119668046955	7.180213402585621	5.425532190255962	6.26981170738794	5.03453534942311	8.097826178623196	6.577480765886314	3.2763975155279503	10.000000275362344	6.303949948877235	4.815217666666693	5.824618589813137
CHEMBL333	9.348172421578479	7.895604852747296	8.591625185031242	8.091655178611287	8.00209792989836	8.084201193375218	8.012820977106273	8.958151429965742	8.577566644376956	8.364393019529862	8.27077022781265	4.876373718040301	9.025323015289107	2.8571428571428568	6.303949948877235	10.00000059340665	6.871795371794921	9.127977293766424
CHEMBL1926488	6.766061106060656	8.398809980952425	7.779279779279328	7.753623644927581	6.187068215491053	6.079980364380732	7.769841734127031	6.602860251428453	6.76063879787239	7.660139530179772	6.107744607744157	4.666666758333341	7.674470957079203	4.142857142857142	4.815217666666693	6.871795371794921	10.00000050000005	7.248701316629597
CHEMBL4072	9.517360409698382	8.082883053388526	9.19078493363637	8.360043708837718	7.539364081207705	8.411521054076088	7.98158210956451	8.50492461108412	9.128975173648357	8.945537932523328	8.568758319415789	4.691722437620648	8.714907663235334	3.254852052179446	5.824618589813137	9.127977293766424	7.248701316629597	10.000000620267322
