	chembl_tid	entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name	#mmp	#mms	machine1	machine2
0	CHEMBL244	P00742	FA10_HUMAN	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	Peptidase S1 family	Homo sapiens (Human)	3.4.21.6	F10	calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; serine-type endopeptidase activity [GO:0004252]	Coagulation factor X	3283	213	True	False
1	CHEMBL204	P00734	THRB_HUMAN	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	Peptidase S1 family	Homo sapiens (Human)	3.4.21.5	F2	calcium ion binding [GO:0005509]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; lipopolysaccharide binding [GO:0001530]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102]; thrombospondin receptor activity [GO:0070053]	Prothrombin	2179	115	False	True
2	CHEMBL3594	Q16790	CAH9_HUMAN	Carbonic anhydrase 9 (EC 4.2.1.1) (Carbonate dehydratase IX) (Carbonic anhydrase IX) (CA-IX) (CAIX) (Membrane antigen MN) (P54/58N) (Renal cell carcinoma-associated antigen G250) (RCC-associated antigen G250) (pMW1)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA9	carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 9	2108	278	True	False
3	CHEMBL261	P00915	CAH1_HUMAN	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA1	arylesterase activity [GO:0004064]; carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 1	2091	304	False	True
4	CHEMBL205	P00918	CAH2_HUMAN	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA2	arylesterase activity [GO:0004064]; carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 2	2091	309	True	False
5	CHEMBL264	Q9Y5N1	HRH3_HUMAN	Histamine H3 receptor (H3R) (HH3R) (G-protein coupled receptor 97)	G-protein coupled receptor 1 family	Homo sapiens (Human)		HRH3	G protein-coupled acetylcholine receptor activity [GO:0016907]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]	Histamine H3 receptor	2017	134	False	True
6	CHEMBL3242	O43570	CAH12_HUMAN	Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA12	carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 12	1751	246	True	False
7	CHEMBL217	P14416	DRD2_HUMAN	D(2) dopamine receptor (Dopamine D2 receptor)	G-protein coupled receptor 1 family	Homo sapiens (Human)		DRD2	dopamine binding [GO:0035240]; dopamine neurotransmitter receptor activity, coupled via Gi/Go [GO:0001591]; G protein-coupled receptor activity [GO:0004930]; identical protein binding [GO:0042802]; ionotropic glutamate receptor binding [GO:0035255]; potassium channel regulator activity [GO:0015459]; protein-containing complex binding [GO:0044877]	D(2) dopamine receptor	1362	126	False	True
8	CHEMBL253	P34972	CNR2_HUMAN	Cannabinoid receptor 2 (CB-2) (CB2) (hCB2) (CX5)	G-protein coupled receptor 1 family	Homo sapiens (Human)		CNR2	cannabinoid receptor activity [GO:0004949]; G protein-coupled receptor activity [GO:0004930]	Cannabinoid receptor 2	1125	103	True	False
9	CHEMBL3837	P07711	CATL1_HUMAN	Procathepsin L (EC 3.4.22.15) (Cathepsin L1) (Major excreted protein) (MEP) [Cleaved into: Cathepsin L; Cathepsin L heavy chain; Cathepsin L light chain]	Peptidase C1 family	Homo sapiens (Human)	3.4.22.15	CTSL	collagen binding [GO:0005518]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; fibronectin binding [GO:0001968]; histone binding [GO:0042393]; proteoglycan binding [GO:0043394]; serpin family protein binding [GO:0097655]	Procathepsin L	1102	69	False	True
